Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,0.0,-1.5610176079112103e-11,7.085205222443199e6,0.0,7.085205222443199e6
t1,0.0,0.0,4469.7918585938,0.0,4469.7918585938
t2,0.0,0.0,4835.4729582979935,0.0,4835.4729582979935
t3,0.0,0.0,5702.221021156596,0.0,5702.221021156596
t4,0.0,0.0,5780.877320196595,0.0,5780.877320196595
t5,0.0,0.0,3448.5852231676226,0.0,3448.5852231676226
t6,0.0,0.0,1107.9048820315265,0.0,1107.9048820315265
t7,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0,0.0
t10,0.0,0.0,2.7755575615628914e-14,0.0,2.7755575615628914e-14
t11,0.0,-8.881784197001252e-13,6.938893903907228e-15,0.0,-8.81239525796218e-13
t12,0.0,0.0,6.938893903907228e-15,0.0,6.938893903907228e-15
t13,0.0,8.881784197001252e-13,1.3877787807814457e-14,0.0,9.020562075079397e-13
t14,0.0,0.0,0.0,0.0,0.0
t15,0.0,0.0,2.220446049250313e-13,0.0,2.220446049250313e-13
t16,0.0,0.0,0.0,0.0,0.0
t17,0.0,0.0,4.440892098500626e-13,0.0,4.440892098500626e-13
t18,0.0,0.0,0.0,0.0,0.0
t19,0.0,0.0,3.552713678800501e-12,0.0,3.552713678800501e-12
t20,0.0,0.0,3.552713678800501e-12,0.0,3.552713678800501e-12
t21,0.0,0.0,2031.979289319988,0.0,2031.979289319988
t22,0.0,0.0,7171.3266215252725,0.0,7171.3266215252725
t23,0.0,0.0,107.03399708626016,0.0,107.03399708626016
t24,0.0,0.0,1555.8504081230674,0.0,1555.8504081230674
t25,0.0,0.0,1.7763568394002505e-12,0.0,1.7763568394002505e-12
t26,0.0,0.0,1.7763568394002505e-12,0.0,1.7763568394002505e-12
t27,0.0,0.0,4915.711824138421,0.0,4915.711824138421
t28,0.0,0.0,3755.4052118854725,0.0,3755.4052118854725
t29,0.0,0.0,5572.631171983861,0.0,5572.631171983861
t30,0.0,0.0,4522.862722070173,0.0,4522.862722070173
t31,0.0,0.0,1.7763568394002505e-12,0.0,1.7763568394002505e-12
t32,0.0,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0,0.0
t34,0.0,0.0,4857.925118984727,0.0,4857.925118984727
t35,0.0,0.0,6332.154456108878,0.0,6332.154456108878
