Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,0.0,0.0,0.0,6097.354622245664
t2,0.0,0.0,0.0,6097.354622245664
t3,0.0,0.0,0.0,6097.354622245664
t4,0.0,0.0,0.0,6097.354622245664
t5,0.0,0.0,0.0,6097.354622245664
t6,0.0,0.0,0.0,6097.354622245664
t7,0.0,0.0,0.0,5817.929880775024
t8,0.0,0.0,0.0,6097.354622245664
t9,0.0,0.0,0.0,6097.354622245664
t10,0.0,0.0,0.0,4829.069029881817
t11,0.0,0.0,0.0,4829.069029881817
t12,0.0,0.0,0.0,4829.069029881817
t13,0.0,0.0,0.0,4829.069029881817
t14,0.0,0.0,0.0,4829.069029881817
t15,0.0,0.0,0.0,4829.069029881817
t16,0.0,0.0,0.0,4829.069029881817
t17,0.0,0.0,0.0,1274.1874707645848
t18,0.0,0.0,0.0,-0.0
t19,0.0,0.0,0.0,2394.5579300009367
t20,0.0,0.0,0.0,4761.996406550943
t21,0.0,0.0,0.0,6097.354622245664
t22,0.0,0.0,0.0,2542.4730631284315
t23,0.0,0.0,0.0,5551.3248147652575
t24,0.0,0.0,0.0,4887.232314101703
t25,0.0,0.0,0.0,4209.059203893555
t26,0.0,0.0,0.0,6097.354622245664
t27,0.0,0.0,0.0,3088.5028706088383
t28,0.0,0.0,0.0,6097.354622245664
t29,0.0,0.0,0.0,6097.354622245664
t30,0.0,0.0,0.0,6097.354622245664
t31,0.0,0.0,0.0,5803.254766015137
t32,0.0,0.0,0.0,3176.118472847636
t33,0.0,0.0,0.0,3256.1429986497637
t34,0.0,0.0,0.0,3088.5028706088383
t35,0.0,0.0,0.0,6097.354622245664
t36,0.0,0.0,0.0,6097.354622245664
t37,0.0,0.0,0.0,6097.354622245664
t38,0.0,0.0,0.0,6097.354622245664
t39,0.0,0.0,0.0,6097.354622245664
t40,0.0,0.0,0.0,6097.354622245664
t41,0.0,0.0,0.0,6097.354622245664
t42,0.0,0.0,0.0,5347.370326543529
t43,0.0,0.0,0.0,3554.8815591172324
t44,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,290.8982475031919
t46,0.0,0.0,0.0,2762.6354749501243
t47,0.0,0.0,0.0,3750.1948869695157
t48,0.0,0.0,0.0,6097.354622245664
t49,0.0,0.0,0.0,5120.9068954163195
t50,0.0,0.0,0.0,6097.354622245664
t51,0.0,0.0,0.0,4267.889886065552
t52,0.0,0.0,0.0,4762.417448302075
t53,0.0,0.0,0.0,5327.7587184753875
t54,0.0,0.0,0.0,6097.354622245664
t55,0.0,0.0,0.0,4762.591381874313
t56,0.0,0.0,0.0,1207.7098227570807
t57,0.0,0.0,0.0,0.0
t58,0.0,0.0,0.0,3008.851751636826
t59,0.0,0.0,0.0,6017.703503273651
t60,0.0,0.0,0.0,6097.354622245664
t61,0.0,0.0,0.0,6097.354622245664
t62,0.0,0.0,0.0,6097.354622245664
t63,0.0,0.0,0.0,6097.354622245664
t64,0.0,0.0,0.0,6097.354622245664
t65,0.0,0.0,0.0,6097.354622245664
t66,0.0,0.0,0.0,4154.789289827091
t67,0.0,0.0,0.0,3749.39964379917
t68,0.0,0.0,0.0,761.1278086674496
t69,0.0,0.0,0.0,845.5458191083283
t70,0.0,0.0,0.0,1715.6792003222963
t71,0.0,0.0,0.0,3088.5028706088383
t72,0.0,0.0,0.0,6097.354622245664
t73,0.0,0.0,0.0,6097.354622245664
t74,0.0,0.0,0.0,6097.354622245664
t75,0.0,0.0,0.0,6097.354622245664
t76,0.0,0.0,0.0,6097.354622245664
t77,0.0,0.0,0.0,6097.354622245664
t78,0.0,0.0,0.0,6097.354622245664
t79,0.0,0.0,0.0,5678.446974038582
t80,0.0,0.0,0.0,3291.858956960482
t81,0.0,0.0,0.0,2516.1210226547546
t82,0.0,0.0,0.0,3552.1076258335374
t83,0.0,0.0,0.0,6097.354622245664
t84,0.0,0.0,0.0,6097.354622245664
t85,0.0,0.0,0.0,6097.354622245664
t86,0.0,0.0,0.0,6097.354622245664
t87,0.0,0.0,0.0,6097.354622245664
t88,0.0,0.0,0.0,6097.354622245664
t89,0.0,0.0,0.0,3293.315538491029
t90,0.0,0.0,0.0,16.996256627357603
t91,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,-0.0
t93,0.0,0.0,0.0,-0.0
t94,0.0,0.0,0.0,-0.0
t95,0.0,0.0,0.0,-0.0
t96,0.0,0.0,0.0,-0.0
t97,0.0,0.0,0.0,-0.0
t98,0.0,0.0,0.0,1917.145516541595
t99,0.0,0.0,0.0,1917.145516541595
t100,0.0,0.0,0.0,2526.822389186579
t101,0.0,0.0,0.0,3002.861642955823
t102,0.0,0.0,0.0,3002.861642955823
t103,0.0,0.0,0.0,1867.5328866381112
t104,0.0,0.0,0.0,0.0
t105,0.0,0.0,0.0,0.0
t106,0.0,0.0,0.0,0.0
t107,0.0,0.0,0.0,0.0
t108,0.0,0.0,0.0,-0.0
t109,0.0,0.0,0.0,0.0
t110,0.0,0.0,0.0,606.141962986418
t111,0.0,0.0,0.0,1182.0520499148358
t112,0.0,0.0,0.0,4190.903801551663
t113,0.0,0.0,0.0,5874.868332754333
t114,0.0,0.0,0.0,6097.354622245664
t115,0.0,0.0,0.0,6097.354622245664
t116,0.0,0.0,0.0,6097.354622245664
t117,0.0,0.0,0.0,6097.354622245664
t118,0.0,0.0,0.0,2542.4730631284315
t119,0.0,0.0,0.0,2542.4730631284315
t120,0.0,0.0,0.0,2542.4730631284315
t121,0.0,0.0,0.0,2542.4730631284315
t122,0.0,0.0,0.0,2542.4730631284315
t123,0.0,0.0,0.0,2542.4730631284315
t124,0.0,0.0,0.0,1452.1266992079106
t125,0.0,0.0,0.0,1452.1266992079106
t126,0.0,0.0,0.0,1452.1266992079106
t127,0.0,0.0,0.0,1452.1266992079106
t128,0.0,0.0,0.0,42.37473272669723
t129,0.0,0.0,0.0,42.37473272669723
t130,0.0,0.0,0.0,2136.118122005757
t131,0.0,0.0,0.0,2377.37563950508
t132,0.0,0.0,0.0,4242.625267566158
t133,0.0,0.0,0.0,5448.389532548808
t134,0.0,0.0,0.0,6097.354622245664
t135,0.0,0.0,0.0,6097.354622245664
t136,0.0,0.0,0.0,5738.255643161944
t137,0.0,0.0,0.0,4604.312182764863
t138,0.0,0.0,0.0,4604.312182764863
t139,0.0,0.0,0.0,3874.012427553861
t140,0.0,0.0,0.0,422.0261385408168
t141,0.0,0.0,0.0,0.0
t142,0.0,0.0,0.0,-0.0
t143,0.0,0.0,0.0,-0.0
t144,0.0,0.0,0.0,-0.0
t145,0.0,0.0,0.0,-0.0
t146,0.0,0.0,0.0,1143.2956879576438
t147,0.0,0.0,0.0,3629.9268515852727
t148,0.0,0.0,0.0,5693.906419730533
t149,0.0,0.0,0.0,5693.906419730533
t150,0.0,0.0,0.0,4990.406489978074
t151,0.0,0.0,0.0,2879.4151672104836
t152,0.0,0.0,0.0,0.0
t153,0.0,0.0,0.0,-0.0
t154,0.0,0.0,0.0,-0.0
t155,0.0,0.0,0.0,1020.1053259742354
t156,0.0,0.0,0.0,1388.1388530869167
t157,0.0,0.0,0.0,2178.3259290054893
t158,0.0,0.0,0.0,3864.142055114936
t159,0.0,0.0,0.0,5585.253954437425
t160,0.0,0.0,0.0,5440.22851764222
t161,0.0,0.0,0.0,1885.3469585249875
t162,0.0,0.0,0.0,-0.0
t163,0.0,0.0,0.0,1877.7170550701433
t164,0.0,0.0,0.0,3088.5028706088383
t165,0.0,0.0,0.0,6097.354622245664
