Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,7.647885707890698e7,7.647885707890698e7
t1,0.0,0.0,0.0,17031.906258274248,17031.906258274248
t2,0.0,0.0,0.0,17031.906258274263,17031.906258274263
t3,0.0,0.0,0.0,17031.906258274263,17031.906258274263
t4,0.0,0.0,0.0,17031.90625827427,17031.90625827427
t5,0.0,0.0,0.0,17031.906258274263,17031.906258274263
t6,0.0,0.0,0.0,13988.958688352968,13988.958688352968
t7,0.0,0.0,0.0,18297.029182159877,18297.029182159877
t8,0.0,0.0,0.0,18809.73090430994,18809.73090430994
t9,0.0,0.0,0.0,17031.906258274263,17031.906258274263
t10,0.0,0.0,0.0,15104.899138541372,15104.899138541372
t11,0.0,0.0,0.0,16536.418800240433,16536.418800240433
t12,0.0,0.0,0.0,17308.621672304023,17308.621672304023
t13,0.0,0.0,0.0,16997.531480341266,16997.531480341266
t14,0.0,0.0,0.0,16811.828472788224,16811.828472788224
t15,0.0,0.0,0.0,17043.83092400895,17043.83092400895
t16,0.0,0.0,0.0,16429.45888637121,16429.45888637121
t17,0.0,0.0,0.0,12031.899679508766,12031.899679508766
t18,0.0,0.0,0.0,15674.150287184282,15674.150287184282
t19,0.0,0.0,0.0,21596.104380814493,21596.104380814493
t20,0.0,0.0,0.0,15836.180347221176,15836.180347221176
t21,0.0,0.0,0.0,22147.670385057594,22147.670385057594
t22,0.0,0.0,0.0,17031.906258274263,17031.906258274263
t23,0.0,0.0,0.0,17031.906258274263,17031.906258274263
t24,0.0,0.0,0.0,17031.906258274263,17031.906258274263
t25,0.0,0.0,0.0,10995.18395914256,10995.18395914256
t26,0.0,0.0,0.0,19932.649653798217,19932.649653798217
t27,0.0,0.0,0.0,13546.198499402914,13546.198499402914
t28,0.0,0.0,0.0,23653.592920753355,23653.592920753355
t29,0.0,0.0,0.0,17031.90625827427,17031.90625827427
t30,0.0,0.0,0.0,17031.906258274263,17031.906258274263
t31,0.0,0.0,0.0,15921.001547757647,15921.001547757647
t32,0.0,0.0,0.0,16898.900030410303,16898.900030410303
t33,0.0,0.0,0.0,11832.097245528865,11832.097245528865
t34,0.0,0.0,0.0,23475.626209400227,23475.626209400227
t35,0.0,0.0,0.0,14991.343743666068,14991.343743666068
t36,0.0,0.0,0.0,15676.268464609413,15676.268464609413
t37,0.0,0.0,0.0,15753.685244676486,15753.685244676486
t38,0.0,0.0,0.0,15455.450501726653,15455.450501726653
t39,0.0,0.0,0.0,23282.78333669269,23282.78333669269
t40,0.0,0.0,0.0,17031.906258274263,17031.906258274263
t41,0.0,0.0,0.0,17031.906258274263,17031.906258274263
t42,0.0,0.0,0.0,17031.906258274263,17031.906258274263
t43,0.0,0.0,0.0,17031.906258274277,17031.906258274277
t44,0.0,0.0,0.0,15543.107131885075,15543.107131885075
t45,0.0,0.0,0.0,10505.917793552548,10505.917793552548
t46,0.0,0.0,0.0,21386.462321722654,21386.462321722654
t47,0.0,0.0,0.0,20692.137785936764,20692.137785936764
t48,0.0,0.0,0.0,12305.408783433997,12305.408783433997
t49,0.0,0.0,0.0,21758.403733114526,21758.403733114526
t50,0.0,0.0,0.0,10685.284962901955,10685.284962901955
t51,0.0,0.0,0.0,17280.791852593255,17280.791852593255
t52,0.0,0.0,0.0,18754.40732691519,18754.40732691519
t53,0.0,0.0,0.0,18923.402921079054,18923.402921079054
t54,0.0,0.0,0.0,15742.504110213044,15742.504110213044
t55,0.0,0.0,0.0,16702.694101757977,16702.694101757977
t56,0.0,0.0,0.0,13464.30198181229,13464.30198181229
