BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.3010270423303384e8,6.4731704631583706e7,-7.647885707890323e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.183555517857143e8
t1,13778.100801270819,14415.805457002745,-17031.906258273564,0.0,0.0,0.0,0.0,0.0,0.0,-11162.0
t2,13172.100801270817,14415.805457002734,-17031.90625827355,0.0,0.0,0.0,0.0,0.0,0.0,-10556.0
t3,12721.100801270817,14415.805457002734,-17031.90625827355,0.0,0.0,0.0,0.0,0.0,0.0,-10105.0
t4,12494.100801270817,14415.805457002727,-17031.906258273542,0.0,0.0,0.0,0.0,0.0,0.0,-9878.0
t5,12459.100801270817,14415.805457002734,-17031.90625827355,0.0,0.0,0.0,0.0,0.0,0.0,-9843.0
t6,12633.100801270815,14415.80545700274,-17031.906258273557,0.0,0.0,0.0,0.0,0.0,0.0,-10017.0
t7,9450.451509199544,16193.630103038373,-15254.081612237916,0.0,0.0,0.0,0.0,0.0,0.0,-10390.0
t8,16898.750093342096,12637.980810967101,-18809.730904309192,0.0,0.0,0.0,0.0,0.0,0.0,-10727.0
t9,13914.100801270819,14415.805457002736,-17031.906258273553,0.0,0.0,0.0,0.0,0.0,0.0,-11298.0
t10,10621.08656180509,16342.8125767356,-15104.899138540692,0.0,0.0,0.0,0.0,0.0,0.0,-11859.0
t11,13821.125885203197,14911.292915036547,-16536.418800239742,0.0,0.0,0.0,0.0,0.0,0.0,-12196.0
t12,15490.531629330368,14139.090042972963,-17308.62167230333,0.0,0.0,0.0,0.0,0.0,0.0,-12321.0
t13,14928.351245404854,14450.180234935719,-16997.531480340574,0.0,0.0,0.0,0.0,0.0,0.0,-12381.0
t14,14445.94523029877,14635.883242488762,-16811.82847278753,0.0,0.0,0.0,0.0,0.0,0.0,-12270.0
t15,14788.95013274021,14403.880791268044,-17043.83092400825,0.0,0.0,0.0,0.0,0.0,0.0,-12149.0
t16,13630.206057464713,15018.25282890579,-16429.4588863705,0.0,0.0,0.0,0.0,0.0,0.0,-12219.0
t17,6026.087643739888,19415.812035768202,-12031.89967950809,0.0,0.0,0.0,0.0,0.0,0.0,-13410.0
t18,16035.396641851425,14177.753645331723,-15674.150287183147,0.0,0.0,0.0,0.0,0.0,0.0,-14539.0
t19,25100.34359266509,10400.684061305605,-21047.027653970687,0.0,0.0,0.0,0.0,0.0,0.0,-14454.0
t20,25566.330686417245,9946.690514429523,-21501.021200846768,0.0,0.0,0.0,0.0,0.0,0.0,-14012.0
t21,16110.100801270813,14415.805457002734,-17031.90625827355,0.0,0.0,0.0,0.0,0.0,0.0,-13494.0
t22,15388.100801270815,14415.805457002734,-17031.90625827355,0.0,0.0,0.0,0.0,0.0,0.0,-12772.0
t23,14493.100801270815,14415.805457002734,-17031.90625827355,0.0,0.0,0.0,0.0,0.0,0.0,-11877.0
t24,13490.100801270817,14415.805457002734,-17031.90625827355,0.0,0.0,0.0,0.0,0.0,0.0,-10874.0
t25,6839.614010223003,17316.548852526645,-14131.162862749647,0.0,0.0,0.0,0.0,0.0,0.0,-10025.0
t26,17928.587592318632,11515.06206147883,-19932.649653797464,0.0,0.0,0.0,0.0,0.0,0.0,-9511.0
t27,524.5652932330827,20093.5732110216,-11354.138504254686,0.0,0.0,0.0,0.0,0.0,0.0,-9264.0
t28,23179.63630930855,8738.037702983871,-22709.67401229242,0.0,0.0,0.0,0.0,0.0,0.0,-9208.0
t29,12026.100801270817,14415.805457002727,-17031.906258273542,0.0,0.0,0.0,0.0,0.0,0.0,-9410.0
t30,12540.100801270815,14415.805457002734,-17031.90625827355,0.0,0.0,0.0,0.0,0.0,0.0,-9924.0
t31,11090.291380237744,15526.710167519273,-15921.001547757018,0.0,0.0,0.0,0.0,0.0,0.0,-10696.0
t32,13679.088345542856,14548.81168486672,-16898.90003040957,0.0,0.0,0.0,0.0,0.0,0.0,-11329.0
t33,4321.48277578011,19615.614469748092,-11832.097245528199,0.0,0.0,0.0,0.0,0.0,0.0,-12105.0
t34,28402.54070352257,7972.0855058768575,-23475.626209399434,0.0,0.0,0.0,0.0,0.0,0.0,-12899.0
t35,12016.975772054479,16456.36797161091,-14991.343743665382,0.0,0.0,0.0,0.0,0.0,0.0,-13482.0
t36,13625.82521394116,15771.44325066757,-15676.268464608722,0.0,0.0,0.0,0.0,0.0,0.0,-13721.0
