Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,0.0,0.0,0.0,6097.35462224562
t2,0.0,0.0,0.0,6097.35462224562
t3,0.0,0.0,0.0,6097.35462224562
t4,0.0,0.0,0.0,6097.35462224562
t5,0.0,0.0,0.0,6097.35462224562
t6,0.0,0.0,0.0,6097.35462224562
t7,0.0,0.0,0.0,5817.929880774979
t8,0.0,0.0,0.0,6097.35462224562
t9,0.0,0.0,0.0,6097.35462224562
t10,0.0,0.0,0.0,3554.8815591172324
t11,0.0,0.0,0.0,3554.8815591172324
t12,0.0,0.0,0.0,3554.8815591172324
t13,0.0,0.0,0.0,3554.8815591172324
t14,0.0,0.0,0.0,3554.8815591172324
t15,0.0,0.0,0.0,3554.8815591172324
t16,0.0,0.0,0.0,3554.8815591172324
t17,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,-0.0
t19,0.0,0.0,0.0,2394.557930000936
t20,0.0,0.0,0.0,4761.996406550943
t21,0.0,0.0,0.0,6097.35462224562
t22,0.0,0.0,0.0,2542.4730631283865
t23,0.0,0.0,0.0,5551.324814765213
t24,0.0,0.0,0.0,4887.232314101659
t25,0.0,0.0,0.0,4209.05920389351
t26,0.0,0.0,0.0,6097.35462224562
t27,0.0,0.0,0.0,3088.5028706087933
t28,0.0,0.0,0.0,6097.35462224562
t29,0.0,0.0,0.0,6097.35462224562
t30,0.0,0.0,0.0,6097.35462224562
t31,0.0,0.0,0.0,5803.254766015092
t32,0.0,0.0,0.0,2750.502908953778
t33,0.0,0.0,0.0,2830.5274347559
t34,0.0,0.0,0.0,3126.0042470294948
t35,0.0,0.0,0.0,6097.35462224562
t36,0.0,0.0,0.0,6097.35462224562
t37,0.0,0.0,0.0,6097.35462224562
t38,0.0,0.0,0.0,6097.35462224562
t39,0.0,0.0,0.0,6097.35462224562
t40,0.0,0.0,0.0,6097.35462224562
t41,0.0,0.0,0.0,6097.35462224562
t42,0.0,0.0,0.0,5347.370326543484
t43,0.0,0.0,0.0,3554.8815591172324
t44,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,290.8982475031941
t46,0.0,0.0,0.0,2762.6354749501224
t47,0.0,0.0,0.0,3750.194886969469
t48,0.0,0.0,0.0,6097.35462224562
t49,0.0,0.0,0.0,5120.906895416274
t50,0.0,0.0,0.0,6097.35462224562
t51,0.0,0.0,0.0,4267.889886065507
t52,0.0,0.0,0.0,4762.41744830203
t53,0.0,0.0,0.0,5327.758718475343
t54,0.0,0.0,0.0,6097.35462224562
t55,0.0,0.0,0.0,5861.129035352191
t56,0.0,0.0,0.0,2306.247476234958
t57,0.0,0.0,0.0,-0.0
t58,0.0,0.0,0.0,3008.851751636826
t59,0.0,0.0,0.0,5686.7100149209655
t60,0.0,0.0,0.0,6097.35462224562
t61,0.0,0.0,0.0,6097.35462224562
t62,0.0,0.0,0.0,6097.35462224562
t63,0.0,0.0,0.0,6097.35462224562
t64,0.0,0.0,0.0,6097.35462224562
t65,0.0,0.0,0.0,6097.35462224562
t66,0.0,0.0,0.0,4154.789289827047
t67,0.0,0.0,0.0,3749.3996437991245
t68,0.0,0.0,0.0,761.127808667407
t69,0.0,0.0,0.0,845.5458191082936
t70,0.0,0.0,0.0,1715.6792003222688
t71,0.0,0.0,0.0,3088.5028706087933
t72,0.0,0.0,0.0,6097.35462224562
t73,0.0,0.0,0.0,6097.35462224562
t74,0.0,0.0,0.0,6097.35462224562
t75,0.0,0.0,0.0,6097.35462224562
t76,0.0,0.0,0.0,6097.35462224562
t77,0.0,0.0,0.0,6097.35462224562
t78,0.0,0.0,0.0,6097.35462224562
t79,0.0,0.0,0.0,5678.446974038544
t80,0.0,0.0,0.0,3291.858956960464
t81,0.0,0.0,0.0,2516.121022654733
t82,0.0,0.0,0.0,3552.1076258335033
t83,0.0,0.0,0.0,6097.35462224562
t84,0.0,0.0,0.0,6097.35462224562
t85,0.0,0.0,0.0,6097.35462224562
t86,0.0,0.0,0.0,6097.35462224562
t87,0.0,0.0,0.0,6097.35462224562
t88,0.0,0.0,0.0,6097.35462224562
t89,0.0,0.0,0.0,3293.3155384909937
t90,0.0,0.0,0.0,16.996256627341083
t91,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,-0.0
t93,0.0,0.0,0.0,-0.0
t94,0.0,0.0,0.0,-0.0
t95,0.0,0.0,0.0,-0.0
t96,0.0,0.0,0.0,-0.0
t97,0.0,0.0,0.0,-0.0
t98,0.0,0.0,0.0,1917.1455165415941
t99,0.0,0.0,0.0,1917.1455165415941
t100,0.0,0.0,0.0,2526.822389186579
t101,0.0,0.0,0.0,3002.861642955816
t102,0.0,0.0,0.0,3002.861642955816
t103,0.0,0.0,0.0,1867.5328866381076
t104,0.0,0.0,0.0,0.0
t105,0.0,0.0,0.0,0.0
t106,0.0,0.0,0.0,0.0
t107,0.0,0.0,0.0,0.0
t108,0.0,0.0,0.0,-0.0
t109,0.0,0.0,0.0,-0.0
t110,0.0,0.0,0.0,606.1419629863984
t111,0.0,0.0,0.0,1182.0520499147985
t112,0.0,0.0,0.0,4190.903801551625
t113,0.0,0.0,0.0,5874.868332754289
t114,0.0,0.0,0.0,6097.35462224562
t115,0.0,0.0,0.0,6097.35462224562
t116,0.0,0.0,0.0,6097.35462224562
t117,0.0,0.0,0.0,6097.35462224562
t118,0.0,0.0,0.0,2542.4730631283874
t119,0.0,0.0,0.0,2542.4730631283874
t120,0.0,0.0,0.0,2542.4730631283874
t121,0.0,0.0,0.0,2542.4730631283874
t122,0.0,0.0,0.0,2542.4730631283874
t123,0.0,0.0,0.0,2542.4730631283874
t124,0.0,0.0,0.0,1452.1266992079386
t125,0.0,0.0,0.0,1452.1266992079386
t126,0.0,0.0,0.0,1452.1266992079386
t127,0.0,0.0,0.0,1452.1266992079386
t128,0.0,0.0,0.0,42.374732726725206
t129,0.0,0.0,0.0,42.374732726725206
t130,0.0,0.0,0.0,2136.1181220057783
t131,0.0,0.0,0.0,2377.3756395050887
t132,0.0,0.0,0.0,4242.625267566147
t133,0.0,0.0,0.0,5448.389532548777
t134,0.0,0.0,0.0,6097.35462224562
t135,0.0,0.0,0.0,6097.35462224562
t136,0.0,0.0,0.0,5738.255643161901
t137,0.0,0.0,0.0,4604.312182764833
t138,0.0,0.0,0.0,4604.312182764833
t139,0.0,0.0,0.0,3874.01242755384
t140,0.0,0.0,0.0,422.02613854080795
t141,0.0,0.0,0.0,0.0
t142,0.0,0.0,0.0,-0.0
t143,0.0,0.0,0.0,-0.0
t144,0.0,0.0,0.0,-0.0
t145,0.0,0.0,0.0,-0.0
t146,0.0,0.0,0.0,1143.295687957643
t147,0.0,0.0,0.0,3629.926851585271
t148,0.0,0.0,0.0,5693.9064197305315
t149,0.0,0.0,0.0,5693.9064197305315
t150,0.0,0.0,0.0,4990.406489978074
t151,0.0,0.0,0.0,2879.4151672104836
t152,0.0,0.0,0.0,0.0
t153,0.0,0.0,0.0,-0.0
t154,0.0,0.0,0.0,-0.0
t155,0.0,0.0,0.0,1020.1053259742321
t156,0.0,0.0,0.0,1388.13885308691
t157,0.0,0.0,0.0,2178.3259290054807
t158,0.0,0.0,0.0,3864.1420551149217
t159,0.0,0.0,0.0,5585.253954437416
t160,0.0,0.0,0.0,5440.228517642224
t161,0.0,0.0,0.0,1885.346958524991
t162,0.0,0.0,0.0,-0.0
t163,0.0,0.0,0.0,1877.7170550701446
t164,0.0,0.0,0.0,3088.5028706087933
t165,0.0,0.0,0.0,6097.35462224562
t166,0.0,0.0,0.0,6097.35462224562
t167,0.0,0.0,0.0,6097.35462224562
t168,0.0,0.0,0.0,6097.35462224562
t169,0.0,0.0,0.0,3008.851751636826
t170,0.0,0.0,0.0,6017.703503273652
t171,0.0,0.0,0.0,6097.35462224562
t172,0.0,0.0,0.0,6097.35462224562
t173,0.0,0.0,0.0,6097.35462224562
t174,0.0,0.0,0.0,6097.35462224562
t175,0.0,0.0,0.0,4744.027201475462
t176,0.0,0.0,0.0,6097.35462224562
t177,0.0,0.0,0.0,6097.35462224562
t178,0.0,0.0,0.0,6097.35462224562
t179,0.0,0.0,0.0,6097.35462224562
t180,0.0,0.0,0.0,6097.35462224562
t181,0.0,0.0,0.0,6097.35462224562
t182,0.0,0.0,0.0,6097.35462224562
t183,0.0,0.0,0.0,6097.35462224562
t184,0.0,0.0,0.0,6097.35462224562
t185,0.0,0.0,0.0,6097.35462224562
t186,0.0,0.0,0.0,5963.717138002892
t187,0.0,0.0,0.0,5249.662481548365
t188,0.0,0.0,0.0,4259.396062551879
t189,0.0,0.0,0.0,3884.269159905096
t190,0.0,0.0,0.0,2680.8477375745433
t191,0.0,0.0,0.0,4452.8170860924465
t192,0.0,0.0,0.0,3088.5028706087933
