Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,0.0,2.2868802255668477e6,4.798324996876338e6,0.0,7.085205222443186e6
t1,0.0,0.0,4469.7918585938,0.0,4469.7918585938
t2,0.0,0.0,4835.4729582979935,0.0,4835.4729582979935
t3,0.0,0.0,5702.221021156596,0.0,5702.221021156596
t4,0.0,0.0,5780.877320196595,0.0,5780.877320196595
t5,0.0,0.0,3448.5852231676226,0.0,3448.5852231676226
t6,0.0,0.0,1107.9048820315265,0.0,1107.9048820315265
t7,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0,0.0
t10,0.0,0.0,2.7755575615628914e-14,0.0,2.7755575615628914e-14
t11,0.0,0.0,6.938893903907228e-15,0.0,6.938893903907228e-15
t12,0.0,0.0,6.938893903907228e-15,0.0,6.938893903907228e-15
t13,0.0,8.881784197001252e-13,1.3877787807814457e-14,0.0,9.020562075079397e-13
t14,0.0,8.881784197001252e-13,0.0,0.0,8.881784197001252e-13
t15,0.0,0.0,2.220446049250313e-13,0.0,2.220446049250313e-13
t16,0.0,8.881784197001252e-13,0.0,0.0,8.881784197001252e-13
t17,0.0,0.0,4.440892098500626e-13,0.0,4.440892098500626e-13
t18,0.0,0.0,0.0,0.0,0.0
t19,0.0,0.0,3.552713678800501e-12,0.0,3.552713678800501e-12
t20,0.0,0.0,1.7763568394002505e-12,0.0,1.7763568394002505e-12
t21,0.0,0.0,2031.979289320063,0.0,2031.979289320063
t22,0.0,0.0,7171.3266215252725,0.0,7171.3266215252725
t23,0.0,0.0,456.95662846274666,0.0,456.95662846274666
t24,0.0,0.0,1.7763568394002505e-12,0.0,1.7763568394002505e-12
t25,0.0,0.0,1.7763568394002505e-12,0.0,1.7763568394002505e-12
t26,0.0,0.0,3123.217144747786,0.0,3123.217144747786
t27,0.0,0.0,0.0,0.0,0.0
t28,0.0,0.0,6753.827668022691,0.0,6753.827668022691
t29,0.0,0.0,5572.631171983861,0.0,5572.631171983861
t30,0.0,0.0,4522.862722070173,0.0,4522.862722070173
t31,0.0,0.0,1.7763568394002505e-12,0.0,1.7763568394002505e-12
t32,0.0,0.0,424.1402933083851,0.0,424.1402933083851
t33,0.0,0.0,0.0,0.0,0.0
t34,0.0,4396.413436695537,1.7763568394002505e-12,0.0,4396.413436695539
t35,0.0,6369.525845089612,1.7763568394002505e-12,0.0,6369.5258450896135
t36,0.0,7272.475591303852,3716.0252246863583,0.0,10988.50081599021
t37,0.0,7348.364530088238,3827.0811275295086,0.0,11175.445657617747
t38,0.0,6963.774823367359,3810.836075202797,0.0,10774.610898570156
t39,0.0,6015.806215162383,3947.2491216420594,0.0,9963.055336804442
t40,0.0,4107.006466755075,3066.4494619574753,0.0,7173.45592871255
t41,0.0,1290.1119593345882,2019.8582834851368,0.0,3309.970242819725
t42,0.0,0.0,0.0,0.0,0.0
t43,0.0,0.0,1.7763568394002505e-12,0.0,1.7763568394002505e-12
t44,0.0,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,0.0,0.0
t46,0.0,0.0,220.3047492591512,0.0,220.3047492591512
t47,0.0,0.0,1233.2727639352702,0.0,1233.2727639352702
t48,0.0,0.0,1.7763568394002505e-12,0.0,1.7763568394002505e-12
t49,0.0,0.0,4665.747185198201,0.0,4665.747185198201
t50,0.0,0.0,0.0,0.0,0.0
t51,0.0,0.0,0.0,0.0,0.0
