Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,7.647885707890502e7,7.647885707890502e7
t1,0.0,0.0,0.0,17031.906258273877,17031.906258273877
t2,0.0,0.0,0.0,17031.906258273877,17031.906258273877
t3,0.0,0.0,0.0,17031.906258273877,17031.906258273877
t4,0.0,0.0,0.0,17031.90625827387,17031.90625827387
t5,0.0,0.0,0.0,17031.906258273877,17031.906258273877
t6,0.0,0.0,0.0,13988.958688352619,13988.958688352619
t7,0.0,0.0,0.0,18297.02918215947,18297.02918215947
t8,0.0,0.0,0.0,18809.730904309534,18809.730904309534
t9,0.0,0.0,0.0,17031.906258273873,17031.906258273873
t10,0.0,0.0,0.0,15104.899138541,15104.899138541
t11,0.0,0.0,0.0,16536.418800240055,16536.418800240055
t12,0.0,0.0,0.0,17308.621672303645,17308.621672303645
t13,0.0,0.0,0.0,16997.531480340887,16997.531480340887
t14,0.0,0.0,0.0,16811.828472787845,16811.828472787845
t15,0.0,0.0,0.0,17043.830924008565,17043.830924008565
t16,0.0,0.0,0.0,16429.45888637082,16429.45888637082
t17,0.0,0.0,0.0,12031.899679508399,12031.899679508399
t18,0.0,0.0,0.0,15674.150287183702,15674.150287183702
t19,0.0,0.0,0.0,21596.104380814053,21596.104380814053
t20,0.0,0.0,0.0,15836.180347220803,15836.180347220803
t21,0.0,0.0,0.0,22147.670385057154,22147.670385057154
t22,0.0,0.0,0.0,17031.906258273877,17031.906258273877
t23,0.0,0.0,0.0,17031.906258273862,17031.906258273862
t24,0.0,0.0,0.0,13092.634686646188,13092.634686646188
t25,0.0,0.0,0.0,18070.434434377632,18070.434434377632
t26,0.0,0.0,0.0,19932.649653797802,19932.649653797802
t27,0.0,0.0,0.0,11354.138504254981,11354.138504254981
t28,0.0,0.0,0.0,22709.674012292766,22709.674012292766
t29,0.0,0.0,0.0,17031.90625827387,17031.90625827387
t30,0.0,0.0,0.0,15516.088840405651,15516.088840405651
t31,0.0,0.0,0.0,18547.723676142097,18547.723676142097
t32,0.0,0.0,0.0,16458.87546455373,16458.87546455373
t33,0.0,0.0,0.0,17604.937051994017,17604.937051994017
t34,0.0,0.0,0.0,17031.906258273873,17031.906258273873
t35,0.0,0.0,0.0,17031.906258273862,17031.906258273862
t36,0.0,0.0,0.0,17031.906258273873,17031.906258273873
t37,0.0,0.0,0.0,17031.906258273873,17031.906258273873
t38,0.0,0.0,0.0,17031.906258273873,17031.906258273873
t39,0.0,0.0,0.0,17031.906258273873,17031.906258273873
t40,0.0,0.0,0.0,17031.906258273877,17031.906258273877
t41,0.0,0.0,0.0,14604.823602435968,14604.823602435968
t42,0.0,0.0,0.0,18695.496638955374,18695.496638955374
t43,0.0,0.0,0.0,17795.398533430285,17795.398533430285
t44,0.0,0.0,0.0,8253.26178996927,8253.26178996927
t45,0.0,0.0,0.0,19626.316353096987,19626.316353096987
t46,0.0,0.0,0.0,21386.46232172222,21386.46232172222
t47,0.0,0.0,0.0,18861.584568307022,18861.584568307022
t48,0.0,0.0,0.0,12305.408783433651,12305.408783433651
t49,0.0,0.0,0.0,21758.403733114097,21758.403733114097
t50,0.0,0.0,0.0,17031.906258273862,17031.906258273862
t51,0.0,0.0,0.0,10770.701662149719,10770.701662149719
t52,0.0,0.0,0.0,18754.40732691478,18754.40732691478
t53,0.0,0.0,0.0,18923.40292107864,18923.40292107864
t54,0.0,0.0,0.0,15905.973005283751,15905.973005283751
t55,0.0,0.0,0.0,16702.694101757574,16702.694101757574
t56,0.0,0.0,0.0,13464.301981811903,13464.301981811903
t57,0.0,0.0,0.0,16677.624712336557,16677.624712336557
t58,0.0,0.0,0.0,20367.341464417117,20367.341464417117
