Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,1.9408793918109708e7,3.1818843411029678e7,7.470115319611308e7,4.173170097099616e7,1.676604914962486e8
t1,632.0377593984963,0.0,11930.159775008942,7715.671830224324,20277.869364631762
t2,597.7235789473684,0.0,11358.47395546007,7715.6718302243125,19671.86936463175
t3,572.1861278195488,0.0,10933.011406587888,7715.6718302243125,19220.869364631748
t4,559.3324661654135,0.0,10718.865068242025,7715.671830224318,18993.869364631755
t5,557.3506240601505,0.0,10685.846910347285,7715.671830224318,18958.869364631755
t6,567.2032105263158,0.0,10849.99432388112,7715.671830224318,19132.86936463175
t7,588.323984962406,0.0,0.0,13316.608604946832,13904.932589909238
t8,607.4062932330827,0.0,17512.315575662997,4719.409662979999,22839.131531876075
t9,639.7386315789474,0.0,0.0,13744.901281638562,14384.63991321751
t10,671.5047293233083,11336.418549978313,0.0,8341.308957777226,20349.232237078846
t11,690.5870375939849,15189.215343887028,0.0,6573.869406687531,22453.671788168544
t12,697.665045112782,17134.111393487034,0.0,5660.382378128126,23492.15881672794
t13,701.0624887218046,16404.77537488703,0.0,6053.351665623618,23159.18952923245
t14,694.7772180451128,15749.429966869639,0.0,6328.66700497066,22772.87418988541
t15,687.9257067669172,10632.558935782172,0.0,8830.02827615349,20150.51291870258
t16,691.8893909774437,8749.38970139352,0.0,9804.631051242552,19245.910143613517
t17,759.3286466165413,0.0,0.0,14741.106274119766,15500.434920736307
t18,823.2572105263158,0.0,16352.229108354426,7097.5274379876655,24273.013756868408
t19,818.4441654135338,0.0,27282.187450676673,1592.4547893829322,29693.08640547314
t20,793.4163308270677,0.0,26629.546294460026,1710.2892847844887,29133.251910071584
t21,764.085067669173,0.0,15120.373373304328,7220.541376941285,23104.999817914788
t22,723.2024962406015,0.0,13448.995038166833,7715.6718302243125,21887.869364631748
t23,672.5239624060151,0.0,12604.67357200142,7715.6718302243125,20992.869364631748
t24,615.730030075188,0.0,0.0,13544.905582390442,14160.63561246563
t25,567.6562030075188,0.0,0.0,13144.442495924277,13712.098698931795
t26,538.5514360902256,0.0,18693.3505778709,3555.3195904474715,22787.221604408598
t27,524.5652932330828,0.0,8903.592936904195,8333.691482359396,17761.849712496674
t28,521.3943458646615,0.0,25518.14684899141,0.0,26039.541194856072
t29,532.8324060150377,0.0,10277.3651283924,7715.671830224306,18525.86936463174
t30,561.9371729323307,0.0,6630.869884448513,9781.367068737614,16974.174126118458
t31,605.6509473684212,0.0,0.0,13460.945123743826,14066.596071112248
t32,641.4939774436091,0.0,0.0,13759.523608706231,14401.017586149841
t33,685.4342481203008,0.0,16319.538611674861,5965.784167530454,22970.757027325617
t34,730.3937518796992,0.0,15956.275641816135,6521.935900580118,23208.60529427595
t35,763.4055789473683,6748.3540790617935,0.0,11400.890768423455,18912.650426432618
t36,776.9387293233082,0.0,20582.597423667627,4596.502520932569,25956.038673923504
t37,775.693,0.0,9043.374727638366,10355.736733608854,20174.80446124722
t38,770.710082706767,0.0,18709.58932015001,5481.120895999647,24961.420298856425
t39,768.2752481203008,0.0,10417.274464831613,9606.99574095208,20792.545453903993
t40,779.9398045112781,2385.0769625135017,27440.524427831293,0.0,30605.541194856072
t41,853.0980902255641,0.0,27729.924237676583,1657.2594334769606,30240.28176137911
t42,927.1623609022556,0.0,16847.03517350518,7715.671830224324,25489.869364631762
t43,919.0084962406014,0.0,0.0,16071.266349307734,16990.274845548334
t44,896.8118646616541,0.0,3015.4901730525216,14378.619578570948,18290.921616285123
t45,860.5158421052631,0.0,23800.81588186761,3683.604735441598,28344.936459414468
t46,803.4387894736843,0.0,26562.748914109896,1827.1767456362472,29193.364449219825
t47,732.7153383458646,0.0,23803.442372180078,2617.691742165064,27153.849452691007
t48,668.616902255639,0.0,12539.580632151796,7715.6718302243125,20923.869364631748
t49,626.0922330827068,0.0,0.0,13631.224480886684,14257.31671396939
t50,604.8582105263158,0.0,18993.287408313485,3957.6977880081367,23555.843406847936
t51,594.6658796992481,0.0,9779.254190595339,8479.810562280743,18853.73063257533
t52,595.9116090225564,0.0,0.0,13379.814792916757,13975.726401939313
t53,617.258879699248,0.0,17933.147758104125,4591.06727852635,23141.473916329724
t54,680.6778270676691,0.0,20138.03419167932,4016.9145880545434,24835.626606801532
t55,792.9067142857143,0.0,16304.534120670929,6868.550179949714,23965.991014906358
t56,855.7594210526315,0.0,0.0,15544.39088690172,16400.15030795435
t57,866.4047443609023,461.68507037368835,0.0,15402.22569006074,16730.315504795333
t58,872.3502706766918,3339.7633802891037,25605.88225737274,1209.772643258768,31027.768551597306
t59,880.1643909774436,5050.846999734711,0.0,13222.26490207196,19153.276292784114
t60,881.6366165413534,3363.293514465955,28156.611063848763,0.0,32401.541194856072
t61,878.0693007518798,2679.2398772936626,28781.23201681053,0.0,32338.541194856072
t62,876.8235714285714,16008.37396297888,0.0,7715.671830224309,24600.869364631762
t63,873.4827518796992,0.0,0.0,15692.029221488188,16565.511973367888
t64,885.5436766917293,3145.8073579128627,28439.190160251477,0.0,32470.54119485607
t65,954.6816541353382,0.0,0.0,16368.429770360364,17323.111424495703
t66,1030.27477443609,0.0,10670.138273186838,11663.064073616571,23363.4771212395
t67,1032.2566165413534,0.0,28672.46365291294,2678.4104627008905,32383.13073215518
t68,1014.9296541353383,0.0,23862.97731575943,4938.817112480649,29816.72408237542
t69,981.9178270676691,0.0,27852.719025941293,2668.952170923557,31503.589023932516
t70,923.9914135338347,0.0,3814.790424981844,14205.379678170199,18944.161516685876
t71,846.6429473684211,0.0,28484.97028293078,1225.9639822784363,30557.57721257764
t72,778.9205714285715,0.0,14377.276962978864,7715.671830224301,22871.869364631733
t73,736.7922706766918,0.0,13675.405263730743,7715.671830224301,22127.869364631733
t74,714.6522631578947,0.0,13306.545271249543,7715.6718302243125,21736.86936463175
t75,703.38407518797,0.0,13118.813459219464,7715.671830224301,21537.869364631733
t76,704.6298045112783,0.0,13139.567729896156,7715.6718302243125,21559.869364631748
t77,723.881984962406,0.0,13460.315549445031,7715.6718302243125,21899.86936463175
t78,783.6769924812029,0.0,14456.520541926233,7715.6718302243125,22955.869364631748
t79,892.4518120300752,0.0,16268.74572237736,7715.6718302243125,24876.869364631748
t80,951.6805789473685,0.0,17255.516955460065,7715.6718302243125,25922.869364631748
t81,952.8696842105264,0.0,17209.925207185883,7748.373151729831,25911.168043126243
t82,950.3216015037594,0.0,17298.278575914705,7682.970508718807,25931.570686137267
t83,948.1698872180452,0.0,16654.63773798637,7986.866784825828,25589.674410030246
t84,938.8835413533836,16182.385997145193,0.0,8145.635828178747,25266.905366677325
t85,925.4636390977445,17778.886714278342,0.0,7235.595420739994,25939.94577411608
t86,917.5362706766919,17128.826349873994,0.0,7494.589287152696,25540.951907703384
