Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,0.0,0.0,0.0,638.697193956887
t2,0.0,0.0,0.0,638.697193956887
t3,0.0,0.0,0.0,638.697193956887
t4,0.0,0.0,0.0,638.697193956887
t5,0.0,0.0,0.0,638.697193956887
t6,0.0,0.0,0.0,638.697193956887
t7,0.0,0.0,0.0,638.6971939568872
t8,0.0,0.0,0.0,638.6971939568872
t9,0.0,0.0,0.0,638.6971939568872
t10,0.0,0.0,0.0,638.6971939568872
t11,0.0,0.0,0.0,638.6971939568872
t12,0.0,0.0,0.0,638.6971939568872
t13,0.0,0.0,0.0,638.6971939568872
t14,0.0,0.0,0.0,638.6971939568872
t15,0.0,0.0,0.0,638.6971939568872
t16,0.0,0.0,0.0,638.6971939568872
t17,0.0,0.0,0.0,638.6971939568872
t18,0.0,0.0,0.0,638.6971939568871
t19,0.0,0.0,0.0,638.6971939568871
t20,0.0,0.0,0.0,638.6971939568871
t21,0.0,0.0,0.0,638.6971939568871
t22,0.0,0.0,0.0,638.697193956887
t23,0.0,0.0,0.0,638.697193956887
t24,0.0,0.0,0.0,638.6971939568872
t25,0.0,0.0,0.0,638.6971939568872
t26,0.0,0.0,0.0,638.6971939568872
t27,0.0,0.0,0.0,638.6971939568872
t28,0.0,0.0,0.0,638.6971939568872
t29,0.0,0.0,0.0,638.697193956887
t30,0.0,0.0,0.0,638.6971939568872
t31,0.0,0.0,0.0,638.6971939568872
t32,0.0,0.0,0.0,638.6971939568872
t33,0.0,0.0,0.0,638.6971939568872
t34,0.0,0.0,0.0,638.6971939568872
t35,0.0,0.0,0.0,638.6971939568871
t36,0.0,0.0,0.0,638.6971939568872
t37,0.0,0.0,0.0,638.6971939568871
t38,0.0,0.0,0.0,638.6971939568872
t39,0.0,0.0,0.0,638.6971939568871
t40,0.0,0.0,0.0,638.6971939568871
t41,0.0,0.0,0.0,638.6971939568871
t42,0.0,0.0,0.0,638.697193956887
t43,0.0,0.0,0.0,638.6971939568872
t44,0.0,0.0,0.0,638.6971939568872
t45,0.0,0.0,0.0,638.6971939568872
t46,0.0,0.0,0.0,638.6971939568872
t47,0.0,0.0,0.0,638.6971939568872
t48,0.0,0.0,0.0,638.697193956887
t49,0.0,0.0,0.0,638.6971939568872
t50,0.0,0.0,0.0,638.6971939568872
t51,0.0,0.0,0.0,638.6971939568872
t52,0.0,0.0,0.0,638.6971939568872
t53,0.0,0.0,0.0,638.6971939568872
t54,0.0,0.0,0.0,638.6971939568872
t55,0.0,0.0,0.0,638.6971939568872
t56,0.0,0.0,0.0,638.6971939568872
t57,0.0,0.0,0.0,638.6971939568871
t58,0.0,0.0,0.0,638.6971939568872
t59,0.0,0.0,0.0,638.6971939568871
t60,0.0,0.0,0.0,638.6971939568871
t61,0.0,0.0,0.0,638.6971939568871
t62,0.0,0.0,0.0,638.6971939568872
t63,0.0,0.0,0.0,638.6971939568872
t64,0.0,0.0,0.0,638.6971939568872
t65,0.0,0.0,0.0,638.6971939568872
t66,0.0,0.0,0.0,638.6971939568872
t67,0.0,0.0,0.0,638.6971939568872
t68,0.0,0.0,0.0,638.6971939568872
t69,0.0,0.0,0.0,638.6971939568872
t70,0.0,0.0,0.0,638.6971939568872
t71,0.0,0.0,0.0,638.6971939568872
t72,0.0,0.0,0.0,638.697193956887
t73,0.0,0.0,0.0,638.697193956887
t74,0.0,0.0,0.0,638.697193956887
t75,0.0,0.0,0.0,638.697193956887
t76,0.0,0.0,0.0,638.697193956887
t77,0.0,0.0,0.0,638.697193956887
t78,0.0,0.0,0.0,638.697193956887
t79,0.0,0.0,0.0,638.697193956887
t80,0.0,0.0,0.0,638.697193956887
t81,0.0,0.0,0.0,638.6971939568872
t82,0.0,0.0,0.0,638.6971939568872
t83,0.0,0.0,0.0,638.6971939568872
t84,0.0,0.0,0.0,638.6971939568872
t85,0.0,0.0,0.0,638.6971939568872
t86,0.0,0.0,0.0,638.6971939568872
t87,0.0,0.0,0.0,-85.56703565662026
t88,0.0,0.0,0.0,-172.4407179597824
t89,0.0,0.0,0.0,-172.44071795978238
t90,0.0,0.0,0.0,-172.44071795978238
t91,0.0,0.0,0.0,-172.44071795978243
t92,0.0,0.0,0.0,-172.44071795978243
t93,0.0,0.0,0.0,-172.44071795978243
t94,0.0,0.0,0.0,-147.60050185503135
t95,0.0,0.0,0.0,-147.60050185503135
t96,0.0,0.0,0.0,-147.60050185503135
t97,0.0,0.0,0.0,-147.60050185503135
t98,0.0,0.0,0.0,-147.60050185503135
t99,0.0,0.0,0.0,-147.60050185503135
t100,0.0,0.0,0.0,-147.60050185503135
t101,0.0,0.0,0.0,-147.60050185503135
t102,0.0,0.0,0.0,-147.60050185503135
t103,0.0,0.0,0.0,-147.60050185503135
t104,0.0,0.0,0.0,-147.60050185503135
t105,0.0,0.0,0.0,-147.60050185503135
