Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,4.4480150375939855,0.0,0.0,0.0
t2,4.206526315789473,0.0,0.0,0.0
t3,4.026804511278195,0.0,0.0,0.0
t4,3.991736842105263,0.0,0.0,0.0
t5,3.991736842105263,0.0,0.0,0.0
t6,3.991736842105263,0.0,0.0,0.0
t7,4.1403759398496245,0.0,0.0,0.0
t8,4.274669172932331,0.0,0.0,0.0
t9,7.083625318036351,0.0,0.0,0.0
t10,29.877307643300682,0.0,0.0,0.0
t11,29.877307643300682,0.0,0.0,0.0
t12,29.877307643300682,0.0,0.0,0.0
t13,32.19016204544465,0.0,0.0,0.0
t14,32.19016204544465,0.0,0.0,0.0
t15,32.19016204544465,0.0,0.0,0.0
t16,32.19016204544465,0.0,0.0,0.0
t17,40.15998396151204,0.0,0.0,0.0
t18,35.19187859795509,0.0,0.0,0.0
t19,7.969821916067389,0.0,0.0,0.0
t20,7.969821916067389,0.0,0.0,0.0
t21,7.969821916067389,0.0,0.0,0.0
t22,7.969821916067389,0.0,0.0,0.0
t23,4.73293984962406,0.0,0.0,0.0
t24,4.333248120300752,0.0,0.0,0.0
t25,4.333248120300752,0.0,0.0,0.0
t26,4.333248120300752,0.0,0.0,0.0
t27,4.333248120300752,0.0,0.0,0.0
t28,4.333248120300752,0.0,0.0,0.0
t29,4.333248120300752,0.0,0.0,0.0
t30,4.333248120300752,0.0,0.0,0.0
t31,5.070498661378057,0.0,0.0,0.0
t32,10.162851837161277,0.0,0.0,0.0
t33,5.829603716860529,0.0,0.0,0.0
t34,5.829603716860529,0.0,0.0,0.0
t35,5.829603716860529,0.0,0.0,0.0
t36,5.829603716860529,0.0,0.0,0.0
t37,5.829603716860529,0.0,0.0,0.0
t38,5.829603716860529,0.0,0.0,0.0
t39,8.322587687300558,0.0,0.0,0.0
t40,15.048959400512707,0.0,0.0,0.0
t41,15.048959400512707,0.0,0.0,0.0
t42,15.048959400512707,0.0,0.0,0.0
t43,24.80750960793202,0.0,0.0,0.0
