Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,3386.9957057205147,0.0,0.0,0.0,3386.9957057205147
t1,0.055789473684209945,0.0,0.0,0.0,0.055789473684209945
t2,0.24148872180451253,0.0,0.0,0.0,0.24148872180451253
t3,0.17972180451127784,0.0,0.0,0.0,0.17972180451127784
t4,0.09045864661654068,0.0,0.0,0.0,0.09045864661654068
t5,0.013947368421052708,0.0,0.0,0.0,0.013947368421052708
t6,0.0,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0
t14,0.04423308270676607,0.0,0.0,0.0,0.04423308270676607
t15,0.04821804511278316,0.0,0.0,0.0,0.04821804511278316
t16,0.0,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0,0.0
t19,0.0338721804511275,0.0,0.0,0.0,0.0338721804511275
t20,0.1761353383458646,0.0,0.0,0.0,0.1761353383458646
t21,0.20642105263157884,0.0,0.0,0.0,0.20642105263157884
t22,0.28771428571428626,0.0,0.0,0.0,0.28771428571428626
t23,0.35665413533834567,0.0,0.0,0.0,0.35665413533834567
t24,0.3996917293233082,0.0,0.0,0.0,0.3996917293233082
t25,0.33832330827067647,0.0,0.0,0.0,0.33832330827067647
t26,0.2048270676691728,0.0,0.0,0.0,0.2048270676691728
t27,0.09842857142857175,0.0,0.0,0.0,0.09842857142857175
t28,0.02231578947368451,0.0,0.0,0.0,0.02231578947368451
t29,0.0,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,0.0,0.0
t37,0.008766917293232979,0.0,0.0,0.0,0.008766917293232979
t38,0.035067669172931915,0.0,0.0,0.0,0.035067669172931915
t39,0.01713533834586478,0.0,0.0,0.0,0.01713533834586478
t40,0.0,0.0,0.0,0.0,0.0
t41,0.0,0.0,0.0,0.0,0.0
t42,0.0,0.0,0.0,0.0,0.0
t43,0.057383458646616425,0.0,0.0,0.0,0.057383458646616425
t44,0.1562105263157898,0.0,0.0,0.0,0.1562105263157898
t45,0.25543609022556435,0.0,0.0,0.0,0.25543609022556435
t46,0.4016842105263141,0.0,0.0,0.0,0.4016842105263141
t47,0.49772180451127923,0.0,0.0,0.0,0.49772180451127923
t48,0.45109774436090255,0.0,0.0,0.0,0.45109774436090255
t49,0.29927067669172835,0.0,0.0,0.0,0.29927067669172835
t50,0.1494360902255636,0.0,0.0,0.0,0.1494360902255636
t51,0.0717293233082712,0.0,0.0,0.0,0.0717293233082712
t52,0.0,0.0,0.0,0.0,0.0
t53,0.0,0.0,0.0,0.0,0.0
t54,0.0,0.0,0.0,0.0,0.0
t55,0.0,0.0,0.0,0.0,0.0
t56,0.0,0.0,0.0,0.0,0.0
t57,0.0,0.0,0.0,0.0,0.0
t58,0.0,0.0,0.0,0.0,0.0
t59,0.0,0.0,0.0,0.0,0.0
t60,0.0,0.0,0.0,0.0,0.0
t61,0.02510526315789452,0.0,0.0,0.0,0.02510526315789452
t62,0.008766917293232979,0.0,0.0,0.0,0.008766917293232979
t63,0.023511278195488927,0.0,0.0,0.0,0.023511278195488927
t64,0.0,0.0,0.0,0.0,0.0
t65,0.0,0.0,0.0,0.0,0.0
t66,0.0,0.0,0.0,0.0,0.0
t67,0.0,0.0,0.0,0.0,0.0
t68,0.12193984962406024,0.0,0.0,0.0,0.12193984962406024
t69,0.2323233082706766,0.0,0.0,0.0,0.2323233082706766
t70,0.40766165413533706,0.0,0.0,0.0,0.40766165413533706
t71,0.5443458646616541,0.0,0.0,0.0,0.5443458646616541
t72,0.47660150375939914,0.0,0.0,0.0,0.47660150375939914
t73,0.29648120300751835,0.0,0.0,0.0,0.29648120300751835
t74,0.15581203007518862,0.0,0.0,0.0,0.15581203007518862
t75,0.07930075187969887,0.0,0.0,0.0,0.07930075187969887
t76,0.0,0.0,0.0,0.0,0.0
t77,0.0,0.0,0.0,0.0,0.0
t78,0.0,0.0,0.0,0.0,0.0
t79,0.0,0.0,0.0,0.0,0.0
t80,0.0,0.0,0.0,0.0,0.0
t81,0.0,0.0,0.0,0.0,0.0
t82,0.01793233082706802,0.0,0.0,0.0,0.01793233082706802
t83,0.015142857142857125,0.0,0.0,0.0,0.015142857142857125
t84,0.06535338345864705,0.0,0.0,0.0,0.06535338345864705
t85,0.094443609022556,0.0,0.0,0.0,0.094443609022556
