Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,1.0974152286825049e8,850165.6710164835,6.592407594079782e6,25880.67916409815,1.1720997681251085e8
t1,9315.64537937263,0.0,1846.3546206273702,0.0,11162.0
t2,8734.551232091702,0.0,1821.4487679082974,0.0,10556.0
t3,8327.07259661474,0.0,1874.7999339723217,0.0,10201.872530587061
t4,8324.80259661474,0.0,1857.6357474862943,0.0,10182.438344101034
t5,8324.452596614741,0.0,1571.4738027132585,0.0,9895.926399328
t6,8707.686975399482,0.0,1309.313024600519,0.0,10017.0
t7,9233.736015223356,0.0,1156.2639847766452,0.0,10390.000000000002
t8,9466.82703110651,0.0,1260.1729688934902,0.0,10727.0
t9,9718.885897285443,88.95,878.6833301382135,611.4807725763426,11298.0
t10,11628.996531717647,214.5,15.503468282354698,0.0,11859.000000000002
t11,11903.337373784796,287.4,5.2626262152040635,0.0,12196.0
t12,11992.330589641513,324.2,4.469410358486484,0.0,12321.0
t13,12061.362551618193,310.40000000000003,9.237448381809266,0.0,12381.000000000002
t14,11955.99679491604,298.0,16.00320508395967,0.0,12270.0
t15,11689.068222463178,250.64999999999998,209.28177753682192,0.0,12149.0
t16,11634.667046915145,165.55,418.7829530848562,0.0,12219.0
t17,13083.358322475682,32.099999999999994,294.541677524318,0.0,13410.0
t18,13362.30597490267,0.0,1176.6940250973294,0.0,14539.0
t19,12490.794448507628,0.0,1963.205551492373,0.0,14454.0
t20,12095.758011943783,0.0,1916.2419880562186,0.0,14012.000000000002
t21,11515.518056533936,0.0,1978.4819434660635,0.0,13494.0
t22,10843.698488342221,0.0,1928.3015116577785,0.0,12772.0
t23,10114.044416994906,0.0,1762.9555830050951,0.0,11877.000000000002
t24,9492.796780111177,0.0,1381.2032198888232,0.0,10874.0
t25,8326.272596614754,0.0,1094.5738431942987,604.1535601909477,10025.0
t26,8321.13259661474,0.0,1345.1593533992484,0.0,9666.291950013989
t27,8318.66259661474,0.0,1320.4618004387462,0.0,9639.124397053487
t28,8318.102596614739,0.0,1501.3781759616033,0.0,9819.480772576342
