Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,70.30788544115161,0.0,0.0,0.0
t2,70.30788544115161,0.0,0.0,0.0
t3,70.30788544115161,0.0,0.0,0.0
t4,70.30788544115161,0.0,0.0,0.0
t5,70.30788544115161,0.0,0.0,0.0
t6,70.30788544115161,0.0,0.0,0.0
t7,70.30788544115161,0.0,0.0,0.0
t8,70.30788544115161,0.0,0.0,0.0
t9,70.30788544115161,0.0,0.0,0.0
t10,70.30788544115161,0.0,0.0,0.0
t11,70.30788544115161,0.0,0.0,0.0
t12,70.30788544115161,0.0,0.0,0.0
t13,70.30788544115161,0.0,0.0,0.0
t14,70.30788544115161,0.0,0.0,0.0
t15,70.30788544115161,0.0,0.0,0.0
t16,70.30788544115161,0.0,0.0,0.0
t17,70.30788544115161,0.0,0.0,0.0
t18,70.30788544115161,0.0,0.0,0.0
t19,70.30788544115161,0.0,0.0,0.0
t20,70.30788544115161,0.0,0.0,0.0
t21,70.30788544115161,0.0,0.0,0.0
t22,70.30788544115161,0.0,0.0,0.0
t23,70.30788544115161,0.0,0.0,0.0
t24,70.30788544115161,0.0,0.0,0.0
t25,70.30788544115161,0.0,0.0,0.0
t26,70.30788544115161,0.0,0.0,0.0
t27,70.30788544115161,0.0,0.0,0.0
t28,70.30788544115161,0.0,0.0,0.0
t29,70.30788544115161,0.0,0.0,0.0
t30,70.30788544115161,0.0,0.0,0.0
t31,70.30788544115161,0.0,0.0,0.0
t32,73.42782972334005,0.0,0.0,0.0
t33,73.42782972334005,0.0,0.0,0.0
t34,73.42782972334005,0.0,0.0,0.0
t35,73.42782972334005,0.0,0.0,0.0
t36,73.42782972334005,0.0,0.0,0.0
t37,73.42782972334005,0.0,0.0,0.0
t38,73.42782972334005,0.0,0.0,0.0
t39,73.42782972334005,0.0,0.0,0.0
t40,73.42782972334005,0.0,0.0,0.0
t41,73.42782972334005,0.0,0.0,0.0
t42,73.42782972334005,0.0,0.0,0.0
t43,73.42782972334005,0.0,0.0,0.0
t44,73.42782972334005,0.0,0.0,0.0
t45,73.42782972334005,0.0,0.0,0.0
t46,73.42782972334005,0.0,0.0,0.0
t47,73.42782972334005,0.0,0.0,0.0
t48,73.42782972334005,0.0,0.0,0.0
t49,73.42782972334005,0.0,0.0,0.0
t50,73.42782972334005,0.0,0.0,0.0
t51,73.42782972334005,0.0,0.0,0.0
t52,73.42782972334005,0.0,0.0,0.0
t53,73.42782972334005,0.0,0.0,0.0
t54,73.42782972334005,0.0,0.0,0.0
t55,73.42782972334005,0.0,0.0,0.0
t56,73.42782972334005,0.0,0.0,0.0
t57,73.42782972334005,0.0,0.0,0.0
t58,73.42782972334005,0.0,0.0,0.0
t59,73.42782972334005,0.0,0.0,0.0
t60,73.42782972334005,0.0,0.0,0.0
t61,73.42782972334005,0.0,0.0,0.0
t62,73.42782972334005,0.0,0.0,0.0
t63,73.42782972334005,0.0,0.0,0.0
t64,73.42782972334005,0.0,0.0,0.0
t65,73.42782972334005,0.0,0.0,0.0
t66,73.42782972334005,0.0,0.0,0.0
t67,73.42782972334005,0.0,0.0,0.0
t68,73.42782972334005,0.0,0.0,0.0
t69,73.42782972334005,0.0,0.0,0.0
t70,73.42782972334005,0.0,0.0,0.0
t71,73.42782972334005,0.0,0.0,0.0
t72,73.42782972334005,0.0,0.0,0.0
t73,73.42782972334005,0.0,0.0,0.0
t74,73.42782972334005,0.0,0.0,0.0
t75,73.42782972334005,0.0,0.0,0.0
t76,73.42782972334005,0.0,0.0,0.0
t77,73.42782972334005,0.0,0.0,0.0
t78,73.42782972334005,0.0,0.0,0.0
t79,73.42782972334005,0.0,0.0,0.0
t80,73.42782972334005,0.0,0.0,0.0
t81,73.42782972334005,0.0,0.0,0.0
t82,73.42782972334005,0.0,0.0,0.0
t83,73.42782972334005,0.0,0.0,0.0
t84,73.42782972334005,0.0,0.0,0.0
t85,73.42782972334005,0.0,0.0,0.0
t86,73.42782972334005,0.0,0.0,0.0
t87,73.42782972334005,0.0,0.0,0.0
t88,73.42782972334005,0.0,0.0,0.0
t89,73.42782972334005,0.0,0.0,0.0
t90,73.42782972334005,0.0,0.0,0.0
t91,73.42782972334005,0.0,0.0,0.0
t92,73.42782972334005,0.0,0.0,0.0
t93,73.42782972334005,0.0,0.0,0.0
t94,73.42782972334005,0.0,0.0,0.0
t95,73.42782972334005,0.0,0.0,0.0
t96,73.42782972334005,0.0,0.0,0.0
t97,73.42782972334005,0.0,0.0,0.0
t98,73.42782972334005,0.0,0.0,0.0
t99,73.42782972334005,0.0,0.0,0.0
t100,73.42782972334005,0.0,0.0,0.0
t101,73.42782972334005,0.0,0.0,0.0
t102,73.42782972334005,0.0,0.0,0.0
t103,73.42782972334005,0.0,0.0,0.0
t104,73.42782972334005,0.0,0.0,0.0
t105,73.42782972334005,0.0,0.0,0.0
t106,73.42782972334005,0.0,0.0,0.0
t107,73.42782972334005,0.0,0.0,0.0
t108,73.42782972334005,0.0,0.0,0.0
t109,73.42782972334005,0.0,0.0,0.0
t110,73.42782972334005,0.0,0.0,0.0
t111,73.42782972334005,0.0,0.0,0.0
t112,73.42782972334005,0.0,0.0,0.0
t113,73.42782972334005,0.0,0.0,0.0
t114,73.42782972334005,0.0,0.0,0.0
t115,73.42782972334005,0.0,0.0,0.0
t116,73.42782972334005,0.0,0.0,0.0
t117,73.42782972334005,0.0,0.0,0.0
t118,73.42782972334005,0.0,0.0,0.0
t119,73.42782972334005,0.0,0.0,0.0
t120,73.42782972334005,0.0,0.0,0.0
t121,73.42782972334005,0.0,0.0,0.0
t122,73.42782972334005,0.0,0.0,0.0
t123,73.42782972334005,0.0,0.0,0.0
t124,73.42782972334005,0.0,0.0,0.0
t125,73.42782972334005,0.0,0.0,0.0
t126,73.42782972334005,0.0,0.0,0.0
t127,73.42782972334005,0.0,0.0,0.0
t128,73.42782972334005,0.0,0.0,0.0
t129,73.42782972334005,0.0,0.0,0.0
t130,73.42782972334005,0.0,0.0,0.0
t131,73.42782972334005,0.0,0.0,0.0
t132,73.42782972334005,0.0,0.0,0.0
t133,73.42782972334005,0.0,0.0,0.0
t134,73.42782972334005,0.0,0.0,0.0
t135,73.42782972334005,0.0,0.0,0.0
t136,73.42782972334005,0.0,0.0,0.0
t137,73.42782972334005,0.0,0.0,0.0
t138,73.42782972334005,0.0,0.0,0.0
t139,73.42782972334005,0.0,0.0,0.0
t140,73.42782972334005,0.0,0.0,0.0
t141,73.42782972334005,0.0,0.0,0.0
t142,73.42782972334005,0.0,0.0,0.0
t143,73.42782972334005,0.0,0.0,0.0
t144,73.42782972334005,0.0,0.0,0.0
t145,73.42782972334005,0.0,0.0,0.0
t146,73.42782972334005,0.0,0.0,0.0
t147,73.42782972334005,0.0,0.0,0.0
t148,73.42782972334005,0.0,0.0,0.0
t149,73.42782972334005,0.0,0.0,0.0
t150,73.42782972334005,0.0,0.0,0.0
t151,73.42782972334005,0.0,0.0,0.0
t152,73.42782972334005,0.0,0.0,0.0
t153,73.42782972334005,0.0,0.0,0.0
t154,73.42782972334005,0.0,0.0,0.0
t155,73.42782972334005,0.0,0.0,0.0
t156,73.42782972334005,0.0,0.0,0.0
t157,73.42782972334005,0.0,0.0,0.0
t158,73.42782972334005,0.0,0.0,0.0
t159,73.42782972334005,0.0,0.0,0.0
t160,73.42782972334005,0.0,0.0,0.0
t161,73.42782972334005,0.0,0.0,0.0
t162,73.42782972334005,0.0,0.0,0.0
t163,73.42782972334005,0.0,0.0,0.0
t164,73.42782972334005,0.0,0.0,0.0
t165,73.42782972334005,0.0,0.0,0.0
t166,73.42782972334005,0.0,0.0,0.0
t167,70.30788544115161,0.0,0.0,0.0
t168,70.30788544115161,0.0,0.0,0.0
t169,70.41727990370825,0.0,0.0,0.0
t170,70.41727990370825,0.0,0.0,0.0
t171,70.41727990370825,0.0,0.0,0.0
t172,70.41727990370825,0.0,0.0,0.0
t173,70.41727990370825,0.0,0.0,0.0
t174,70.41727990370825,0.0,0.0,0.0
t175,70.41727990370825,0.0,0.0,0.0
t176,70.41727990370825,0.0,0.0,0.0
t177,70.41727990370825,0.0,0.0,0.0
t178,70.41727990370825,0.0,0.0,0.0
t179,70.41727990370825,0.0,0.0,0.0
t180,70.41727990370825,0.0,0.0,0.0
t181,70.41727990370825,0.0,0.0,0.0
t182,70.41727990370825,0.0,0.0,0.0
t183,70.41727990370825,0.0,0.0,0.0
t184,70.41727990370825,0.0,0.0,0.0
t185,70.41727990370825,0.0,0.0,0.0
t186,70.41727990370825,0.0,0.0,0.0
t187,70.41727990370825,0.0,0.0,0.0
t188,70.41727990370825,0.0,0.0,0.0
t189,70.41727990370825,0.0,0.0,0.0
t190,70.41727990370825,0.0,0.0,0.0
t191,70.41727990370825,0.0,0.0,0.0
t192,70.41727990370825,0.0,0.0,0.0
t193,70.41727990370825,0.0,0.0,0.0
t194,70.41727990370825,0.0,0.0,0.0
t195,70.41727990370825,0.0,0.0,0.0
t196,70.41727990370825,0.0,0.0,0.0
t197,70.41727990370825,0.0,0.0,0.0
t198,70.41727990370825,0.0,0.0,0.0
t199,70.41727990370825,0.0,0.0,0.0
t200,70.41727990370825,0.0,0.0,0.0
t201,70.41727990370825,0.0,0.0,0.0
t202,70.41727990370825,0.0,0.0,0.0
t203,70.41727990370825,0.0,0.0,0.0
t204,70.41727990370825,0.0,0.0,0.0
t205,70.41727990370825,0.0,0.0,0.0
t206,70.41727990370825,0.0,0.0,0.0
t207,70.41727990370825,0.0,0.0,0.0
t208,70.41727990370825,0.0,0.0,0.0
t209,70.41727990370825,0.0,0.0,0.0
t210,70.41727990370825,0.0,0.0,0.0
t211,70.41727990370825,0.0,0.0,0.0
t212,70.41727990370825,0.0,0.0,0.0
t213,70.41727990370825,0.0,0.0,0.0
t214,70.41727990370825,0.0,0.0,0.0
t215,70.41727990370825,0.0,0.0,0.0
t216,70.41727990370825,0.0,0.0,0.0
t217,70.41727990370825,0.0,0.0,0.0
t218,70.41727990370825,0.0,0.0,0.0
t219,70.41727990370825,0.0,0.0,0.0
t220,70.41727990370825,0.0,0.0,0.0
t221,70.41727990370825,0.0,0.0,0.0
t222,70.41727990370825,0.0,0.0,0.0
t223,70.41727990370825,0.0,0.0,0.0
t224,70.41727990370825,0.0,0.0,0.0
t225,70.41727990370825,0.0,0.0,0.0
t226,70.41727990370825,0.0,0.0,0.0
t227,70.41727990370825,0.0,0.0,0.0
t228,70.41727990370825,0.0,0.0,0.0
t229,70.41727990370825,0.0,0.0,0.0
t230,70.41727990370825,0.0,0.0,0.0
t231,70.41727990370825,0.0,0.0,0.0
t232,70.41727990370825,0.0,0.0,0.0
t233,70.41727990370825,0.0,0.0,0.0
t234,70.41727990370825,0.0,0.0,0.0
t235,70.41727990370825,0.0,0.0,0.0
t236,70.41727990370825,0.0,0.0,0.0
t237,70.41727990370825,0.0,0.0,0.0
t238,70.41727990370825,0.0,0.0,0.0
t239,70.41727990370825,0.0,0.0,0.0
t240,70.41727990370825,0.0,0.0,0.0
t241,70.41727990370825,0.0,0.0,0.0
t242,70.41727990370825,0.0,0.0,0.0
t243,70.41727990370825,0.0,0.0,0.0
t244,70.41727990370825,0.0,0.0,0.0
t245,70.41727990370825,0.0,0.0,0.0
t246,70.41727990370825,0.0,0.0,0.0
t247,70.41727990370825,0.0,0.0,0.0
t248,70.41727990370825,0.0,0.0,0.0
t249,70.41727990370825,0.0,0.0,0.0
t250,70.41727990370825,0.0,0.0,0.0
t251,70.41727990370825,0.0,0.0,0.0
t252,70.41727990370825,0.0,0.0,0.0
t253,70.41727990370825,0.0,0.0,0.0
t254,70.41727990370825,0.0,0.0,0.0
t255,70.41727990370825,0.0,0.0,0.0
t256,70.41727990370825,0.0,0.0,0.0
t257,70.41727990370825,0.0,0.0,0.0
t258,70.41727990370825,0.0,0.0,0.0
t259,70.41727990370825,0.0,0.0,0.0
t260,70.41727990370825,0.0,0.0,0.0
t261,70.41727990370825,0.0,0.0,0.0
t262,70.41727990370825,0.0,0.0,0.0
t263,70.41727990370825,0.0,0.0,0.0
t264,70.41727990370825,0.0,0.0,0.0
t265,70.41727990370825,0.0,0.0,0.0
t266,70.41727990370825,0.0,0.0,0.0
t267,70.41727990370825,0.0,0.0,0.0
t268,70.41727990370825,0.0,0.0,0.0
t269,70.41727990370825,0.0,0.0,0.0
t270,70.41727990370825,0.0,0.0,0.0
t271,70.41727990370825,0.0,0.0,0.0
t272,70.41727990370825,0.0,0.0,0.0
t273,70.41727990370825,0.0,0.0,0.0
t274,70.41727990370825,0.0,0.0,0.0
t275,70.41727990370825,0.0,0.0,0.0
t276,70.41727990370825,0.0,0.0,0.0
t277,70.41727990370825,0.0,0.0,0.0
t278,70.41727990370825,0.0,0.0,0.0
t279,70.41727990370825,0.0,0.0,0.0
t280,70.41727990370825,0.0,0.0,0.0
t281,70.41727990370825,0.0,0.0,0.0
t282,70.41727990370825,0.0,0.0,0.0
t283,70.41727990370825,0.0,0.0,0.0
t284,70.41727990370825,0.0,0.0,0.0
t285,70.41727990370825,0.0,0.0,0.0
t286,70.41727990370825,0.0,0.0,0.0
t287,70.41727990370825,0.0,0.0,0.0
t288,70.41727990370825,0.0,0.0,0.0
t289,70.41727990370825,0.0,0.0,0.0
t290,70.41727990370825,0.0,0.0,0.0
t291,70.41727990370825,0.0,0.0,0.0
t292,70.41727990370825,0.0,0.0,0.0
t293,70.41727990370825,0.0,0.0,0.0
t294,70.41727990370825,0.0,0.0,0.0
t295,70.41727990370825,0.0,0.0,0.0
t296,70.41727990370825,0.0,0.0,0.0
t297,70.41727990370825,0.0,0.0,0.0
t298,70.41727990370825,0.0,0.0,0.0
t299,70.41727990370825,0.0,0.0,0.0
t300,70.41727990370825,0.0,0.0,0.0
t301,70.41727990370825,0.0,0.0,0.0
t302,70.41727990370825,0.0,0.0,0.0
t303,70.41727990370825,0.0,0.0,0.0
t304,70.41727990370825,0.0,0.0,0.0
t305,70.41727990370825,0.0,0.0,0.0
t306,70.41727990370825,0.0,0.0,0.0
t307,70.41727990370825,0.0,0.0,0.0
t308,70.41727990370825,0.0,0.0,0.0
t309,70.41727990370825,0.0,0.0,0.0
t310,70.41727990370825,0.0,0.0,0.0
t311,70.41727990370825,0.0,0.0,0.0
t312,70.41727990370825,0.0,0.0,0.0
t313,70.41727990370825,0.0,0.0,0.0
t314,70.41727990370825,0.0,0.0,0.0
t315,70.41727990370825,0.0,0.0,0.0
t316,70.41727990370825,0.0,0.0,0.0
t317,70.41727990370825,0.0,0.0,0.0
t318,70.41727990370825,0.0,0.0,0.0
t319,70.41727990370825,0.0,0.0,0.0
t320,70.41727990370825,0.0,0.0,0.0
t321,70.41727990370825,0.0,0.0,0.0
t322,70.41727990370825,0.0,0.0,0.0
t323,70.41727990370825,0.0,0.0,0.0
t324,70.41727990370825,0.0,0.0,0.0
t325,70.41727990370825,0.0,0.0,0.0
t326,70.41727990370825,0.0,0.0,0.0
t327,70.41727990370825,0.0,0.0,0.0
t328,70.41727990370825,0.0,0.0,0.0
t329,70.41727990370825,0.0,0.0,0.0
t330,70.41727990370825,0.0,0.0,0.0
t331,70.41727990370825,0.0,0.0,0.0
t332,70.41727990370825,0.0,0.0,0.0
t333,70.41727990370825,0.0,0.0,0.0
t334,70.41727990370825,0.0,0.0,0.0
t335,70.41727990370825,0.0,0.0,0.0
t336,70.41727990370825,0.0,0.0,0.0
t337,57.23857041078656,0.0,0.0,0.0
t338,57.23857041078656,0.0,0.0,0.0
t339,57.23857041078656,0.0,0.0,0.0
t340,57.23857041078656,0.0,0.0,0.0
t341,57.23857041078656,0.0,0.0,0.0
t342,57.23857041078656,0.0,0.0,0.0
t343,57.23857041078656,0.0,0.0,0.0
t344,57.23857041078656,0.0,0.0,0.0
t345,57.23857041078656,0.0,0.0,0.0
t346,57.23857041078656,0.0,0.0,0.0
t347,57.23857041078656,0.0,0.0,0.0
t348,57.23857041078656,0.0,0.0,0.0
t349,57.23857041078656,0.0,0.0,0.0
t350,57.23857041078656,0.0,0.0,0.0
t351,57.23857041078656,0.0,0.0,0.0
t352,57.23857041078656,0.0,0.0,0.0
t353,57.23857041078656,0.0,0.0,0.0
t354,57.23857041078656,0.0,0.0,0.0
t355,57.23857041078656,0.0,0.0,0.0
t356,57.23857041078656,0.0,0.0,0.0
t357,57.23857041078656,0.0,0.0,0.0
t358,57.23857041078656,0.0,0.0,0.0
t359,57.23857041078656,0.0,0.0,0.0
t360,57.23857041078656,0.0,0.0,0.0
t361,57.23857041078656,0.0,0.0,0.0
t362,57.23857041078656,0.0,0.0,0.0
t363,57.23857041078656,0.0,0.0,0.0
t364,57.23857041078656,0.0,0.0,0.0
t365,57.23857041078656,0.0,0.0,0.0
t366,57.23857041078656,0.0,0.0,0.0
t367,57.23857041078656,0.0,0.0,0.0
t368,57.23857041078656,0.0,0.0,0.0
t369,57.23857041078656,0.0,0.0,0.0
t370,57.23857041078656,0.0,0.0,0.0
t371,57.23857041078656,0.0,0.0,0.0
t372,57.23857041078656,0.0,0.0,0.0
t373,57.23857041078656,0.0,0.0,0.0
t374,57.23857041078656,0.0,0.0,0.0
t375,57.23857041078656,0.0,0.0,0.0
t376,57.23857041078656,0.0,0.0,0.0
t377,57.23857041078656,0.0,0.0,0.0
t378,57.23857041078656,0.0,0.0,0.0
t379,57.23857041078656,0.0,0.0,0.0
t380,57.23857041078656,0.0,0.0,0.0
t381,57.23857041078656,0.0,0.0,0.0
t382,57.23857041078656,0.0,0.0,0.0
t383,57.23857041078656,0.0,0.0,0.0
t384,57.23857041078656,0.0,0.0,0.0
t385,57.23857041078656,0.0,0.0,0.0
t386,57.23857041078656,0.0,0.0,0.0
t387,57.23857041078656,0.0,0.0,0.0
t388,57.23857041078656,0.0,0.0,0.0
t389,57.23857041078656,0.0,0.0,0.0
t390,57.23857041078656,0.0,0.0,0.0
t391,57.23857041078656,0.0,0.0,0.0
t392,57.23857041078656,0.0,0.0,0.0
t393,57.23857041078656,0.0,0.0,0.0
t394,57.23857041078656,0.0,0.0,0.0
t395,57.23857041078656,0.0,0.0,0.0
t396,57.23857041078656,0.0,0.0,0.0
t397,57.23857041078656,0.0,0.0,0.0
t398,57.23857041078656,0.0,0.0,0.0
t399,57.23857041078656,0.0,0.0,0.0
t400,57.23857041078656,0.0,0.0,0.0
t401,57.23857041078656,0.0,0.0,0.0
t402,57.23857041078656,0.0,0.0,0.0
t403,57.23857041078656,0.0,0.0,0.0
t404,57.23857041078656,0.0,0.0,0.0
t405,57.23857041078656,0.0,0.0,0.0
t406,57.23857041078656,0.0,0.0,0.0
t407,57.23857041078656,0.0,0.0,0.0
t408,57.23857041078656,0.0,0.0,0.0
t409,57.23857041078656,0.0,0.0,0.0
t410,57.23857041078656,0.0,0.0,0.0
t411,57.23857041078656,0.0,0.0,0.0
t412,57.23857041078656,0.0,0.0,0.0
t413,57.23857041078656,0.0,0.0,0.0
t414,57.23857041078656,0.0,0.0,0.0
t415,57.23857041078656,0.0,0.0,0.0
t416,57.23857041078656,0.0,0.0,0.0
t417,57.23857041078656,0.0,0.0,0.0
t418,57.23857041078656,0.0,0.0,0.0
t419,57.23857041078656,0.0,0.0,0.0
t420,57.23857041078656,0.0,0.0,0.0
t421,57.23857041078656,0.0,0.0,0.0
t422,57.23857041078656,0.0,0.0,0.0
t423,57.23857041078656,0.0,0.0,0.0
t424,57.23857041078656,0.0,0.0,0.0
t425,57.23857041078656,0.0,0.0,0.0
t426,57.23857041078656,0.0,0.0,0.0
t427,57.23857041078656,0.0,0.0,0.0
t428,57.23857041078656,0.0,0.0,0.0
t429,57.23857041078656,0.0,0.0,0.0
t430,57.23857041078656,0.0,0.0,0.0
t431,57.23857041078656,0.0,0.0,0.0
t432,57.23857041078656,0.0,0.0,0.0
t433,57.23857041078656,0.0,0.0,0.0
t434,57.23857041078656,0.0,0.0,0.0
t435,57.23857041078656,0.0,0.0,0.0
t436,57.23857041078656,0.0,0.0,0.0
t437,57.23857041078656,0.0,0.0,0.0
t438,57.23857041078656,0.0,0.0,0.0
t439,57.23857041078656,0.0,0.0,0.0
t440,57.23857041078656,0.0,0.0,0.0
t441,57.23857041078656,0.0,0.0,0.0
t442,57.23857041078656,0.0,0.0,0.0
t443,57.23857041078656,0.0,0.0,0.0
t444,57.23857041078656,0.0,0.0,0.0
t445,57.23857041078656,0.0,0.0,0.0
t446,57.23857041078656,0.0,0.0,0.0
t447,57.23857041078656,0.0,0.0,0.0
t448,57.23857041078656,0.0,0.0,0.0
t449,57.23857041078656,0.0,0.0,0.0
t450,57.23857041078656,0.0,0.0,0.0
t451,57.23857041078656,0.0,0.0,0.0
t452,57.23857041078656,0.0,0.0,0.0
t453,57.23857041078656,0.0,0.0,0.0
t454,57.23857041078656,0.0,0.0,0.0
t455,57.23857041078656,0.0,0.0,0.0
t456,57.23857041078656,0.0,0.0,0.0
t457,57.23857041078656,0.0,0.0,0.0
t458,57.23857041078656,0.0,0.0,0.0
t459,57.23857041078656,0.0,0.0,0.0
t460,57.23857041078656,0.0,0.0,0.0
t461,57.23857041078656,0.0,0.0,0.0
t462,57.23857041078656,0.0,0.0,0.0
t463,57.23857041078656,0.0,0.0,0.0
t464,57.23857041078656,0.0,0.0,0.0
t465,57.23857041078656,0.0,0.0,0.0
t466,57.23857041078656,0.0,0.0,0.0
t467,57.23857041078656,0.0,0.0,0.0
t468,57.23857041078656,0.0,0.0,0.0
t469,57.23857041078656,0.0,0.0,0.0
t470,57.23857041078656,0.0,0.0,0.0
t471,57.23857041078656,0.0,0.0,0.0
t472,57.23857041078656,0.0,0.0,0.0
t473,57.23857041078656,0.0,0.0,0.0
t474,57.23857041078656,0.0,0.0,0.0
t475,57.23857041078656,0.0,0.0,0.0
t476,57.23857041078656,0.0,0.0,0.0
t477,57.23857041078656,0.0,0.0,0.0
t478,57.23857041078656,0.0,0.0,0.0
t479,57.23857041078656,0.0,0.0,0.0
t480,57.23857041078656,0.0,0.0,0.0
t481,57.23857041078656,0.0,0.0,0.0
t482,57.23857041078656,0.0,0.0,0.0
t483,57.23857041078656,0.0,0.0,0.0
t484,57.23857041078656,0.0,0.0,0.0
t485,57.23857041078656,0.0,0.0,0.0
t486,57.23857041078656,0.0,0.0,0.0
t487,57.23857041078656,0.0,0.0,0.0
t488,57.23857041078656,0.0,0.0,0.0
t489,57.23857041078656,0.0,0.0,0.0
t490,57.23857041078656,0.0,0.0,0.0
t491,57.23857041078656,0.0,0.0,0.0
t492,57.23857041078656,0.0,0.0,0.0
t493,57.23857041078656,0.0,0.0,0.0
t494,57.23857041078656,0.0,0.0,0.0
t495,57.23857041078656,0.0,0.0,0.0
t496,57.23857041078656,0.0,0.0,0.0
t497,57.23857041078656,0.0,0.0,0.0
t498,57.23857041078656,0.0,0.0,0.0
t499,57.23857041078656,0.0,0.0,0.0
t500,57.23857041078656,0.0,0.0,0.0
t501,57.23857041078656,0.0,0.0,0.0
t502,57.23857041078656,0.0,0.0,0.0
t503,57.23857041078656,0.0,0.0,0.0
t504,57.23857041078656,0.0,0.0,0.0
t505,69.71952806332024,0.0,0.0,0.0
t506,69.71952806332024,0.0,0.0,0.0
t507,69.71952806332024,0.0,0.0,0.0
t508,69.71952806332024,0.0,0.0,0.0
t509,69.71952806332024,0.0,0.0,0.0
t510,69.71952806332024,0.0,0.0,0.0
t511,69.71952806332024,0.0,0.0,0.0
t512,69.71952806332024,0.0,0.0,0.0
t513,69.71952806332024,0.0,0.0,0.0
t514,69.71952806332024,0.0,0.0,0.0
t515,69.71952806332024,0.0,0.0,0.0
t516,69.71952806332024,0.0,0.0,0.0
t517,69.71952806332024,0.0,0.0,0.0
t518,69.71952806332024,0.0,0.0,0.0
t519,69.71952806332024,0.0,0.0,0.0
t520,69.71952806332024,0.0,0.0,0.0
t521,69.71952806332024,0.0,0.0,0.0
