Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,0.0,0.0,0.0,903.4433739565958
t2,0.0,0.0,0.0,903.4433739565958
t3,0.0,0.0,0.0,992.5661020966925
t4,0.0,0.0,0.0,1272.6493786696446
t5,0.0,0.0,0.0,1321.3416660514024
t6,0.0,0.0,0.0,1321.3416660514024
t7,0.0,0.0,0.0,1321.3416660514024
t8,0.0,0.0,0.0,1321.3416660514024
t9,0.0,0.0,0.0,656.6886523814647
t10,0.0,0.0,0.0,656.6886523814647
t11,0.0,0.0,0.0,656.6886523814647
t12,0.0,0.0,0.0,656.6886523814647
t13,0.0,0.0,0.0,656.6886523814647
t14,0.0,0.0,0.0,656.6886523814647
t15,0.0,0.0,0.0,656.6886523814647
t16,0.0,0.0,0.0,656.6886523814647
t17,0.0,0.0,0.0,656.6886523814647
t18,0.0,0.0,0.0,656.6886523814647
t19,0.0,0.0,0.0,656.6886523814647
t20,0.0,0.0,0.0,656.6886523814647
t21,0.0,0.0,0.0,656.6886523814647
t22,0.0,0.0,0.0,656.6886523814647
t23,0.0,0.0,0.0,656.6886523814647
t24,0.0,0.0,0.0,656.6886523814647
t25,0.0,0.0,0.0,-0.0
t26,0.0,0.0,0.0,142.8685940128709
t27,0.0,0.0,0.0,487.9830393020785
t28,0.0,0.0,0.0,1050.5453500723147
t29,0.0,0.0,0.0,1613.1076608425499
t30,0.0,0.0,0.0,1716.9159377825126
t31,0.0,0.0,0.0,1716.9159377825126
t32,0.0,0.0,0.0,1716.9159377825126
t33,0.0,0.0,0.0,1716.9159377825126
t34,0.0,0.0,0.0,1716.9159377825126
t35,0.0,0.0,0.0,1716.9159377825126
t36,0.0,0.0,0.0,1716.9159377825126
t37,0.0,0.0,0.0,1716.9159377825126
t38,0.0,0.0,0.0,1716.9159377825126
t39,0.0,0.0,0.0,1716.9159377825126
t40,0.0,0.0,0.0,1716.9159377825126
t41,0.0,0.0,0.0,1716.9159377825126
t42,0.0,0.0,0.0,1716.9159377825126
t43,0.0,0.0,0.0,1716.9159377825126
t44,0.0,0.0,0.0,1716.9159377825126
t45,0.0,0.0,0.0,1716.9159377825126
t46,0.0,0.0,0.0,1716.9159377825126
t47,0.0,0.0,0.0,1716.9159377825126
t48,0.0,0.0,0.0,1716.9159377825126
t49,0.0,0.0,0.0,1716.9159377825126
t50,0.0,0.0,0.0,1716.9159377825126
t51,0.0,0.0,0.0,1716.9159377825126
t52,0.0,0.0,0.0,1716.9159377825126
t53,0.0,0.0,0.0,1716.9159377825126
t54,0.0,0.0,0.0,1716.9159377825126
t55,0.0,0.0,0.0,1716.9159377825126
t56,0.0,0.0,0.0,1716.9159377825126
t57,0.0,0.0,0.0,1716.9159377825126
t58,0.0,0.0,0.0,1716.9159377825126
t59,0.0,0.0,0.0,1716.9159377825126
t60,0.0,0.0,0.0,1716.9159377825126
t61,0.0,0.0,0.0,1716.9159377825126
t62,0.0,0.0,0.0,1716.9159377825126
t63,0.0,0.0,0.0,1716.9159377825126
t64,0.0,0.0,0.0,1716.9159377825126
t65,0.0,0.0,0.0,1716.9159377825126
t66,0.0,0.0,0.0,1716.9159377825126
t67,0.0,0.0,0.0,1716.9159377825126
t68,0.0,0.0,0.0,1716.9159377825126
t69,0.0,0.0,0.0,1716.9159377825126
t70,0.0,0.0,0.0,1716.9159377825126
t71,0.0,0.0,0.0,1716.9159377825126
t72,0.0,0.0,0.0,1716.9159377825126
t73,0.0,0.0,0.0,1716.9159377825126
t74,0.0,0.0,0.0,1716.9159377825126
t75,0.0,0.0,0.0,1716.9159377825126
t76,0.0,0.0,0.0,1716.9159377825126
t77,0.0,0.0,0.0,1716.9159377825126
t78,0.0,0.0,0.0,1716.9159377825126
t79,0.0,0.0,0.0,1716.9159377825126
t80,0.0,0.0,0.0,1716.9159377825126
t81,0.0,0.0,0.0,1716.9159377825126
t82,0.0,0.0,0.0,1716.9159377825126
t83,0.0,0.0,0.0,1716.9159377825126
t84,0.0,0.0,0.0,1716.9159377825126
t85,0.0,0.0,0.0,1716.9159377825126
t86,0.0,0.0,0.0,1697.177298538337
t87,0.0,0.0,0.0,1697.177298538337
t88,0.0,0.0,0.0,1697.177298538337
t89,0.0,0.0,0.0,1697.177298538337
t90,0.0,0.0,0.0,1032.5242848683995
t91,0.0,0.0,0.0,903.4433739565958
t92,0.0,0.0,0.0,903.4433739565958
t93,0.0,0.0,0.0,903.4433739565958
t94,0.0,0.0,0.0,903.4433739565958
t95,0.0,0.0,0.0,903.4433739565958
t96,0.0,0.0,0.0,903.4433739565958
t97,0.0,0.0,0.0,903.4433739565958
t98,0.0,0.0,0.0,903.4433739565958
t99,0.0,0.0,0.0,903.4433739565958
t100,0.0,0.0,0.0,903.4433739565958
t101,0.0,0.0,0.0,903.4433739565958
t102,0.0,0.0,0.0,903.4433739565958
t103,0.0,0.0,0.0,903.4433739565958
t104,0.0,0.0,0.0,903.4433739565958
t105,0.0,0.0,0.0,903.4433739565958
t106,0.0,0.0,0.0,903.4433739565958
t107,0.0,0.0,0.0,903.4433739565958
t108,0.0,0.0,0.0,903.4433739565958
t109,0.0,0.0,0.0,903.4433739565958
t110,0.0,0.0,0.0,903.4433739565958
t111,0.0,0.0,0.0,903.4433739565958
t112,0.0,0.0,0.0,903.4433739565958
t113,0.0,0.0,0.0,903.4433739565958
t114,0.0,0.0,0.0,903.4433739565958
t115,0.0,0.0,0.0,903.4433739565958
t116,0.0,0.0,0.0,903.4433739565958
t117,0.0,0.0,0.0,903.4433739565958
t118,0.0,0.0,0.0,903.4433739565958
t119,0.0,0.0,0.0,903.4433739565958
t120,0.0,0.0,0.0,903.4433739565958
t121,0.0,0.0,0.0,903.4433739565958
t122,0.0,0.0,0.0,903.4433739565958
t123,0.0,0.0,0.0,903.4433739565958
t124,0.0,0.0,0.0,903.4433739565958
t125,0.0,0.0,0.0,903.4433739565958
t126,0.0,0.0,0.0,903.4433739565958
t127,0.0,0.0,0.0,903.4433739565958
t128,0.0,0.0,0.0,903.4433739565958
t129,0.0,0.0,0.0,903.4433739565958
t130,0.0,0.0,0.0,903.4433739565958
t131,0.0,0.0,0.0,903.4433739565958
t132,0.0,0.0,0.0,903.4433739565958
t133,0.0,0.0,0.0,903.4433739565958
t134,0.0,0.0,0.0,903.4433739565958
t135,0.0,0.0,0.0,903.4433739565958
t136,0.0,0.0,0.0,903.4433739565958
t137,0.0,0.0,0.0,903.4433739565958
t138,0.0,0.0,0.0,903.4433739565958
t139,0.0,0.0,0.0,903.4433739565958
t140,0.0,0.0,0.0,903.4433739565958
t141,0.0,0.0,0.0,903.4433739565958
t142,0.0,0.0,0.0,903.4433739565958
t143,0.0,0.0,0.0,903.4433739565958
t144,0.0,0.0,0.0,903.4433739565958
t145,0.0,0.0,0.0,903.4433739565958
t146,0.0,0.0,0.0,903.4433739565958
t147,0.0,0.0,0.0,903.4433739565958
t148,0.0,0.0,0.0,903.4433739565958
t149,0.0,0.0,0.0,903.4433739565958
t150,0.0,0.0,0.0,903.4433739565958
t151,0.0,0.0,0.0,903.4433739565958
t152,0.0,0.0,0.0,903.4433739565958
t153,0.0,0.0,0.0,903.4433739565958
t154,0.0,0.0,0.0,903.4433739565958
t155,0.0,0.0,0.0,903.4433739565958
t156,0.0,0.0,0.0,903.4433739565958
t157,0.0,0.0,0.0,903.4433739565958
t158,0.0,0.0,0.0,903.4433739565958
t159,0.0,0.0,0.0,903.4433739565958
t160,0.0,0.0,0.0,903.4433739565958
t161,0.0,0.0,0.0,903.4433739565958
t162,0.0,0.0,0.0,903.4433739565958
t163,0.0,0.0,0.0,903.4433739565958
t164,0.0,0.0,0.0,903.4433739565958
t165,0.0,0.0,0.0,903.4433739565958
t166,0.0,0.0,0.0,903.4433739565958
t167,0.0,0.0,0.0,903.4433739565958
t168,0.0,0.0,0.0,903.4433739565958
t169,0.0,0.0,0.0,1716.9159377825126
t170,0.0,0.0,0.0,1716.9159377825126
t171,0.0,0.0,0.0,1716.9159377825126
t172,0.0,0.0,0.0,1716.9159377825126
t173,0.0,0.0,0.0,1716.9159377825126
t174,0.0,0.0,0.0,1716.9159377825126
t175,0.0,0.0,0.0,1716.9159377825126
t176,0.0,0.0,0.0,1716.9159377825126
t177,0.0,0.0,0.0,1716.9159377825126
t178,0.0,0.0,0.0,1716.9159377825126
t179,0.0,0.0,0.0,1716.9159377825126
t180,0.0,0.0,0.0,1716.9159377825126
t181,0.0,0.0,0.0,1716.9159377825126
t182,0.0,0.0,0.0,1716.9159377825126
t183,0.0,0.0,0.0,1716.9159377825126
t184,0.0,0.0,0.0,1716.9159377825126
t185,0.0,0.0,0.0,1716.9159377825126
t186,0.0,0.0,0.0,1716.9159377825126
