Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,unmet,Total
Zone,1,1,1,1,0,0
AnnualSum,5.912733408276173e6,0.0,0.0,0.0,0.0,5.912733408276173e6
t1,368.34600000000006,0.0,0.0,0.0,0.0,0.36834600000000006
t2,348.348,0.0,0.0,0.0,0.0,0.348348
t3,333.46500000000003,0.0,0.0,0.0,0.0,0.333465
t4,325.97400000000005,0.0,0.0,0.0,0.0,0.32597400000000004
t5,324.819,0.0,0.0,0.0,0.0,0.324819
t6,330.561,0.0,0.0,0.0,0.0,0.330561
t7,342.87,0.0,0.0,0.0,0.0,0.34287
t8,353.991,0.0,0.0,0.0,0.0,0.353991
t9,372.834,0.0,0.0,0.0,0.0,0.372834
t10,391.347,0.0,0.0,0.0,0.0,0.391347
t11,402.468,0.0,0.0,0.0,0.0,0.402468
t12,406.593,0.0,0.0,0.0,0.0,0.40659300000000004
t13,408.57300000000004,0.0,0.0,0.0,0.0,0.408573
t14,404.90999999999997,0.0,0.0,0.0,0.0,0.40491
t15,400.917,0.0,0.0,0.0,0.0,0.40091699999999997
t16,403.227,0.0,0.0,0.0,0.0,0.403227
t17,442.53000000000003,0.0,0.0,0.0,0.0,0.44253000000000003
t18,479.78700000000003,0.0,0.0,0.0,0.0,0.479787
t19,476.982,0.0,0.0,0.0,0.0,0.476982
t20,462.396,0.0,0.0,0.0,0.0,0.46239600000000003
t21,445.302,0.0,0.0,0.0,0.0,0.44530200000000003
t22,421.476,0.0,0.0,0.0,0.0,0.421476
t23,391.94100000000003,0.0,0.0,0.0,0.0,0.39194100000000004
t24,358.84200000000004,0.0,0.0,0.0,0.0,0.35884200000000005
t25,330.82500000000005,0.0,0.0,0.0,0.0,0.33082500000000004
t26,313.863,0.0,0.0,0.0,0.0,0.313863
t27,305.712,0.0,0.0,0.0,0.0,0.305712
t28,303.86400000000003,0.0,0.0,0.0,0.0,0.303864
t29,310.53000000000003,0.0,0.0,0.0,0.0,0.31053000000000003
t30,327.492,0.0,0.0,0.0,0.0,0.327492
t31,352.968,0.0,0.0,0.0,0.0,0.352968
t32,373.857,0.0,0.0,0.0,0.0,0.37385700000000005
t33,399.46500000000003,0.0,0.0,0.0,0.0,0.399465
t34,425.66700000000003,0.0,0.0,0.0,0.0,0.425667
t35,444.906,0.0,0.0,0.0,0.0,0.444906
t36,452.793,0.0,0.0,0.0,0.0,0.452793
t37,452.067,0.0,0.0,0.0,0.0,0.452067
t38,449.163,0.0,0.0,0.0,0.0,0.44916300000000003
t39,447.744,0.0,0.0,0.0,0.0,0.44774400000000003
t40,454.54200000000003,0.0,0.0,0.0,0.0,0.454542
t41,497.17800000000005,0.0,0.0,0.0,0.0,0.49717800000000006
t42,3473.7924217115346,0.0,0.0,0.0,0.0,3.4737924217115346
t43,3469.4750866821414,0.0,0.0,0.0,0.0,3.4694750866821416
t44,3488.350088512817,0.0,0.0,0.0,0.0,3.488350088512817
t45,501.501,0.0,0.0,0.0,0.0,0.501501
t46,468.237,0.0,0.0,0.0,0.0,0.468237
t47,427.02000000000004,0.0,0.0,0.0,0.0,0.42702
t48,389.664,0.0,0.0,0.0,0.0,0.389664
t49,364.88100000000003,0.0,0.0,0.0,0.0,0.364881
t50,352.50600000000003,0.0,0.0,0.0,0.0,0.35250600000000004
t51,346.56600000000003,0.0,0.0,0.0,0.0,0.34656600000000004
