Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,1.1522622463125227e8,841662.3743131862,3.17608492640785e6,0.0,1.1924397193197331e8
t1,10272.282958,0.0,889.7170420000001,-0.0,11162.0
t2,9678.284532,0.0,877.715468,-0.0,10556.0
t3,9201.575797,0.0,903.424203,-0.0,10105.0
t4,9005.23966028,0.0,872.760339720001,0.0,9878.0
t5,9085.741883,0.0,757.258117,0.0,9843.0
t6,9386.071305,0.0,630.9286950000001,-0.0,10017.0
t7,9832.822218000001,0.0,557.1777820000001,-0.0,10390.000000000002
t8,10119.7508,0.0,607.2492000000002,-0.0,10727.0
t9,10785.632134,88.95,423.417866,-0.0,11298.0
t10,11637.029225,214.5,7.470775000000001,-0.0,11859.0
t11,11906.064058,287.4,2.535942,-0.0,12196.0
t12,11994.646291000001,324.2,2.1537090000000005,-0.0,12321.000000000002
t13,12066.148680000002,310.40000000000003,4.45132,-0.0,12381.000000000002
t14,11964.288413,298.0,7.711587000000001,-0.0,12270.0
t15,11797.501786999997,250.64999999999998,100.848213,-0.0,12148.999999999996
t16,11851.647851,165.55,201.802149,-0.0,12218.999999999998
t17,13235.966946,32.099999999999994,141.933054,-0.0,13410.0
t18,13971.977438,0.0,567.0225619999999,-0.0,14539.0
t19,13507.975105,0.0,946.0248949999999,-0.0,14454.0
t20,13088.605797000002,0.0,923.3942029999998,-0.0,14012.000000000002
t21,12540.613753,0.0,953.386247,-0.0,13494.0
t22,11842.794582,0.0,929.205418,-0.0,12772.0
t23,11027.471091000001,0.0,849.5289089999999,-0.0,11877.000000000002
t24,10208.429026000002,0.0,665.5709739999999,-0.0,10874.000000000002
t25,9497.549319000002,0.0,527.450681,-0.0,10025.000000000002
t26,9001.56966028,0.0,509.4303397199997,0.0,9511.0
t27,8999.099660279999,0.0,264.9003397200005,0.0,9264.0
t28,8998.53966028,0.0,209.46033972000146,0.0,9208.0
t29,9000.559660279998,0.0,409.4403397200015,0.0,9410.0
t30,9099.231457,0.0,824.7685429999999,-0.0,9924.0
t31,10109.373172,0.0,586.626828,0.0,10696.0
t32,10843.032185,0.0,485.9678150000001,0.0,11329.0
t33,11459.110999,80.0,565.889001,0.0,12105.0
t34,11986.167607999998,170.9,741.932392,0.0,12898.999999999998
t35,12305.073347,247.6,929.3266529999999,0.0,13482.0
t36,12451.854096,282.7,986.4459039999999,0.0,13721.0
t37,12421.702995,285.65000000000003,991.6470049999999,0.0,13699.0
t38,12354.674912,270.7,985.6250880000001,0.0,13611.000000000002
t39,12343.057734999999,233.85,991.092265,0.0,13567.999999999998
t40,12662.834683,159.64999999999998,951.5153170000001,0.0,13773.999999999998
t41,14054.299585,50.15,961.550415,0.0,15066.0
t42,15576.697277,0.0,797.3027230000001,0.0,16374.0
t43,15504.861991,0.0,725.138009,0.0,16230.0
t44,15294.551551999999,0.0,543.4484479999999,0.0,15837.999999999998
t45,14371.693583999999,0.0,825.306416,0.0,15196.999999999998
t46,13267.922032999999,0.0,921.077967,0.0,14188.999999999998
t47,12114.602508999998,0.0,825.397491,0.0,12939.999999999998
t48,11006.914707,0.0,801.085293,0.0,11808.0
t49,10218.327064000001,0.0,838.672936,0.0,11057.000000000002
t50,10023.397285,0.0,658.6027149999999,0.0,10681.999999999998
t51,10016.68128,0.0,485.3187200000001,0.0,10502.0
t52,9928.013336,0.0,595.986664,0.0,10524.0
t53,10279.158212,0.0,621.841788,0.0,10901.0
t54,11322.702559000001,0.0,698.297441,0.0,12021.000000000002
t55,13437.631288,0.0,565.368712,0.0,14003.0
t56,14750.017459,0.0,362.9825409999999,0.0,15113.0
t57,14766.373776,107.35,427.27622399999996,0.0,15301.0
t58,14300.101912,218.0,887.898088,0.0,15406.0
t59,14301.985267,289.35,952.664733,0.0,15544.0
t60,14277.653983999999,316.0,976.3460160000002,0.0,15569.999999999998
t61,14186.444908,322.55,998.0050919999999,0.0,15506.999999999998
t62,14196.091758,310.35,978.5582420000001,0.0,15485.0
t63,14158.443998,275.2,992.356002,0.0,15426.000000000002
t64,14463.805398,189.04999999999998,986.1446019999997,0.0,15639.0
t65,15939.914084000002,68.55,851.535916,0.0,16860.0
t66,17291.933603,0.0,903.0663970000002,0.0,18195.0
t67,17235.766511,0.0,994.2334889999997,0.0,18230.0
t68,17096.538102,0.0,827.4618980000001,0.0,17924.0
t69,16375.191608000001,0.0,965.808392,0.0,17341.0
t70,15357.839268000002,0.0,960.160732,0.0,16318.000000000002
t71,13964.267947,0.0,987.7320529999997,0.0,14952.0
t72,12776.087004,0.0,979.9129959999999,0.0,13756.0
t73,12012.186801,0.0,999.813199,0.0,13012.0
t74,11628.001162,0.0,992.9988380000001,0.0,12621.0
t75,11509.253690000001,0.0,912.74631,0.0,12422.000000000002
t76,11543.685669,0.0,900.314331,0.0,12444.0
t77,11883.097133,0.0,900.9028670000001,0.0,12784.0
t78,13053.80043,0.0,786.19957,0.0,13840.0
t79,15011.295280999999,0.0,749.7047190000002,0.0,15760.999999999998
t80,16119.631368999997,0.0,687.368631,0.0,16806.999999999996
t81,16109.795022,113.85000000000001,604.3549780000002,0.0,16828.0
t82,15958.072651,225.1,599.8273489999999,0.0,16783.0
t83,15865.191252000002,302.3,577.5087480000001,0.0,16745.0
t84,16155.061069000001,339.55,86.38893099999999,0.0,16581.000000000004
t85,15966.718508,336.4,40.881492,0.0,16344.0
t86,15857.465728000001,324.1,22.434272000000004,0.0,16204.000000000002
t87,15802.538692,264.0,9.461308000000002,0.0,16076.0
t88,16061.314268,167.15,13.535731999999998,0.0,16242.0
t89,17357.72516,14.0,6.27484,0.0,17378.0
t90,18243.910709999996,0.0,58.08929,-0.0,18301.999999999996
t91,17935.84587,0.0,224.15412999999998,0.0,18160.0
t92,17461.518417999996,0.0,275.48158200000006,0.0,17736.999999999996
