Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,0.0,0.0,0.0,12902.632768018051
t2,0.0,0.0,0.0,12902.632768018051
t3,0.0,0.0,0.0,12902.632768018051
t4,0.0,0.0,0.0,12927.998620993778
t5,0.0,0.0,0.0,12927.998620993778
t6,0.0,0.0,0.0,12927.998620993778
t7,0.0,0.0,0.0,12927.998620993778
t8,0.0,0.0,0.0,12927.998620993778
t9,0.0,0.0,0.0,12927.998620993778
t10,0.0,0.0,0.0,12927.998620993778
t11,0.0,0.0,0.0,12927.998620993778
t12,0.0,0.0,0.0,12927.998620993778
t13,0.0,0.0,0.0,12927.998620993778
t14,0.0,0.0,0.0,12927.998620993778
t15,0.0,0.0,0.0,12927.998620993778
t16,0.0,0.0,0.0,12927.998620993778
t17,0.0,0.0,0.0,12927.998620993778
t18,0.0,0.0,0.0,12927.998620993778
t19,0.0,0.0,0.0,12927.998620993778
t20,0.0,0.0,0.0,12927.998620993778
t21,0.0,0.0,0.0,12927.998620993778
t22,0.0,0.0,0.0,12927.998620993778
t23,0.0,0.0,0.0,12927.998620993778
t24,0.0,0.0,0.0,12927.998620993778
t25,0.0,0.0,0.0,12927.998620993778
t26,0.0,0.0,0.0,12958.677651935539
t27,0.0,0.0,0.0,13198.471317622114
t28,0.0,0.0,0.0,13860.2993337635
t29,0.0,0.0,0.0,14262.0
t30,0.0,0.0,0.0,14262.0
t31,0.0,0.0,0.0,14262.0
t32,0.0,0.0,0.0,14262.0
t33,0.0,0.0,0.0,14262.0
t34,0.0,0.0,0.0,14262.0
t35,0.0,0.0,0.0,14262.0
t36,0.0,0.0,0.0,14262.0
t37,0.0,0.0,0.0,14262.0
t38,0.0,0.0,0.0,14262.0
t39,0.0,0.0,0.0,14262.0
t40,0.0,0.0,0.0,14262.0
t41,0.0,0.0,0.0,14262.0
t42,0.0,0.0,0.0,14262.0
t43,0.0,0.0,0.0,14262.0
t44,0.0,0.0,0.0,14262.0
t45,0.0,0.0,0.0,14262.0
t46,0.0,0.0,0.0,14262.0
t47,0.0,0.0,0.0,14262.0
t48,0.0,0.0,0.0,14262.0
t49,0.0,0.0,0.0,14262.0
t50,0.0,0.0,0.0,14262.0
t51,0.0,0.0,0.0,14262.0
t52,0.0,0.0,0.0,14262.0
t53,0.0,0.0,0.0,14262.0
t54,0.0,0.0,0.0,14262.0
t55,0.0,0.0,0.0,14262.0
t56,0.0,0.0,0.0,14262.0
t57,0.0,0.0,0.0,14262.0
t58,0.0,0.0,0.0,14262.0
t59,0.0,0.0,0.0,14262.0
t60,0.0,0.0,0.0,14262.0
t61,0.0,0.0,0.0,14262.0
t62,0.0,0.0,0.0,14262.0
t63,0.0,0.0,0.0,14262.0
t64,0.0,0.0,0.0,14262.0
t65,0.0,0.0,0.0,14262.0
t66,0.0,0.0,0.0,14262.0
t67,0.0,0.0,0.0,14262.0
t68,0.0,0.0,0.0,14262.0
t69,0.0,0.0,0.0,14262.0
t70,0.0,0.0,0.0,14262.0
t71,0.0,0.0,0.0,14262.0
t72,0.0,0.0,0.0,14262.0
t73,0.0,0.0,0.0,14262.0
t74,0.0,0.0,0.0,14262.0
t75,0.0,0.0,0.0,14262.0
t76,0.0,0.0,0.0,14262.0
t77,0.0,0.0,0.0,14262.0
t78,0.0,0.0,0.0,14262.0
t79,0.0,0.0,0.0,14262.0
t80,0.0,0.0,0.0,14262.0
t81,0.0,0.0,0.0,14262.0
t82,0.0,0.0,0.0,14262.0
t83,0.0,0.0,0.0,14262.0
t84,0.0,0.0,0.0,14262.0
t85,0.0,0.0,0.0,14262.0
t86,0.0,0.0,0.0,14262.0
t87,0.0,0.0,0.0,14262.0
t88,0.0,0.0,0.0,14262.0
t89,0.0,0.0,0.0,14262.0
t90,0.0,0.0,0.0,13371.149196420682
t91,0.0,0.0,0.0,12902.632768018051
t92,0.0,0.0,0.0,12902.632768018051
t93,0.0,0.0,0.0,12902.632768018051
t94,0.0,0.0,0.0,12902.632768018051
t95,0.0,0.0,0.0,12902.632768018051
t96,0.0,0.0,0.0,12902.632768018051
t97,0.0,0.0,0.0,12902.632768018051
t98,0.0,0.0,0.0,12902.632768018051
t99,0.0,0.0,0.0,12902.632768018051
t100,0.0,0.0,0.0,12902.632768018051
t101,0.0,0.0,0.0,12902.632768018051
t102,0.0,0.0,0.0,12902.632768018051
t103,0.0,0.0,0.0,12902.632768018051
t104,0.0,0.0,0.0,12902.632768018051
t105,0.0,0.0,0.0,12902.632768018051
t106,0.0,0.0,0.0,12902.632768018051
t107,0.0,0.0,0.0,12902.632768018051
t108,0.0,0.0,0.0,12902.632768018051
t109,0.0,0.0,0.0,12902.632768018051
t110,0.0,0.0,0.0,12902.632768018051
t111,0.0,0.0,0.0,12902.632768018051
t112,0.0,0.0,0.0,12902.632768018051
t113,0.0,0.0,0.0,12902.632768018051
t114,0.0,0.0,0.0,12902.632768018051
t115,0.0,0.0,0.0,12902.632768018051
t116,0.0,0.0,0.0,12902.632768018051
t117,0.0,0.0,0.0,12902.632768018051
t118,0.0,0.0,0.0,12902.632768018051
t119,0.0,0.0,0.0,12902.632768018051
t120,0.0,0.0,0.0,12902.632768018051
t121,0.0,0.0,0.0,12902.632768018051
t122,0.0,0.0,0.0,12902.632768018051
t123,0.0,0.0,0.0,12902.632768018051
t124,0.0,0.0,0.0,12902.632768018051
t125,0.0,0.0,0.0,12902.632768018051
t126,0.0,0.0,0.0,12902.632768018051
t127,0.0,0.0,0.0,12902.632768018051
t128,0.0,0.0,0.0,12902.632768018051
t129,0.0,0.0,0.0,12902.632768018051
t130,0.0,0.0,0.0,12902.632768018051
t131,0.0,0.0,0.0,12902.632768018051
t132,0.0,0.0,0.0,12902.632768018051
t133,0.0,0.0,0.0,12902.632768018051
t134,0.0,0.0,0.0,12902.632768018051
t135,0.0,0.0,0.0,12902.632768018051
t136,0.0,0.0,0.0,12902.632768018051
t137,0.0,0.0,0.0,12902.632768018051
t138,0.0,0.0,0.0,12902.632768018051
t139,0.0,0.0,0.0,12902.632768018051
t140,0.0,0.0,0.0,12902.632768018051
t141,0.0,0.0,0.0,12902.632768018051
t142,0.0,0.0,0.0,12902.632768018051
t143,0.0,0.0,0.0,12902.632768018051
t144,0.0,0.0,0.0,12902.632768018051
t145,0.0,0.0,0.0,12902.632768018051
t146,0.0,0.0,0.0,12902.632768018051
t147,0.0,0.0,0.0,12902.632768018051
t148,0.0,0.0,0.0,12902.632768018051
t149,0.0,0.0,0.0,12902.632768018051
t150,0.0,0.0,0.0,12902.632768018051
t151,0.0,0.0,0.0,12902.632768018051
t152,0.0,0.0,0.0,12902.632768018051
t153,0.0,0.0,0.0,12902.632768018051
t154,0.0,0.0,0.0,12902.632768018051
t155,0.0,0.0,0.0,12902.632768018051
t156,0.0,0.0,0.0,12902.632768018051
t157,0.0,0.0,0.0,12902.632768018051
t158,0.0,0.0,0.0,12902.632768018051
t159,0.0,0.0,0.0,12902.632768018051
t160,0.0,0.0,0.0,12902.632768018051
t161,0.0,0.0,0.0,12902.632768018051
t162,0.0,0.0,0.0,12902.632768018051
t163,0.0,0.0,0.0,12902.632768018051
t164,0.0,0.0,0.0,12902.632768018051
t165,0.0,0.0,0.0,12902.632768018051
t166,0.0,0.0,0.0,12902.632768018051
t167,0.0,0.0,0.0,12902.632768018051
t168,0.0,0.0,0.0,12902.632768018051
t169,0.0,0.0,0.0,14262.0
t170,0.0,0.0,0.0,14262.0
t171,0.0,0.0,0.0,14262.0
t172,0.0,0.0,0.0,14262.0
t173,0.0,0.0,0.0,14262.0
t174,0.0,0.0,0.0,14262.0
t175,0.0,0.0,0.0,14262.0
t176,0.0,0.0,0.0,14262.0
t177,0.0,0.0,0.0,14262.0
t178,0.0,0.0,0.0,14262.0
t179,0.0,0.0,0.0,14262.0
t180,0.0,0.0,0.0,14262.0
t181,0.0,0.0,0.0,14262.0
t182,0.0,0.0,0.0,14262.0
t183,0.0,0.0,0.0,14262.0
t184,0.0,0.0,0.0,14262.0
t185,0.0,0.0,0.0,14262.0
t186,0.0,0.0,0.0,14262.0
t187,0.0,0.0,0.0,14262.0
