Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,73.19381024354387,0.0,0.0,0.0
t2,73.19381024354387,0.0,0.0,0.0
t3,73.19381024354387,0.0,0.0,0.0
t4,73.19381024354387,0.0,0.0,0.0
t5,73.19381024354387,0.0,0.0,0.0
t6,73.19381024354387,0.0,0.0,0.0
t7,73.19381024354387,0.0,0.0,0.0
t8,73.19381024354387,0.0,0.0,0.0
t9,73.19381024354387,0.0,0.0,0.0
t10,73.19381024354387,0.0,0.0,0.0
t11,73.19381024354387,0.0,0.0,0.0
t12,73.19381024354387,0.0,0.0,0.0
t13,73.19381024354387,0.0,0.0,0.0
t14,73.19381024354387,0.0,0.0,0.0
t15,73.19381024354387,0.0,0.0,0.0
t16,73.19381024354387,0.0,0.0,0.0
t17,73.19381024354387,0.0,0.0,0.0
t18,73.19381024354387,0.0,0.0,0.0
t19,73.19381024354387,0.0,0.0,0.0
t20,73.19381024354387,0.0,0.0,0.0
t21,73.19381024354387,0.0,0.0,0.0
t22,73.19381024354387,0.0,0.0,0.0
t23,73.19381024354387,0.0,0.0,0.0
t24,73.19381024354387,0.0,0.0,0.0
t25,73.19381024354387,0.0,0.0,0.0
t26,73.19381024354387,0.0,0.0,0.0
t27,73.19381024354387,0.0,0.0,0.0
t28,73.19381024354387,0.0,0.0,0.0
t29,73.19381024354387,0.0,0.0,0.0
t30,73.19381024354387,0.0,0.0,0.0
t31,73.19381024354387,0.0,0.0,0.0
t32,73.19381024354387,0.0,0.0,0.0
t33,73.19381024354387,0.0,0.0,0.0
t34,73.19381024354387,0.0,0.0,0.0
t35,73.19381024354387,0.0,0.0,0.0
t36,73.19381024354387,0.0,0.0,0.0
t37,73.19381024354387,0.0,0.0,0.0
t38,73.19381024354387,0.0,0.0,0.0
t39,73.19381024354387,0.0,0.0,0.0
t40,73.19381024354387,0.0,0.0,0.0
t41,73.19381024354387,0.0,0.0,0.0
t42,73.19381024354387,0.0,0.0,0.0
t43,73.19381024354387,0.0,0.0,0.0
t44,73.19381024354387,0.0,0.0,0.0
t45,73.19381024354387,0.0,0.0,0.0
t46,73.19381024354387,0.0,0.0,0.0
t47,73.19381024354387,0.0,0.0,0.0
t48,73.19381024354387,0.0,0.0,0.0
t49,73.19381024354387,0.0,0.0,0.0
t50,73.19381024354387,0.0,0.0,0.0
t51,73.19381024354387,0.0,0.0,0.0
t52,73.19381024354387,0.0,0.0,0.0
t53,73.19381024354387,0.0,0.0,0.0
t54,73.19381024354387,0.0,0.0,0.0
t55,73.19381024354387,0.0,0.0,0.0
t56,73.19381024354387,0.0,0.0,0.0
t57,73.19381024354387,0.0,0.0,0.0
t58,73.19381024354387,0.0,0.0,0.0
t59,73.19381024354387,0.0,0.0,0.0
t60,73.19381024354387,0.0,0.0,0.0
t61,73.19381024354387,0.0,0.0,0.0
t62,73.19381024354387,0.0,0.0,0.0
t63,73.19381024354387,0.0,0.0,0.0
t64,73.19381024354387,0.0,0.0,0.0
t65,73.19381024354387,0.0,0.0,0.0
t66,73.19381024354387,0.0,0.0,0.0
