Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,1.1215700621068174e8,850165.6710164835,4.1779911385420472e6,31759.670484628015,1.172169226907249e8
t1,9992.328220799724,0.0,1169.6717792002778,0.0,11162.000000000002
t2,9402.106161146046,0.0,1153.8938388539539,0.0,10556.0
t3,8917.308020401386,0.0,1187.691979598614,0.0,10105.0
t4,8701.181589498756,0.0,1176.8184105012454,0.0,9878.000000000002
t5,8847.466131126168,0.0,995.5338688738325,0.0,9843.0
t6,9187.545854027645,0.0,829.4541459723545,0.0,10017.0
t7,9657.502928641437,0.0,732.497071358564,0.0,10390.000000000002
t8,9928.676242386797,0.0,798.3237576132046,0.0,10727.000000000002
t9,10652.401194492006,88.95,556.6488055079928,0.0,11298.0
t10,11634.678501395667,214.5,9.821498604333753,0.0,11859.0
t11,11905.266108828913,287.4,3.3338911710861785,0.0,12195.999999999998
t12,11993.96861370639,324.2,2.8313862936095715,0.0,12321.000000000002
t13,12064.748045796128,310.40000000000003,5.8519542038734835,0.0,12381.000000000002
t14,11961.8619164735,298.0,10.138083526501376,0.0,12270.0
t15,11765.769299439607,250.64999999999998,132.58070056039074,0.0,12148.999999999998
t16,11788.149609511054,165.55,265.3003904889455,0.0,12218.999999999998
t17,13191.306869866938,32.099999999999994,186.59313013306215,0.0,13410.0
t18,13793.560430302245,0.0,745.4395696977555,0.0,14539.0
t19,13210.30276833294,0.0,1243.6972316670608,0.0,14454.0
t20,12798.054341615913,0.0,1213.945658384087,0.0,14012.0
t21,12240.625123323685,0.0,1253.3748766763147,0.0,13494.0
t22,11550.414593395417,0.0,1221.5854066045843,0.0,12772.000000000002
t23,10760.161787888852,0.0,1116.83821211115,0.0,11877.000000000002
t24,9999.00317674859,0.0,874.9968232514104,0.0,10874.000000000002
t25,9331.583838049415,0.0,693.4161619505859,0.0,10025.000000000002
t26,8658.83708577945,0.0,852.1629142205478,0.0,9510.999999999998
t27,8656.315798494632,0.0,836.5169324625108,0.0,9492.832730957143
t28,8655.75579849463,0.0,1202.7021529978776,0.0,9858.457951492508
t29,8657.775798494631,0.0,1127.5505965044035,0.0,9785.326394999034
t30,8839.71314971032,0.0,1084.28685028968,0.0,9924.0
t31,9924.787565886172,0.0,771.2124341138284,0.0,10696.0
t32,10690.119533545902,0.0,638.8804664540994,0.0,11329.0
t33,11281.050672985157,80.0,743.949327014844,0.0,12105.0
t34,11752.714186274114,170.9,975.3858137258858,0.0,12899.0
t35,12012.655211084571,247.6,1221.7447889154282,0.0,13482.0
t36,12141.46304943105,282.7,1296.83695056895,0.0,13721.0
t37,12109.675391194454,285.65000000000003,1303.6746088055452,0.0,13699.0
t38,12044.542140047273,270.7,1295.757859952727,0.0,13611.0
t39,12031.204683421267,233.85,1302.9453165787324,0.0,13568.0
t40,12363.43475253,159.64999999999998,1250.91524747,0.0,13774.0
t41,13751.742051504825,50.15,1264.1079484951752,0.0,15066.0
t42,15325.821252657723,0.0,1048.1787473422771,0.0,16374.0
t43,15276.693021360856,0.0,953.3069786391449,0.0,16230.0
t44,15123.552278905554,0.0,714.447721094444,0.0,15837.999999999998
t45,14112.006031784962,0.0,1084.9939682150368,0.0,15196.999999999998
t46,12978.099394992747,0.0,1210.9006050072544,0.0,14189.000000000002
t47,11854.88629949676,0.0,1085.1137005032385,0.0,12939.999999999998
t48,10754.84847460246,0.0,1053.1515253975385,0.0,11808.0
t49,9954.433657094949,0.0,1102.5663429050524,0.0,11057.000000000002
t50,9816.164039717041,0.0,865.8359602829586,0.0,10682.0
t51,9863.972870132344,0.0,638.0271298676568,0.0,10502.0
t52,9740.48260204898,0.0,783.5173979510197,0.0,10524.0
t53,10083.492010138385,0.0,817.5079898616149,0.0,10901.0
t54,11102.97913306299,0.0,918.0208669370087,0.0,12021.0
t55,13259.734674000762,0.0,743.26532599924,0.0,14003.000000000002
t56,14635.802852471259,0.0,477.19714752873955,0.0,15112.999999999998
t57,14631.928781293642,107.35,561.7212187063586,0.0,15301.0
t58,14020.719519449774,218.0,1167.2804805502253,0.0,15406.0
t59,14002.223665977426,289.35,1252.426334022573,0.0,15544.0
t60,13970.440927013486,316.0,1283.5590729865137,0.0,15570.0
t61,13872.41669445995,322.55,1312.0333055400515,0.0,15507.0
t62,13888.182610999222,310.35,1286.4673890007784,0.0,15485.0
t63,13846.193304088903,275.2,1304.6066959110967,0.0,15426.0
t64,14153.509157890008,189.04999999999998,1296.4408421099904,0.0,15638.999999999998
t65,15671.97326424848,68.55,1119.4767357515202,0.0,16860.0
t66,17007.778412178628,0.0,1187.2215878213722,0.0,18195.0
t67,16922.925054683703,0.0,1307.0749453162996,0.0,18230.000000000004
t68,16836.1723146064,0.0,1087.8276853935981,0.0,17923.999999999996
t69,16071.294276821103,0.0,1269.7057231788972,0.0,17341.0
t70,15055.719006492089,0.0,1262.2809935079124,0.0,16318.000000000002
t71,13653.472206030136,0.0,1298.5277939698642,0.0,14952.0
t72,12467.7515756287,0.0,1288.248424371301,0.0,13756.0
t73,11697.589655882695,0.0,1314.4103441173058,0.0,13012.000000000002
t74,11315.548195933883,0.0,1305.451804066116,0.0,12621.0
t75,11222.05265721752,0.0,1199.94734278248,0.0,12422.0
t76,11260.396432046453,0.0,1183.6035679535494,0.0,12444.000000000002
t77,11599.62270970806,0.0,1184.377290291941,0.0,12784.0
t78,12806.418078514907,0.0,1033.5819214850933,0.0,13840.0
t79,14775.396250546839,0.0,985.6037494531596,0.0,15760.999999999998
t80,15903.346757862562,0.0,903.6532421374359,0.0,16807.0
t81,15919.63114848203,113.85000000000001,794.5188515179692,0.0,16828.0
t82,15769.333422764745,225.1,788.5665772352554,0.0,16783.0
t83,15683.474703766005,302.3,759.2252962339961,0.0,16745.0
t84,16127.878280165529,339.55,113.57171983447297,0.0,16581.0
t85,15953.854904394648,336.4,53.74509560535305,0.0,16344.0
t86,15850.406651433454,324.1,29.493348566546818,0.0,16204.0
t87,15799.561635396974,264.0,12.438364603026027,0.0,16076.0
t88,16057.055169751915,167.15,17.7948302480848,0.0,16242.0
t89,17355.75074442713,14.0,8.249255572871302,0.0,17378.0
t90,17511.46656088597,0.0,76.36742917056647,714.1660099434625,18301.999999999996
t91,17517.572560885965,0.0,294.68555470491975,347.74188440911405,18160.0
t92,17374.83650650265,0.0,362.16349349734855,0.0,17736.999999999996
t93,16509.85113391493,0.0,548.14886608507,0.0,17058.0
t94,15422.301618760564,0.0,513.6983812394358,0.0,15936.0
t95,13896.181815637836,0.0,609.8181843621646,0.0,14506.0
t96,12629.989376838954,0.0,552.0106231610465,0.0,13182.0
t97,11907.555021604674,0.0,428.44497839532613,0.0,12336.0
t98,11197.752619072144,0.0,687.2473809278548,0.0,11884.999999999998
t99,11174.852274611805,0.0,481.1477253881964,0.0,11656.000000000002
t100,11057.072209128013,0.0,557.9277908719883,0.0,11615.000000000002
t101,11343.601930853682,0.0,569.398069146319,0.0,11913.0
t102,12412.950481758153,0.0,477.0495182418485,0.0,12890.000000000002
t103,14447.090348410957,0.0,299.9096515890435,0.0,14747.0
t104,15499.770308068757,0.0,335.22969193124436,0.0,15835.000000000002
t105,15508.433000276702,51.65,390.91699972329917,0.0,15951.0
t106,15532.385404267861,140.2,348.41459573213916,0.0,16021.000000000002
t107,15406.118907208971,218.6,324.28109279102955,0.0,15949.0
t108,15154.869697577047,295.65000000000003,275.4803024229541,0.0,15726.0
t109,14983.170891266614,267.45000000000005,280.379108733387,0.0,15531.000000000002
t110,14747.681605236354,242.7,464.6183947636472,0.0,15455.000000000002
t111,14594.70781357877,198.65,539.6421864212292,0.0,15333.0
t112,14221.177646323433,147.4,1063.422353676569,0.0,15432.000000000002
t113,15350.417430572206,44.85,1016.7325694277931,0.0,16412.0
t114,16420.208939636646,0.0,1064.7910603633522,0.0,17485.0
t115,16520.99499812486,0.0,901.0050018751374,0.0,17422.0
t116,16422.893667875866,0.0,603.1063321241361,0.0,17026.0
t117,15759.348780055623,0.0,630.6512199443785,0.0,16390.0
t118,15212.166677107532,0.0,127.8333228924668,0.0,15340.0
t119,13436.448769543582,0.0,490.5512304564179,0.0,13927.0
t120,12487.16049324131,0.0,220.8395067586906,0.0,12708.0
t121,11470.315066705343,0.0,438.6849332946571,0.0,11909.0
t122,11083.19375031852,0.0,392.8062496814806,0.0,11476.0
t123,11053.989316665944,0.0,200.01068333405465,0.0,11253.999999999998
t124,11107.231575202677,0.0,91.76842479732281,0.0,11199.0
t125,11276.58303077629,0.0,195.41696922370906,0.0,11471.999999999998
t126,12167.051896587858,0.0,274.94810341214105,0.0,12442.0
t127,13946.980092767228,0.0,318.01990723277163,0.0,14265.0
t128,15052.002669826783,0.0,305.9973301732188,0.0,15358.000000000002
t129,14863.014331853787,51.15,569.8356681462134,0.0,15484.0
t130,14656.3347431913,146.95,696.7152568086979,0.0,15500.0
t131,14849.445267994908,251.8,330.7547320050936,0.0,15432.000000000002
t132,14559.082086210097,310.0,333.9179137899017,0.0,15202.999999999998
t133,14369.742136934743,297.35,284.90786306525746,0.0,14952.0
t134,14212.30935174942,213.04999999999998,394.64064825058006,0.0,14820.0
t135,14198.67105046092,182.45,232.87894953908162,0.0,14614.000000000002
t136,14410.204078250405,99.6,175.19592174959658,0.0,14685.000000000002
t137,15163.106626637502,7.550000000000001,370.3433733624989,0.0,15541.0
t138,15822.651465643012,0.0,539.3485343569852,0.0,16361.999999999996
t139,15641.68410648631,0.0,458.31589351369223,0.0,16100.000000000002
t140,15405.608091159116,0.0,229.39190884088302,0.0,15635.0
t141,14623.47613355096,0.0,393.5238664490399,0.0,15017.0
t142,13797.08172937231,0.0,414.9182706276897,0.0,14212.0
t143,12600.319669783928,0.0,515.6803302160708,0.0,13116.0
t144,11459.94883196528,0.0,530.0511680347199,0.0,11990.0
t145,10647.315645166796,0.0,471.6843548332021,0.0,11118.999999999998
t146,10051.75470642678,0.0,584.2452935732192,0.0,10636.0
t147,9696.863540093847,0.0,676.1364599061517,0.0,10373.0
t148,9635.010922168845,0.0,632.9890778311548,0.0,10268.0
t149,9928.088454086897,0.0,441.91154591310175,0.0,10370.0
t150,10632.832264416817,0.0,132.1677355831845,0.0,10765.000000000002
t151,11388.051310099609,0.0,89.94868990039025,0.0,11477.999999999998
t152,12134.12429693046,0.0,95.87570306954053,0.0,12230.0
t153,12697.001935703403,94.14999999999999,209.84806429659602,0.0,13001.0
t154,12920.968609147392,203.35,341.68139085260674,0.0,13466.0
t155,12886.904276984584,273.9,436.19572301541535,0.0,13596.999999999998
t156,12884.505287816131,319.29999999999995,284.1947121838691,0.0,13488.0
t157,12625.890037709656,325.2,288.90996229034295,0.0,13240.0
t158,12283.196261548037,315.55,361.2537384519637,0.0,12960.0
t159,12040.028932443094,254.64999999999998,469.32106755690415,0.0,12763.999999999998
t160,12216.268764739794,149.5,533.2312352602052,0.0,12899.0
t161,13353.619209245318,27.650000000000002,462.7307907546816,0.0,13844.0
t162,13889.118468378625,0.0,901.8815316213762,0.0,14791.000000000002
t163,13405.480329175925,0.0,1212.5196708240762,0.0,14618.000000000002
t164,12979.282065859572,0.0,1169.717934140428,0.0,14149.0
t165,12460.578203210056,0.0,1243.421796789944,0.0,13704.0
t166,11906.732648475978,0.0,1156.2673515240222,0.0,13063.0
t167,11024.848477607326,0.0,1199.1515223926758,0.0,12224.000000000002
t168,10019.858766336085,0.0,1282.1412336639141,0.0,11302.0
t169,9862.344076841591,0.0,1314.6559231584076,0.0,11176.999999999998
t170,9441.344076841591,0.0,1314.6559231584076,0.0,10755.999999999998
t171,9225.344076841591,0.0,1314.6559231584076,0.0,10539.999999999998
t172,9179.344076841591,0.0,1314.6559231584076,0.0,10493.999999999998
t173,9265.344076841593,0.0,1314.6559231584076,0.0,10580.0
t174,9584.434425255255,0.0,1314.5655747447445,0.0,10899.0
t175,9984.344076841591,0.0,1314.6559231584076,0.0,11298.999999999998
t176,10499.878337423284,56.599999999999994,1291.5216625767164,0.0,11848.000000000002
t177,11134.044076841594,186.29999999999998,1314.6559231584076,0.0,12635.0
t178,11535.775256844849,286.65000000000003,1314.5747431551526,0.0,13137.0
t179,11708.333341122061,359.59999999999997,1314.0666588779382,0.0,13382.0
t180,11759.254745493092,381.2,1313.5452545069102,0.0,13454.000000000004
