BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.1927819832770248e8,188497.37048070048,-222704.83279855907,0.0,0.0,0.0,0.0,0.0,0.0,-1.1924399086538465e8
t1,11162.000000000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11162.0
t2,10556.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10556.0
t3,10105.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10105.0
t4,9878.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9878.0
t5,9843.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9843.0
t6,10017.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10017.0
t7,10390.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10390.0
t8,10727.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10727.0
t9,11298.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11298.0
t10,11859.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11859.0
t11,12196.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12196.0
t12,12321.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12321.0
t13,12381.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12381.0
t14,12270.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12270.0
t15,12149.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12149.0
t16,12219.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12219.0
t17,13410.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13410.0
t18,14539.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14539.0
t19,14454.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14454.0
t20,14012.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14012.0
t21,13494.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13494.0
t22,12772.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12772.0
t23,11877.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11877.0
t24,10874.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10874.0
t25,10025.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10025.0
t26,9511.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9511.0
t27,9399.819209635913,0.0,-135.81920963591364,0.0,0.0,0.0,0.0,0.0,0.0,-9264.0
t28,9677.799939635914,0.0,-469.79993963591403,0.0,0.0,0.0,0.0,0.0,0.0,-9208.0
t29,9622.655509635913,0.0,-212.65550963591375,0.0,0.0,0.0,0.0,0.0,0.0,-9410.0
t30,9924.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9924.0
t31,10696.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10696.0
t32,11329.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11329.0
t33,12105.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12105.0
t34,12899.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12899.0
t35,13482.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13482.0
t36,13721.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13721.0
t37,13699.000000000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13699.0
t38,13611.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13611.0
t39,13568.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13568.0
t40,13774.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13774.0
t41,15066.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15066.0
t42,16373.999999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16373.999999999998
t43,16230.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16230.0
t44,15838.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15838.0
t45,15197.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15197.0
t46,14189.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14189.0
t47,12940.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12940.0
t48,11808.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11808.0
t49,11057.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11057.0
t50,10682.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10682.0
t51,10502.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10502.0
t52,10524.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10524.0
t53,10901.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10901.0
t54,12021.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12021.0
t55,14003.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14003.0
t56,15113.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15113.0
t57,15301.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15301.0
t58,15406.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15406.0
t59,15544.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15544.0
t60,15570.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15570.0
t61,15507.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15507.0
t62,15485.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15485.0
t63,15426.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15426.0
t64,15639.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15639.0
t65,16860.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16860.0
t66,18195.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18195.0
t67,18230.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18230.0
t68,17924.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17924.0
t69,17341.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17341.0
t70,16318.000000000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16318.000000000002
t71,14952.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14952.0
t72,13756.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13756.0
t73,13012.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13012.0
t74,12621.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12621.0
t75,12422.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12422.0
t76,12444.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12444.0
t77,12784.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12784.0
t78,13840.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13840.0
t79,15761.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15761.0
t80,16807.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16807.0
t81,16828.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16828.0
t82,16783.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16783.0
t83,16745.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16745.0
t84,16581.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16581.0
t85,16344.000000000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16344.000000000002
t86,16204.000000000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16204.0
t87,16076.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16076.0
t88,16242.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16242.0
t89,17378.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17378.0
t90,17798.620744350246,503.3792556497545,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18302.0
t91,17970.79158435024,189.20841564975888,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18160.0
t92,17737.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17737.0
t93,17058.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17058.0
