Region,Resource,Zone,Cluster,AnnualSum
NENGREST,NENGREST_biomass_1,1,1,1.939623944550917e7
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,4.76011966407888e7
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,1.7864089086590612e8
NENGREST,NENGREST_natural_gas_fired_combined_cycle_1,1,1,1.617326591854042e8
NENGREST,NENGREST_natural_gas_fired_combined_cycle_2,1,2,2.628019122683264
NENGREST,NENGREST_natural_gas_fired_combustion_turbine_1,1,1,1.1348198605688693
NENGREST,NENGREST_natural_gas_fired_combustion_turbine_2,1,2,1.0283179495091071e7
NENGREST,NENGREST_natural_gas_steam_turbine_1,1,1,109939.63968194171
NENGREST,NENGREST_nuclear_1,1,1,1.5187027473839934
NENGREST,NENGREST_offshore_wind_turbine_1,1,1,5.496990463701676e6
NENGREST,NENGREST_onshore_wind_turbine_1,1,1,3.8466422234702846e6
NENGREST,NENGREST_small_hydroelectric_1,1,1,0.0
NENGREST,NENGREST_solar_photovoltaic_1,1,1,4.238016820023597e6
NENG_CT,NENG_CT_biomass_1,1,1,4.97650527206573e6
NENG_CT,NENG_CT_conventional_hydroelectric_1,1,1,4.1379837252452164e6
NENG_CT,NENG_CT_hydroelectric_pumped_storage_1,1,1,3.0561151071443334e6
NENG_CT,NENG_CT_natural_gas_fired_combined_cycle_1,1,1,4.48525939543452e8
NENG_CT,NENG_CT_natural_gas_fired_combined_cycle_2,1,2,1.4464956390366672
NENG_CT,NENG_CT_natural_gas_fired_combustion_turbine_1,1,1,1.169672483580546e7
NENG_CT,NENG_CT_natural_gas_fired_combustion_turbine_2,1,2,5.601330336110563
NENG_CT,NENG_CT_nuclear_1,1,1,3.594253672448187e8
NENG_CT,NENG_CT_onshore_wind_turbine_1,1,1,157324.83579186912
NENG_CT,NENG_CT_small_hydroelectric_1,1,1,0.0
NENG_CT,NENG_CT_solar_photovoltaic_1,1,1,0.02046120935366622
NENG_ME,NENG_ME_biomass_1,1,1,4.565393221274706e6
NENG_ME,NENG_ME_conventional_hydroelectric_1,1,1,3.781081331044787e7
NENG_ME,NENG_ME_natural_gas_fired_combined_cycle_1,1,1,0.8818216908617692
NENG_ME,NENG_ME_natural_gas_fired_combined_cycle_2,1,2,8.2556625755744e7
NENG_ME,NENG_ME_natural_gas_fired_combustion_turbine_1,1,1,2.8387423810813744e7
NENG_ME,NENG_ME_onshore_wind_turbine_1,1,1,3.78989971010437e7
NENG_ME,NENG_ME_small_hydroelectric_1,1,1,0.0
NENG_ME,NENG_ME_solar_photovoltaic_1,1,1,64268.82188407598
NENGREST,NENGREST_naturalgas_ccccsavgcf_mid_0,1,0,0.0
NENGREST,NENGREST_naturalgas_ccavgcf_mid_0,1,0,8.715479339619902
NENGREST,NENGREST_naturalgas_ctavgcf_mid_0,1,0,1.2028987987747715
NENGREST,NENGREST_battery_mid_0,1,0,2.2753326616869137e7
NENGREST,NENGREST_naturalgas_ccs100_mid_0,1,0,0.0
NENGREST,NENGREST_landbasedwind_ltrg1_mid_130_1,1,1,4.732970878024728e7
NENGREST,NENGREST_utilitypv_losangeles_mid_80_0_2_1,1,1,2.2650753420186605e7
NENGREST,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,1,1,3.932432987733334e8
NENG_CT,NENG_CT_naturalgas_ccccsavgcf_mid_0,1,0,0.0
NENG_CT,NENG_CT_naturalgas_ccavgcf_mid_0,1,0,1.464713733114159e8
NENG_CT,NENG_CT_naturalgas_ctavgcf_mid_0,1,0,1.7973025090153942
NENG_CT,NENG_CT_battery_mid_0,1,0,2.287604512228851e7
NENG_CT,NENG_CT_naturalgas_ccs100_mid_0,1,0,0.0
NENG_CT,NENG_CT_landbasedwind_ltrg1_mid_110_1,1,1,5.82224852763938e7
NENG_CT,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,1,1,1.5286643021143407e8
NENG_CT,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,1,1,0.0075904777354367505
NENG_ME,NENG_ME_naturalgas_ccccsavgcf_mid_0,1,0,0.0
NENG_ME,NENG_ME_naturalgas_ccavgcf_mid_0,1,0,1.455950582991728e8
NENG_ME,NENG_ME_naturalgas_ctavgcf_mid_0,1,0,1.7951020750845939
NENG_ME,NENG_ME_battery_mid_0,1,0,2.263054048402823e7
NENG_ME,NENG_ME_naturalgas_ccs100_mid_0,1,0,0.0
NENG_ME,NENG_ME_landbasedwind_ltrg1_mid_110_1,1,1,0.5116623136341579
NENG_ME,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,1,1,0.000984795758776714
NENGREST,NENGREST_heat_load_shifting_1,1,1,1.6183937970785687e7
NENG_CT,NENG_CT_heat_load_shifting_1,1,1,4.606142745612055e6
NENG_ME,NENG_ME_heat_load_shifting_1,1,1,2.195352542467136e6
