Region,Resource,Zone,Cluster,CapRes_1,AnnualSum
NENGREST,NENGREST_biomass_1,1,1,8.310140153478129e6,8.310140153478129e6
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,7.338049762876676e6,7.338049762876676e6
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,1.4150505181556666e8,1.4150505181556666e8
NENGREST,NENGREST_natural_gas_fired_combined_cycle_1,1,1,5.545186297468023e8,5.545186297468023e8
NENGREST,NENGREST_natural_gas_fired_combined_cycle_2,1,2,2.1035893359047216e8,2.1035893359047216e8
NENGREST,NENGREST_natural_gas_fired_combustion_turbine_1,1,1,2.371714407226411e7,2.371714407226411e7
NENGREST,NENGREST_natural_gas_fired_combustion_turbine_2,1,2,4.912966266710996e6,4.912966266710996e6
NENGREST,NENGREST_natural_gas_steam_turbine_1,1,1,47011.03213478478,47011.03213478478
NENGREST,NENGREST_nuclear_1,1,1,0.7786778182243042,0.7786778182243042
NENGREST,NENGREST_offshore_wind_turbine_1,1,1,2.0219798774902232e6,2.0219798774902232e6
NENGREST,NENGREST_onshore_wind_turbine_1,1,1,577039.6685488763,577039.6685488763
NENGREST,NENGREST_small_hydroelectric_1,1,1,0.0,0.0
NENGREST,NENGREST_solar_photovoltaic_1,1,1,867958.9072359229,867958.9072359229
NENG_CT,NENG_CT_biomass_1,1,1,2.1349276734548854e6,2.1349276734548854e6
NENG_CT,NENG_CT_conventional_hydroelectric_1,1,1,950162.2758809781,950162.2758809781
NENG_CT,NENG_CT_hydroelectric_pumped_storage_1,1,1,2.481057769793661e6,2.481057769793661e6
NENG_CT,NENG_CT_natural_gas_fired_combined_cycle_1,1,1,2.7334595985362554e8,2.7334595985362554e8
NENG_CT,NENG_CT_natural_gas_fired_combined_cycle_2,1,2,2.757980552851627e6,2.757980552851627e6
NENG_CT,NENG_CT_natural_gas_fired_combustion_turbine_1,1,1,3.400464658977122e7,3.400464658977122e7
NENG_CT,NENG_CT_natural_gas_fired_combustion_turbine_2,1,2,9.786129859551463e6,9.786129859551463e6
NENG_CT,NENG_CT_nuclear_1,1,1,1.548023822432612e8,1.548023822432612e8
NENG_CT,NENG_CT_onshore_wind_turbine_1,1,1,4201.02998368982,4201.02998368982
NENG_CT,NENG_CT_small_hydroelectric_1,1,1,0.0,0.0
NENG_CT,NENG_CT_solar_photovoltaic_1,1,1,0.004318479652059475,0.004318479652059475
NENG_ME,NENG_ME_biomass_1,1,1,1.9548754203133953e6,1.9548754203133953e6
NENG_ME,NENG_ME_conventional_hydroelectric_1,1,1,1.347995785581258e7,1.347995785581258e7
NENG_ME,NENG_ME_natural_gas_fired_combined_cycle_1,1,1,2.1507547209404547e7,2.1507547209404547e7
NENG_ME,NENG_ME_natural_gas_fired_combined_cycle_2,1,2,8.729165153386779e7,8.729165153386779e7
NENG_ME,NENG_ME_natural_gas_fired_combustion_turbine_1,1,1,1.2810506261338206e7,1.2810506261338206e7
NENG_ME,NENG_ME_onshore_wind_turbine_1,1,1,3.7401079160665977e6,3.7401079160665977e6
NENG_ME,NENG_ME_small_hydroelectric_1,1,1,0.0,0.0
NENG_ME,NENG_ME_solar_photovoltaic_1,1,1,25944.7974040895,25944.7974040895
NENGREST,NENGREST_naturalgas_ccccsavgcf_mid_0,1,0,0.0,0.0
NENGREST,NENGREST_naturalgas_ccavgcf_mid_0,1,0,4.711114524850534,4.711114524850534
