Constraint,CapRes_1
t1,1.3674603724368788e-9
t2,1.3094813138200391e-9
t3,1.2706665425038197e-9
t4,1.2765014715494623e-9
t5,1.2934380981923922e-9
t6,1.3279383556130565e-9
t7,1.437449487636965e-9
t8,1.2917132437787451e-9
t9,1.0901797719488835e-9
t10,8.810419691770851e-10
t11,8.595002634177836e-10
t12,8.078962333650881e-10
t13,8.416731874751852e-10
t14,9.935934778397424e-10
t15,1.108116098819963e-9
t16,1.1923105379754202e-9
t17,1.7659323773661008e-9
t18,3.0077682430729692e-9
t19,3.0452884237310978e-9
t20,2.980491186437065e-9
t21,2.8973896450990975e-9
t22,2.7253441050075877e-9
t23,2.5723586812425906e-9
t24,2.1759082216150103e-9
t25,1.858877204282215e-9
t26,1.5840049550227948e-9
t27,1.4755681088890263e-9
t28,1.5283058097222017e-9
t29,1.484575636800463e-9
t30,1.6315988827861707e-9
t31,2.2581929246417792e-9
t32,2.9788391840631605e-9
t33,2.2292341366414023e-9
t34,1.5713715811446618e-9
t35,1.4026490019036836e-9
t36,1.3612861981986209e-9
t37,1.394163040018018e-9
t38,1.3864657196280361e-9
t39,1.3582699859309746e-9
t40,1.4174854164390688e-9
t41,1.761931705752864e-9
t42,1.8588246230079709e-9
t43,1.8657920991568245e-9
t44,1.8374992811952226e-9
t45,1.8035411979913814e-9
t46,1.660395109113083e-9
t47,1.3129184283254989e-9
t48,1.1666915399832387e-9
t49,1.1246310449921931e-9
t50,1.0772492738181892e-9
t51,1.0370674814975197e-9
t52,1.0485101577072158e-9
t53,1.0839165614359629e-9
t54,1.1446656990490937e-9
t55,1.2195907633873642e-9
t56,1.2377276847372653e-9
t57,1.1708254255830163e-9
t58,8.450354033042127e-10
t59,7.397069403101148e-10
t60,6.560455558574572e-10
t61,6.193925647834765e-10
t62,6.305555649676213e-10
t63,6.879290383098274e-10
t64,8.548273889550231e-10
t65,1.240410332482993e-9
t66,1.5379744201541218e-9
t67,1.602516912462887e-9
t68,1.5793192879858733e-9
t69,1.544685612106367e-9
t70,1.5090211184556081e-9
t71,1.4081352023671032e-9
t72,1.2668075514407138e-9
t73,1.1562713487778915e-9
t74,1.088486833214411e-9
t75,1.0598564700307907e-9
t76,1.054340502781188e-9
t77,1.0692205812346416e-9
t78,1.152819773201882e-9
t79,1.4530816996717375e-9
t80,1.4870010638473716e-9
t81,1.205311641141183e-9
t82,1.0362606635074046e-9
t83,9.178765755938203e-10
t84,8.680498226143974e-10
t85,8.975964864317174e-10
t86,8.814212556786916e-10
t87,7.989160491130841e-10
t88,1.0530333276444282e-9
t89,1.4979414722333323e-9
t90,3.2877530141505763e-9
t91,3.6107272770106883e-9
t92,3.4770011410829866e-9
t93,3.2934551553788057e-9
t94,2.9980351725947757e-9
t95,2.7559033808755774e-9
t96,2.262681632418189e-9
t97,1.923907666406464e-9
t98,1.7822876921773963e-9
t99,1.6792152918321586e-9
t100,1.6209954459601403e-9
t101,1.692720754645451e-9
t102,2.0430934255945188e-9
t103,2.8407453948464968e-9
t104,3.0063815748721706e-9
t105,2.1422591658490805e-9
t106,1.640684012101136e-9
t107,1.5638484248134102e-9
t108,1.5469816987840518e-9
t109,1.5271826838312219e-9
t110,1.48835145513545e-9
t111,1.6166785848073962e-9
t112,2.1409701491565747e-9
t113,3.997106280827148e-9
t114,4.1527608192941366e-9
t115,4.1954392328419215e-9
t116,4.077947514022784e-9
t117,3.972871111553316e-9
t118,3.6996077487053047e-9
t119,2.1081165859947003e-9
t120,1.3681364696726538e-9
t121,1.222867071853608e-9
t122,1.180997769092055e-9
t123,1.1387658126268346e-9
t124,1.144502132637445e-9
t125,1.1852255829745671e-9
t126,1.2431307460803108e-9
t127,1.4666984545335983e-9
t128,1.7209266262504567e-9
t129,1.7524166060593358e-9
t130,1.7463309771703058e-9
t131,1.4752030998463866e-9
t132,1.6828156321154875e-9
t133,1.4670800803141764e-9
t134,1.4919202300272839e-9
t135,1.4489467489866844e-9
t136,1.6868832928898893e-9
t137,1.725245472271896e-9
