Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
NENGREST_biomass_1,1,106.062,0.0,0.0,106.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_conventional_hydroelectric_1,1,662.983,0.0,0.0,662.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_hydroelectric_pumped_storage_1,1,1768.002,0.0,0.0,1768.002,280635.2381,0.0,0.0,280635.2381,0.0,0.0,0.0,0.0
NENGREST_natural_gas_fired_combined_cycle_1,1,7077.3,6.526044453949093e-10,0.0,7077.299999999347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_natural_gas_fired_combined_cycle_2,1,2684.803,7.077578380511295e-10,0.0,2684.8029999992923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_natural_gas_fired_combustion_turbine_1,1,302.701,6.627747684825272e-10,0.0,302.7009999993372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_natural_gas_fired_combustion_turbine_2,1,62.70399999999999,4.5619354572919856e-10,0.0,62.703999999543804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_natural_gas_steam_turbine_1,1,0.6,2.174852864434093e-10,0.0,0.5999999997825146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_nuclear_1,1,1242.0,1241.999990061765,0.0,9.938235123740924e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_offshore_wind_turbine_1,1,30.0,1.1325349046391834e-10,0.0,29.999999999886747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_onshore_wind_turbine_1,1,145.8,2.0354289731786738e-10,0.0,145.79999999979648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_small_hydroelectric_1,1,186.355,0.0,0.0,186.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST_solar_photovoltaic_1,1,821.4,4.961079729697509e-10,0.0,821.3999999995038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_CT_biomass_1,1,27.248,0.0,0.0,27.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_CT_conventional_hydroelectric_1,1,67.7,0.0,0.0,67.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
