Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,6.290581961081825e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106708.64466654434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498515.71358623996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501226.7527179453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496241.2065731514,0.0,0.0,0.0,703233.5283225289,200185.03863521892,95429.10952971427,8.892121955113169e6
t1,0.0,0.0,1.164176981037803e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1641064948750423e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.213483469608998e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2134834457439033e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.213483806406458e-6,0.0,0.0,0.0,72.59429322144179,20.583349835701092,9.824013715615072,103.00166574149215
t2,0.0,0.0,1.1641809343109724e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1641100161886227e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.213488783632733e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.213488770889812e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2134952900445316e-6,0.0,0.0,0.0,67.51434045365993,19.25068101718537,9.192251940074549,95.95728237968365
t3,0.0,0.0,1.164182849273523e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1641115130872829e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2134930673227242e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2134930672579283e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.213493187455549e-6,0.0,0.0,0.0,65.15770939526615,18.646883651332637,8.903204318114792,92.70780633348726
t4,0.0,0.0,1.1641816167236616e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1641105990872757e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2134810707925495e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2134810793218993e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.213487429118776e-6,0.0,0.0,0.0,65.80576673627391,18.80074032187548,8.972361605495673,93.57887763238686
t5,0.0,0.0,1.1641810730543468e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1641102439596055e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2134776112346013e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.213477627885313e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.213483893372817e-6,0.0,0.0,0.0,82.46999978508528,23.549999747298482,11.239999755173141,117.26000825628736
t6,0.0,0.0,1.164180989982267e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1641102069469222e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2134692879893414e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2134693152657424e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2134754784251265e-6,0.0,0.0,0.0,84.71999971204617,24.18999976390927,11.549999760774046,120.46000820543476
t7,0.0,0.0,1.0035956859562101e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0035424674356447e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6971471108327903e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.697147130744496e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6971507537649582e-6,0.0,0.0,0.0,88.70999984599246,25.329999772895437,12.089999763440003,126.13000648091105
t8,0.0,0.0,8.91749106127486e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.91698900541358e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.858506607452835e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.858654950195612e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.858512512619079e-7,0.0,0.0,0.0,93.05999985462412,26.579999765197037,12.689999777031536,132.33000263786812
t9,0.0,0.0,1768.0019993169237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.998999316768263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.12998035422664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.03052435357953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.453466862144055,0.0,0.0,0.0,84.40226406292007,22.396390818396423,10.607833405891187,2050.02145849085
t10,0.0,0.0,1768.0019993169158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.99899931677005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.21197627846448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.887592117051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0550296153299,0.0,0.0,0.0,76.80387940767764,22.185377826013834,10.798417880546065,2680.9432717587683
t11,0.0,0.0,1768.0019993169176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.998999316771798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.95937302270076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.14396662704024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.20987550142038,0.0,0.0,0.0,77.20802065477116,22.390479404338368,10.89623216451844,2563.808946008479
t12,0.0,0.0,1768.0019993169196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.99899931677406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.37142814763996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0743903452967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.24798945920412,0.0,0.0,0.0,75.66678121956194,22.041190764658882,10.728816662031377,2452.131595232087
t13,0.0,0.0,1768.001999316919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.998999316773205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.72668761836863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.38580326332809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.53622368991458,0.0,0.0,0.0,73.07685681447424,21.44414732786308,10.418561235525546,2468.589278583166
t14,0.0,0.0,1768.0019993169128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9989993167669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.7280252332088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.63242022663331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.05485239563612,0.0,0.0,0.0,70.44643635654059,20.627809609714287,9.936002205002172,2448.4265446604154
t15,0.0,0.0,1768.001999316904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.998999316755825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.93390003647775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.13855495195199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0844832183131,0.0,0.0,0.0,69.03659806009858,19.978556675470802,9.28686505419188,2131.459956630164
t16,0.0,0.0,1768.0019950430947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.998995043171124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98777182095793e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.987772158443299e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98777175772322e-6,0.0,0.0,0.0,72.81100913056932,20.842247562615942,9.944378428816485,1902.5986371715833
t17,0.0,0.0,1.1641750022304484e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1641053206635832e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.055502235709762e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0555030003116074e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05550071654181e-6,0.0,0.0,0.0,80.55151450189159,23.026069702838466,10.98608405368469,114.56367975320103
t18,0.0,0.0,1.3081086888709455e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3080905843952515e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2380400172128724e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2380307594781445e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.238042126025683e-7,0.0,0.0,0.0,114.12999982581238,32.59999974025602,15.559999758541169,162.2900002576408
t19,0.0,0.0,2.4039671521491005e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.403934591126198e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.864348977108763e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.864328160533705e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.864322990493112e-7,0.0,0.0,0.0,114.16999944755813,32.599999467771404,15.55999948607205,162.33000184149176
t20,0.0,0.0,2.403974437525056e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.403941554850939e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.688625025727704e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.68862375988868e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.688632894853303e-7,0.0,0.0,0.0,112.07999947839473,32.00999953253345,15.279999547536391,159.37000104584433
t21,0.0,0.0,8.915497434638532e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.915148232315512e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3583724842888589e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3583572592759636e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3583556101909013e-5,0.0,0.0,0.0,107.96999520691877,30.839995235064787,14.719995253655501,153.53002822955716
t22,0.0,0.0,8.917486516718184e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.916993711063462e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.742893514285122e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74291278351357e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.742929887599958e-6,0.0,0.0,0.0,101.20999615333434,28.909996212812572,13.799996198482111,143.92000457681326
