Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,33.041121412441015,0.0,0.0,6.837372948002996e-7,6.953856693401718e-8,1.6993217010767978e-7,7.997958931871547,0.9999995230302113,7.171560142278596e-9,0.0,0.0,0.0,0.0,7.9906157572005965,0.0,0.0,4.798923791303855,3.250974733375623e-7,4.4813900149952346e-7,5.07157773620267e-7,1.8269331592027287,0.0,0.0,0.0,9.979999894168513,0.0,2.847160862197731e-8,6.984085647613318e-8,2.9999999601747023,0.0,0.0,0.0,0.0,1.1392564412022016e-7,1.0749730223929939e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.7507167851527814,9.906421584255982e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.740723629494344,9.855515403522283e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,33.04112141244095,0.0,0.0,6.747052826491443e-7,6.674762914762376e-8,1.6582357773412662e-7,7.997958916540675,0.9999995231904569,7.170904640655706e-9,0.0,0.0,0.0,0.0,7.990615757200529,0.0,0.0,4.798923784045929,3.155594633038408e-7,4.4550215586509475e-7,4.943621545137167e-7,1.8269331592015878,0.0,0.0,0.0,9.979999894168419,0.0,2.7818632177804128e-8,6.743128977537316e-8,2.999999957603542,0.0,0.0,0.0,0.0,1.1371462537339227e-7,1.0644569622931535e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.7507167848755671,9.807677294333696e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.7407236292171295,9.756774977343787e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,33.04112141244092,0.0,0.0,6.660166641973469e-7,6.391997828458238e-8,1.6144796127792262e-7,7.997958898556133,0.999999523332008,7.169650542706718e-9,0.0,0.0,0.0,0.0,7.9906157572004926,0.0,0.0,4.798923776788477,3.0610580977893295e-7,4.4291564525328956e-7,4.805862974317769e-7,1.826933159199408,0.0,0.0,0.0,9.979999894168367,0.0,2.718306709389325e-8,6.493723847180657e-8,2.999999954580471,0.0,0.0,0.0,0.0,1.1348992042881015e-7,1.0535921712846095e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.7507167845832636,9.705189940560871e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.740723628924826,9.654291997902735e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,33.041121412440944,0.0,0.0,6.575243695643638e-7,6.081937697244573e-8,1.567330021118484e-7,7.9979588768746686,0.999999523436449,7.167783802843001e-9,0.0,0.0,0.0,0.0,7.99061575720052,0.0,0.0,4.798923769530949,2.9538405670763524e-7,4.4037682539040336e-7,4.6558929494820543e-7,1.8269331591961668,0.0,0.0,0.0,9.979999894168408,0.0,2.6411466749452062e-8,6.220248465696902e-8,2.999999950924204,0.0,0.0,0.0,0.0,1.1324402030946326e-7,1.0423383647485998e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.7507167842709708,9.598530068398195e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.740723628612533,9.547637036077116e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,33.04112141244095,0.0,0.0,6.493206239730404e-7,5.756563214286656e-8,1.5158192265811553e-7,7.997958849904128,0.9999995236236315,7.16528742854957e-9,0.0,0.0,0.0,0.0,7.990615757200525,0.0,0.0,4.79892376227321,2.842875138687479e-7,4.3788316067604805e-7,4.4902959806442846e-7,1.8269331591918363,0.0,0.0,0.0,9.979999894168415,0.0,2.56127762308313e-8,5.930031187062057e-8,2.999999946345951,0.0,0.0,0.0,0.0,1.1297342470085808e-7,1.0306507477985833e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.7507167839332658,9.487216405849374e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.7407236282748277,9.436328852831669e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,33.041121412440944,0.0,0.0,6.412766977757087e-7,5.377678908502574e-8,1.4585841646314092e-7,7.997958814907148,0.9999995237196743,7.162140931260224e-9,0.0,0.0,0.0,0.0,7.990615757200526,0.0,0.0,4.798923755014912,2.7109449505819855e-7,4.3543221501766717e-7,4.3039537233618477e-7,1.8269331591863822,0.0,0.0,0.0,9.979999894168415,0.0,2.460917391786951e-8,5.59683793337162e-8,2.9999999403223128,0.0,0.0,0.0,0.0,1.1266871826789454e-7,1.0184790834720842e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.7507167835640427,9.370704612676053e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.7407236279056046,9.319823149563867e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,33.04112141536509,0.0,0.0,6.33488150527225e-7,4.9532750897457564e-8,1.3935786388467364e-7,7.997958766351064,0.9999995238893907,7.158318818380564e-9,0.0,0.0,0.0,0.0,7.9906157599915355,0.0,0.0,4.79892374775606,2.5672863608840634e-7,4.330216483642726e-7,4.088608191560173e-7,1.8269331591797628,0.0,0.0,0.0,9.97999989788195,0.0,2.3513965848896195e-8,5.226590962525109e-8,2.9999999317108292,0.0,0.0,0.0,0.0,1.1232469739564641e-7,1.0057667426305375e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.7507167831562904,9.248374953379941e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.7407236274978524,9.19750024364508e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,33.04112141704748,0.0,0.0,6.2070148991462e-7,4.2998467318196925e-8,1.314579913869495e-7,7.997958680395576,0.9999995240284522,7.153682120003027e-9,0.0,0.0,0.0,0.0,7.990615761729407,0.0,0.0,4.798923734348087,2.3745527655131072e-7,4.306267121858977e-7,3.813433025984526e-7,1.826933159171691,0.0,0.0,0.0,9.979999900160827,0.0,2.2009648270490122e-8,4.659869390934093e-8,2.9999999147804526,0.0,0.0,0.0,0.0,1.1190020305398515e-7,9.921859387854922e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.7507167826656298,9.116962117423876e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.7407236270071917,9.06609500281179e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,1.1667092873027703e-5,0.0,0.0,2.1478054934422322e-8,2.5837676921573983e-8,1.208744914075658e-7,7.9979582409937136,0.9999995241788117,7.148593845514111e-9,0.0,0.0,0.0,0.0,1.330564648028017e-5,0.0,0.0,1.198774929931621e-7,2.1177435683617356e-7,4.282249978397308e-7,3.39022012187655e-7,1.8269331591628468,0.0,0.0,0.0,1.740261346645949e-5,0.0,2.008023092300981e-8,2.6973768323364535e-8,4.0830542329339046e-7,0.0,0.0,0.0,0.0,1.1142362380077187e-7,9.773753917463976e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.7507167821277376,8.97282936755489e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.7407236264692996,8.921970945007255e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
