Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37214.21286520096,0.0025137011172446096,0.0,436030.9605304949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3253524236489228,0.0,0.004180339801103561,0.0,0.0,0.0,0.0,0.0,0.0025326789033242683,0.0,14633.064439596435,0.0,0.0,0.0,0.0,0.0,257963.0179166159,2.227052138386204e6,2.426334408816741e6,0.0,0.0,0.0,0.0,0.0,734726.9822321505,6.8143800130010685e6,-0.0006458623652849494,0.0,0.0,0.0,0.0,0.0,0.004609213847368079,0.0017668911965939653,0.0,0.0,0.0,1.2948335138497459e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3683361868864772e-7,1.7047144945658843e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7044718403618625e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7047169231787507e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3683466299218026e-7,0.0,2.368354401482975e-7,0.0,0.0,0.0,0.0,0.0,2.3683477401448272e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2435486744541433e-7,0.0,0.0,0.0,0.0,1.6830836890996723e-6
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3683377481376056e-7,1.704713800676494e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7044727565126983e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.704717478290263e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.368347462589071e-7,0.0,2.368354401482975e-7,0.0,0.0,0.0,0.0,0.0,2.368349405479364e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.249495523637786e-7,0.0,0.0,0.0,0.0,1.6836788576806256e-6
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.368338442026996e-7,1.7047118924806703e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.704534304501626e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7047180334017753e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3683482952563395e-7,0.0,2.368354401482975e-7,0.0,0.0,0.0,0.0,0.0,2.3683499605908764e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2596332914736213e-7,0.0,0.0,0.0,0.0,1.6846988621214879e-6
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3683379909988922e-7,1.7047121700364265e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7044581577304457e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.704717478290263e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3683477401448272e-7,0.0,2.368354401482975e-7,0.0,0.0,0.0,0.0,0.0,2.368349405479364e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2142002487095428e-7,0.0,0.0,0.0,0.0,1.6801477592872737e-6
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3683378175265446e-7,1.7047120312585484e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7043747674045512e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7047172007345068e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.368347462589071e-7,0.0,2.368354401482975e-7,0.0,0.0,0.0,0.0,0.0,2.3683488503678518e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1974207952294227e-7,0.0,0.0,0.0,0.0,1.6784613326593472e-6
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.368337782832075e-7,1.704711996564079e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7044107260538038e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.704717478290263e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3683480177005833e-7,0.0,2.368354401482975e-7,0.0,0.0,0.0,0.0,0.0,2.3683488503678518e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2398194380520395e-7,0.0,0.0,0.0,0.0,1.6827048691343671e-6
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2936753538149723e-7,1.6656819673555034e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6654674644608902e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6656903634171272e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2936838539600046e-7,0.0,2.2936941235229824e-7,0.0,0.0,0.0,0.0,0.0,2.2936857968502977e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1832279987129337e-7,0.0,0.0,0.0,0.0,1.6354806922094711e-6
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.229759536731546e-7,1.631713167360438e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6315363285650947e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6317225348672082e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2297670654314317e-7,0.0,2.2297719226571644e-7,0.0,0.0,0.0,0.0,0.0,2.2297697022111151e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1169942185493795e-7,0.0,0.0,0.0,0.0,1.5931034476373378e-6
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.881436418600394,6.083576663262757e-7,0.0,25.944567475796376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.081562532213314e-7,0.0,6.261515673505761e-7,0.0,0.0,0.0,0.0,0.0,6.083665238243441e-7,0.0,2.35646,0.0,0.0,0.0,0.0,0.0,25.561348194611476,29.68986188954592,30.47623530334942,0.0,0.0,0.0,0.0,0.0,28.183806309250436,0.0,-2.633013186726152e-7,0.0,0.0,0.0,0.0,0.0,2.3767555297050065e-6,1.6539170230478157e-7,0.0,0.0,0.0,157.09372032103195
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.16176924509952,6.083587921618117e-7,0.0,146.74295256334176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.067243673478972e-7,0.0,1.2279053871334332e-6,0.0,0.0,0.0,0.0,0.0,6.083721720839819e-7,0.0,4.95246,0.0,0.0,0.0,0.0,0.0,36.951301492417926,724.3646665717783,1242.0815765268446,0.0,0.0,0.0,0.0,0.0,123.779462168055,881.9752542688608,-2.2329518971626367e-7,0.0,0.0,0.0,0.0,0.0,7.214493455658517e-7,5.406336877929815e-7,0.0,0.0,0.0,3174.0094469265464
