Segment,1,2,3,4,Total
Zone,1,1,1,1,0
AnnualSum,4.106483073874473e-5,100.10937180690735,21051.671825965037,3352.074980839341,24503.856219676116
t1,5.604957866153111e-9,6.244150297636314e-9,1.0392055367787492e-8,3.0955120556739444e-8,5.319628408831636e-8
t2,5.604957772359266e-9,6.2441501785474185e-9,1.0392055034491422e-8,3.095511709490789e-8,5.3196280080305995e-8
t3,5.6049577282946535e-9,6.244150122464525e-9,1.0392054877366992e-8,3.0955115451783295e-8,5.3196278179909465e-8
t4,5.604957756288153e-9,6.244150156661807e-9,1.0392054971526173e-8,3.0955116165842485e-8,5.3196279050318616e-8
t5,5.604957769298947e-9,6.244150173333212e-9,1.0392055018482913e-8,3.0955116686345515e-8,5.319627964746059e-8
t6,5.604957771441048e-9,6.244150178239091e-9,1.0392055034985133e-8,3.095511727999426e-8,5.319628026465953e-8
t7,5.609278988358578e-9,6.2495136567847415e-9,1.0406919550566313e-8,3.1087382643956906e-8,5.335309483966654e-8
t8,5.613213926864514e-9,6.254398508367343e-9,1.0420472361177353e-8,3.1208632522818103e-8,5.3496717319227314e-8
t9,5.475377648860369e-9,6.083752954150402e-9,9.955232751126184e-9,2.7376887562999978e-8,4.889125091713693e-8
t10,5.47537702401921e-9,6.083752184623839e-9,9.955230693513277e-9,2.7376872417491392e-8,4.8891232319647714e-8
t11,5.475377021011262e-9,6.0837521817274095e-9,9.95523068685716e-9,2.7376872513183173e-8,4.889123240277901e-8
t12,5.475377016853963e-9,6.083752176487468e-9,9.955230672832175e-9,2.7376872409086893e-8,4.88912322752605e-8
t13,5.4753770189875385e-9,6.08375217876506e-9,9.95523067839337e-9,2.7376872387583887e-8,4.8891232263729854e-8
t14,5.475377055746985e-9,6.083752224006931e-9,9.955230798853603e-9,2.737687321187076e-8,4.889123329047828e-8
t15,5.475377356465632e-9,6.0837525952491186e-9,9.95523179249185e-9,2.7376880668815805e-8,4.8891242413022406e-8
t16,5.564775486755071e-9,6.194321246151598e-9,1.025476419740845e-8,2.976799558288317e-8,5.178185651319829e-8
t17,5.604957924318656e-9,6.244150385242042e-9,1.0392055628575923e-8,3.095512569837408e-8,5.31962896365107e-8
t18,5.7475338808340076e-9,6.421614271580453e-9,1.0893062752049472e-8,3.5869267347018616e-8,5.893147825148255e-8
t19,5.675348127988116e-9,6.331636008598319e-9,1.063665419892971e-8,3.3231423548198354e-8,5.58750618837145e-8
t20,5.675347862201524e-9,6.331635676437374e-9,1.0636653259601341e-8,3.3231414121128194e-8,5.5875050919368434e-8
t21,5.613220146748146e-9,6.254406244877758e-9,1.0420493876039647e-8,3.120882805082341e-8,5.3496948318488957e-8
t22,5.613213979494137e-9,6.254398582214389e-9,1.0420472573745847e-8,3.120863519134939e-8,5.349672032680376e-8
t23,5.613210962652292e-9,6.254394830889056e-9,1.0420462152283923e-8,3.120854063864349e-8,5.349660858446876e-8
t24,5.606606859620442e-9,6.246196909920713e-9,1.0397725409225906e-8,3.100548372628277e-8,5.3256012905049835e-8
t25,5.60660674396669e-9,6.2461967604366974e-9,1.0397724987602804e-8,3.10054789099042e-8,5.325600740191039e-8
t26,5.604957815784161e-9,6.244150225960535e-9,1.039205515599831e-8,3.095511652798633e-8,5.319627972572934e-8
t27,5.604957784193281e-9,6.244150185337641e-9,1.0392055041681994e-8,3.095511528833091e-8,5.319627829954383e-8
t28,5.604957817770966e-9,6.244150227151972e-9,1.0392055157748019e-8,3.0955116326224475e-8,5.3196279528895434e-8
t29,5.604957781178969e-9,6.244150184178276e-9,1.039205504194832e-8,3.095511584509029e-8,5.3196278852395855e-8
t30,5.60495779783236e-9,6.244150212236232e-9,1.0392055129071445e-8,3.0955118067223763e-8,5.31962812063638e-8
t31,5.606606769696284e-9,6.2461968090699444e-9,1.0397725143241968e-8,3.100548358875719e-8,5.3256012310765385e-8
t32,5.613213915003771e-9,6.254398505861732e-9,1.0420472365256927e-8,3.1208634137332834e-8,5.3496718923455266e-8
t33,5.604958497383547e-9,6.244151097951453e-9,1.0392057604092155e-8,3.0955143321323667e-8,5.319631052075082e-8
t34,5.604957691954282e-9,6.244150097532893e-9,1.0392054832245797e-8,3.0955118934991945e-8,5.319628155672492e-8
t35,5.584794420667585e-9,6.2191359993413596e-9,1.0322953429946047e-8,3.034995652936343e-8,5.2476840379318416e-8
t36,5.584794371531489e-9,6.219135938204465e-9,1.0322953261344464e-8,3.034995506410361e-8,5.2476838635184034e-8
t37,5.584794614057087e-9,6.219136238331721e-9,1.0322954087577866e-8,3.034996207297882e-8,5.24768470129455e-8
t38,5.584794583364695e-9,6.219136199905261e-9,1.0322953981233123e-8,3.034996108028607e-8,5.247684584478915e-8
t39,5.584794468057813e-9,6.219136056164889e-9,1.0322953584252993e-8,3.0349957524664185e-8,5.247684163313988e-8
t40,5.584794646887993e-9,6.219136278081557e-9,1.0322954195849742e-8,3.0349962798681645e-8,5.247684791950093e-8
t41,5.613214052072954e-9,6.254398677021002e-9,1.0420472844307189e-8,3.1208639170886196e-8,5.349672474428734e-8
t42,5.613214532352205e-9,6.254399277356808e-9,1.0420474516574874e-8,3.120865492869313e-8,5.349674325497702e-8
t43,5.613214104327196e-9,6.2543987455519924e-9,1.0420473039178412e-8,3.120864157652714e-8,5.3496727465584744e-8
t44,5.6132139320647225e-9,6.254398529596641e-9,1.0420472436668154e-8,3.120863578802088e-8,5.3496720686350396e-8
t45,5.6132135784751224e-9,6.254398087462869e-9,1.0420471204993608e-8,3.120862415206092e-8,5.349670702299252e-8
t46,5.604958053903119e-9,6.244150542065079e-9,1.0392056058520324e-8,3.0955128818632187e-8,5.319629347312071e-8
t47,5.604957542621738e-9,6.2441498994945175e-9,1.0392054268583527e-8,3.095511155081462e-8,5.31962732615144e-8
t48,5.604954141780019e-9,6.244145670632177e-9,1.0392042545854282e-8,3.095500606526653e-8,5.3196148423533013e-8
t49,5.584794781803853e-9,6.219136420073658e-9,1.032295455616823e-8,3.034996112865075e-8,5.247684688669649e-8
t50,5.584794624217692e-9,6.219136220397166e-9,1.0322954000694173e-8,3.034995551092324e-8,5.247684035623227e-8
t51,5.584794496379405e-9,6.2191360597464935e-9,1.0322953555539741e-8,3.0349951259588505e-8,5.247683537125414e-8
t52,5.5847945511632805e-9,6.219136127107204e-9,1.0322953740509982e-8,3.03499527311045e-8,5.2476837149884967e-8
t53,5.584794685200499e-9,6.219136295855673e-9,1.0322954208805359e-8,3.0349957264938956e-8,5.247684245480049e-8
t54,5.58479716600878e-9,6.2191393800470445e-9,1.0322962719742853e-8,3.0350032389671274e-8,5.247693165546995e-8
t55,5.61321385484545e-9,6.254398418553107e-9,1.0420472111340183e-8,3.1208630249120264e-8,5.3496714633859e-8
t56,5.6569572485045305e-9,6.308754382345813e-9,1.05722373704417e-8,3.2610645164532665e-8,5.514859416582471e-8
t57,5.528100791018942e-9,6.148912970530066e-9,1.01309082024929e-8,2.874776811621767e-8,5.055569008025958e-8
t58,5.475377018538995e-9,6.083752176489964e-9,9.95523067064191e-9,2.7376872026622576e-8,4.8891231892293446e-8
t59,5.475377013161803e-9,6.0837521697764745e-9,9.955230653034632e-9,2.737687192177866e-8,4.8891231757751573e-8
t60,5.4753770110207494e-9,6.083752166672039e-9,9.955230644452567e-9,2.7376871817022546e-8,4.88912316391679e-8
t61,5.475377010281406e-9,6.083752164899868e-9,9.955230638801601e-9,2.7376871652898663e-8,4.889123146688154e-8
t62,5.475377010424019e-9,6.083752164648459e-9,9.955230637564364e-9,2.737687156345235e-8,4.8891231376089195e-8
t63,5.475377011775525e-9,6.08375216566912e-9,9.955230639324295e-9,2.7376871455146295e-8,4.889123127191523e-8
t64,5.475377018711177e-9,6.083752174685997e-9,9.955230663424017e-9,2.7376871636442633e-8,4.889123149326382e-8
t65,5.564939307039791e-9,6.1945242413417665e-9,1.0255320760200687e-8,2.9772693911535005e-8,5.178747822011725e-8
t66,5.64555585256422e-9,6.294577588993604e-9,1.0532485022500522e-8,3.223537651239034e-8,5.4707994976448683e-8
t67,5.61321761198338e-9,6.254403097026231e-9,1.0420485131774562e-8,3.120874992971099e-8,5.349685577049516e-8
t68,5.6132174079134295e-9,6.254402841946917e-9,1.042048441995724e-8,3.120874316588311e-8,5.34968478357007e-8
t69,5.613216627389538e-9,6.254401869954438e-9,1.0420481713623547e-8,3.120871819846048e-8,5.349681840942801e-8
t70,5.6132138825435715e-9,6.254398456827314e-9,1.0420472221971499e-8,3.120863177959562e-8,5.349671634093801e-8
t71,5.613213911301102e-9,6.2543984852449505e-9,1.0420472292005897e-8,3.1208630953952883e-8,5.349671564250483e-8
t72,5.60495776705832e-9,6.244150167883561e-9,1.03920550003122e-8,3.095511593312762e-8,5.31962788683817e-8
t73,5.584794776881809e-9,6.219136411937089e-9,1.032295453188269e-8,3.03499604291349e-8,5.2476846149836487e-8
t74,5.584794530221326e-9,6.219136102686415e-9,1.0322953675364704e-8,3.034995240455881e-8,5.247683671283126e-8
t75,5.584794435182893e-9,6.2191359833370674e-9,1.0322953344681818e-8,3.0349949268632956e-8,5.247683303183473e-8
t76,5.584794273867708e-9,6.21913578335163e-9,1.0322952793801938e-8,3.034994454119113e-8,5.24768273922124e-8
t77,5.584794330947408e-9,6.219135856975667e-9,1.0322953000338086e-8,3.034994689734782e-8,5.2476830085608984e-8
t78,5.58479458444118e-9,6.219136179530278e-9,1.0322953899555165e-8,3.0349956277929526e-8,5.2476840941456146e-8
t79,5.606061908648574e-9,6.245520546715534e-9,1.0395851315554094e-8,3.098882700528094e-8,5.3236260776199147e-8
t80,5.939984448386661e-9,6.6628010130482606e-9,1.1605709538219096e-8,4.496010914171377e-8,6.916860414136778e-8
t81,5.4753786771618206e-9,6.083754226206892e-9,9.95523616093063e-9,2.7376913677238936e-8,4.889128274153828e-8
t82,5.475377119231153e-9,6.083752302799771e-9,9.955231010561829e-9,2.7376874855329467e-8,4.8891235287922225e-8
t83,5.475377030894474e-9,6.08375219383092e-9,9.955230719260859e-9,2.737687271977895e-8,4.88912326637652e-8
t84,5.475377022768868e-9,6.0837521834740246e-9,9.95523069130881e-9,2.7376872486459525e-8,4.8891232384011226e-8
t85,5.475377027510387e-9,6.083752188747357e-9,9.95523070462489e-9,2.7376872485177782e-8,4.8891232406060414e-8
t86,5.475377023842611e-9,6.0837521837958425e-9,9.955230690846808e-9,2.7376872323885292e-8,4.889123222237055e-8
t87,5.475377016976703e-9,6.083752174351797e-9,9.955230664522524e-9,2.7376872002408793e-8,4.8891231858259815e-8
t88,5.47537709425532e-9,6.083752270185457e-9,9.95523092074636e-9,2.7376873900444344e-8,4.889123418563148e-8
t89,5.578101904164921e-9,6.21083794609417e-9,1.0300111020825247e-8,3.0153353231745894e-8,5.224240410283023e-8
t90,5.635404513030983e-9,6.281960660943484e-9,1.0497207393236537e-8,3.190718209084937e-8,5.4321754658060376e-8
t91,5.617575648998079e-9,6.259814101032956e-9,1.0435514201417858e-8,3.134394446944318e-8,5.365684842089207e-8
t92,5.617575562967848e-9,6.259813992398225e-9,1.0435513896969252e-8,3.1343941404842875e-8,5.36568448571782e-8
t93,5.617575002409906e-9,6.259813293465409e-9,1.0435511949032555e-8,3.134392329384015e-8,5.3656823538748015e-8
t94,5.61321443060963e-9,6.254399142608328e-9,1.0420474130044196e-8,3.120864902710333e-8,5.349673673036548e-8
t95,5.613213890378047e-9,6.2543984640636625e-9,1.0420472234678424e-8,3.120863057864046e-8,5.34967151677606e-8
t96,5.6066068365593264e-9,6.246196878390248e-9,1.0397725317071296e-8,3.100548223406242e-8,5.325601126608329e-8
t97,5.606606783612695e-9,6.2461968061908985e-9,1.0397725109116136e-8,3.100547921585066e-8,5.3256007914770387e-8
t98,5.604958195243602e-9,6.244150693475682e-9,1.039205644560297e-8,3.0955127119102645e-8,5.31962924534249e-8
t99,5.604957856226577e-9,6.244150270932761e-9,1.0392055272860332e-8,3.0955116404463664e-8,5.3196279804483334e-8
t100,5.6049578328740826e-9,6.244150241712575e-9,1.039205519170678e-8,3.095511567679123e-8,5.319627894308467e-8
t101,5.604957844579285e-9,6.2441502591397025e-9,1.0392055243631998e-8,3.095511671292801e-8,5.319628006027899e-8
t102,5.606606787312566e-9,6.246196816238035e-9,1.0397725143725548e-8,3.100548064426111e-8,5.325600939153726e-8
t103,5.6132139811349855e-9,6.25439858052191e-9,1.0420472562889202e-8,3.120863433189534e-8,5.3496719456441444e-8
t104,5.617574496090208e-9,6.2598126607409445e-9,1.0435510183097859e-8,3.134390679281862e-8,5.365680413274763e-8
t105,5.604957858987233e-9,6.244150302578801e-9,1.0392055395985169e-8,3.0955123120252154e-8,5.3196286677803355e-8
t106,5.578100583812896e-9,6.210836308774722e-9,1.0300106520233753e-8,3.015331476099589e-8,5.224235817381726e-8
t107,5.578101250065238e-9,6.210837134322886e-9,1.0300108788498108e-8,3.015333407246317e-8,5.2242381245349404e-8
t108,5.578101418992318e-9,6.210837343203875e-9,1.0300109361583628e-8,3.015333885742178e-8,5.22423869812016e-8
t109,5.578101549409236e-9,6.210837504326428e-9,1.0300109803355122e-8,3.015334249765128e-8,5.224239135474207e-8
t110,5.5781021405524045e-9,6.210838236754552e-9,1.0300111815969571e-8,3.015335944516179e-8,5.224241163843832e-8
t111,5.584794811059617e-9,6.219136478229841e-9,1.0322954741789935e-8,3.034996669924401e-8,5.24768527303234e-8
t112,5.604957871287481e-9,6.244150316783598e-9,1.0392055433841042e-8,3.0955123236352974e-8,5.3196286858265094e-8
t113,5.606607174724783e-9,6.246197320490414e-9,1.0397726568054957e-8,3.1005497205087225e-8,5.325602826835738e-8
t114,5.8956097979599336e-9,6.607020382886442e-9,1.1437509943600267e-8,4.2536746201448374e-8,6.647688632589502e-8
t115,5.6132170294204876e-9,6.254402381324178e-9,1.0420483159823557e-8,3.120873280070292e-8,5.349683537127114e-8
t116,5.6132166205096e-9,6.2544018715853815e-9,1.0420481738252691e-8,3.120871956427836e-8,5.349681979462603e-8
t117,5.61321401409689e-9,6.25439863165518e-9,1.0420472716744758e-8,3.12086373068063e-8,5.3496722669303124e-8
t118,5.60660923554082e-9,6.246199873255732e-9,1.0397733637497494e-8,3.100555926196476e-8,5.3256102008258806e-8
t119,5.606606719589859e-9,6.246196740190548e-9,1.0397724942830229e-8,3.100548055496448e-8,5.3256008957575114e-8
t120,5.604957763501115e-9,6.244150165829081e-9,1.0392054994313352e-8,3.095511636725691e-8,5.319627929090046e-8
t121,5.584795805641511e-9,6.219137690023281e-9,1.032295805400543e-8,3.0349991361825255e-8,5.247688291149548e-8
t122,5.584794727377747e-9,6.219136349244687e-9,1.0322954354442817e-8,3.0349958705568675e-8,5.247684413663392e-8
t123,5.584794575191291e-9,6.2191361586507935e-9,1.0322953826946917e-8,3.034995380879824e-8,5.2476838369587244e-8
t124,5.584794619203947e-9,6.219136212559573e-9,1.0322953974679124e-8,3.034995495208067e-8,5.247683975852332e-8
t125,5.584794780469242e-9,6.219136414963585e-9,1.0322954535560635e-8,3.034996025560764e-8,5.24768459866011e-8
