Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,614642.7469516696,1.8235323698729563e6,4.7176596852060305e6,4.515269777799457e6,0.0826986153860085,0.040398034043899106,372055.3539374437,5255.991696534282,0.06244258880878938,225585.7871338061,193296.26151157852,0.0,870723.5343898695,156639.58982917303,153494.70483201477,80026.78832347911,1.463564660400491e7,0.04868442905922699,327932.9026367956,0.21127423936040415,1.4366605992073543e7,7892.222817219211,0.0,0.0048962916967762804,145112.49471448784,1.556464422991991e6,0.03107551407733066,2.6708350197756565e6,998348.507228608,1.5939522045752928e6,0.0,3695.3610447442325,0.0,0.2776435130379447,0.0399027516571659,421943.6999879214,0.0,1.87948632219713e6,4.1746434732517614e6,1.7120474967900414e7,0.0,4.803749805162444e6,0.06161104010202339,424238.3235182542,0.0,2.0228072053506756e6,3.902565803819434e7,0.0006458623652849494,0.0,4.774520269057262e6,0.06148479471722586,420018.55724781944,0.0,0.018066466746970874,0.00026901186871413095,703233.5283225286,200185.03863521875,95429.10952971411,1.2610105760279593e8
t1,106.06199946787024,166.97690173265383,3.810770977144328e-6,0.0001695382063309867,1.0134373770435783e-5,3.965121075624935e-6,62.70399724583464,0.5999994275670417,8.636389431561537e-6,29.999999763053125,62.052479829441936,0.0,0.0,27.247999464103586,14.86170511837862,3.810465136184432e-6,1725.2910842941121,3.1293958855741196e-6,3.511248328171496e-6,7.2577748228694324e-6,1975.7368647214098,0.7123998295528159,0.0,0.0,24.949999470837948,202.68948497264614,2.1631496429789604e-6,1.8453225196803257e-5,163.49999699821007,345.36099982947053,0.0,0.0,0.0,5.5679844727023004e-5,3.967162355607067e-6,3.8113469725472087e-6,0.0,267.0772118059268,0.0,4969.999999764,0.0,875.3583910239341,3.6426872869613546e-6,3.8113471021551415e-6,0.0,501.0148096193102,0.0,0.0,0.0,870.3618131947153,3.627415032602779e-6,3.811345611456497e-6,0.0,4.252698196255059e-6,0.0,25.928494572536056,7.8570777392827225,3.7745305166416756,12430.118557415457
t2,106.06199946786982,214.23412239744104,3.8107314181502226e-6,0.00016779056904378203,9.80073879764831e-6,3.883021411426151e-6,62.70399712563901,0.5999994275670417,8.636556684860533e-6,29.999999763052973,42.61733982946913,0.0,0.0,27.24799946410317,17.1083879049723,3.8104292523612975e-6,1418.8340822960865,3.0521734902720394e-6,3.4937935058048905e-6,7.102038131359197e-6,1975.7368647201756,0.7130498295527243,0.0,0.0,24.949999470837533,223.9189621118977,2.1210505166768818e-6,1.799863119715875e-5,163.49999685807998,341.3119398294712,0.0,0.0,0.0,5.557865543134625e-5,3.9359418493886055e-6,3.8113350553724608e-6,0.0,181.66145806447392,0.0,4969.999999764,0.0,875.3583908853204,3.6133591318511026e-6,3.8113351358402905e-6,0.0,462.6229662649651,0.0,0.0,0.0,870.3618130561016,3.598087936957343e-6,3.811310631146163e-6,0.0,4.4772749491013746e-6,0.0,39.04983703752842,11.142523667193894,5.30858684298661,12065.044630215818
t3,106.06199946786964,257.0180781317334,3.810714505458115e-6,0.00016586599677998287,9.441449847754795e-6,3.7953541340028197e-6,62.70399698463954,0.5999994275670417,8.635030990172698e-6,29.9999997630529,28.066499829489636,0.0,0.0,27.247999464102964,19.419619304784586,3.810414393299877e-6,1145.4001951063792,2.97351945741617e-6,3.4766700109725945e-6,6.933479576016458e-6,1975.7368647178182,0.9587498295465694,0.0,0.0,24.949999470837316,218.7103059402557,2.079146505675323e-6,1.745831601555291e-5,163.49999669332178,367.3926498294668,0.0,0.0,0.0,5.5466440343983886e-5,3.903564157261163e-6,3.8113238139443716e-6,0.0,177.0061209086879,0.0,4969.999999764,0.0,875.3583907391657,3.582821139794049e-6,3.8113238427218852e-6,0.0,508.977134406285,0.0,0.0,0.0,870.3618129099467,3.5675511925003554e-6,3.811322825257603e-6,0.0,4.916828897916236e-6,0.0,50.03273132173815,13.663559537584543,6.482221814278927,11899.64923651382
t4,106.06199946786975,293.68110425082307,3.8107249313592094e-6,0.00016398238602895562,9.04513643035441e-6,3.700757541041248e-6,62.70399681465729,0.5999994275670417,8.632720268804926e-6,29.999999763052948,30.472199829486247,0.0,0.0,27.247999464103106,21.86842276152257,3.8104233621359363e-6,1237.4129745200382,2.8839938833890107e-6,3.459865536802174e-6,6.749553820440712e-6,1975.7368647143132,0.6714498295541842,0.0,0.0,24.94999947083747,209.51985473292228,2.0280860654193307e-6,1.6861544635088094e-5,163.49999649405578,217.81560982949185,0.0,0.0,0.0,5.534363701157191e-5,3.870025687665993e-6,3.8113658346964046e-6,0.0,174.42836020765364,0.0,4969.999999764,0.0,875.3583905830212,3.5510389108981004e-6,3.811365833150902e-6,0.0,443.5129545051151,0.0,0.0,0.0,870.3618127538022,3.5357704802632555e-6,3.8113415403692964e-6,0.0,3.3978985175407337e-6,0.0,39.373902313582015,15.64555512163122,7.463697978656256,11798.38745069539
t5,106.06199946786981,324.3059979848264,3.8107291630382903e-6,0.00016224274008076506,8.628441890332625e-6,3.597237828910558e-6,62.70399660320844,0.5999994275670417,8.629633812253446e-6,29.999999763052966,30.151439829486712,0.0,0.0,27.247999464103145,25.011095480788157,3.810426796526606e-6,1328.5124813287362,2.7913305606233105e-6,3.443362498913589e-6,6.545887699828404e-6,1975.7368647096298,0.5037498295625232,0.0,0.0,24.949999470837508,217.9948933419157,1.9752720504049876e-6,1.6232863387150145e-5,163.49999624454114,237.70363982948854,0.0,0.0,0.0,5.5208497457010816e-5,3.835191289922935e-6,3.8113779756086646e-6,0.0,178.6006467703502,0.0,4969.999999764,0.0,875.3583904141695,3.5178674500403206e-6,3.8113779509137625e-6,0.0,352.3088483181602,0.0,0.0,0.0,870.3618125849506,3.5026006705163414e-6,3.8113536749262237e-6,0.0,3.0410982793377207e-6,0.0,57.78738651483392,10.89600687392231,5.190750242049735,11875.488296505338
t6,106.06199946786981,349.72358103995657,3.8107297511639236e-6,0.00016508375972167633,8.154543790546575e-6,3.48204116191132e-6,62.703996328832154,0.5999994275670417,8.625910298734421e-6,29.99999976305297,30.13685982948673,0.0,0.0,27.24799946410315,28.65880191276318,3.8104270595029012e-6,1475.8290460878936,2.6818076915671114e-6,3.427146962041647e-6,6.31624108687675e-6,1975.7368647037317,0.5648498295589274,0.0,0.0,24.949999470837515,244.60668570876345,1.909112291984113e-6,1.561609720460539e-5,163.4999959162529,319.2802898294749,0.0,0.0,0.0,5.505675941180336e-5,3.7989689492448144e-6,3.811410682587352e-6,0.0,192.929929608644,0.0,4969.999999764,0.0,875.3583902295583,3.483189547083699e-6,3.811410607781569e-6,0.0,383.93731244991017,0.0,0.0,0.0,870.3618124003393,3.467924581557382e-6,3.8113863603572816e-6,0.0,4.122386650920954e-6,0.0,58.8997494112636,18.0769232534119,8.672035554639628,12217.837425733165
t7,106.06199948664286,368.68483178273107,8.001783846229967e-6,0.0002858757924843365,7.860401847867533e-6,3.4003439463015613e-6,62.70399602368429,0.5999994275670417,8.627333356670155e-6,29.99999977051921,21.082679833402374,0.0,0.0,27.247999483138138,32.753245406227514,8.000469667998018e-6,2092.762649883181,2.586542041439874e-6,3.4469355388600247e-6,6.246609187017461e-6,1975.736864708328,0.7507498334532535,0.0,0.0,24.949999489405435,271.5577893323385,1.8478836674654368e-6,1.6787832059504962e-5,163.49999553217228,322.852989833377,0.0,0.0,0.0,5.5057949730568256e-5,3.840566227562204e-6,8.004977794563863e-6,0.0,129.7309703075931,0.0,4794.603352051437,0.0,875.3583902986876,3.511171438352619e-6,8.004976616928937e-6,0.0,442.5692670215514,0.0,0.0,0.0,870.3618124694685,3.495908574179652e-6,8.004861034300012e-6,0.0,4.528266955172988e-6,0.0,7.27512057415199e-6,7.273847319243375e-6,7.272019878027933e-6,12613.870050926498
t8,106.06199949539356,313.65725005815636,1172.2477180550518,0.00018836942951549234,6.959918905077752e-6,3.288199709580072e-6,62.70399540680195,0.5999994275670417,8.512096540845116e-6,29.99999977691079,16.898219836805097,0.0,0.0,27.247999492200503,27.134152685404967,14.407902267063303,1339.3681109177346,2.426703795618305e-6,3.4682653708823752e-6,6.1148743513414884e-6,1975.7368645469628,0.8625498368463671,0.0,0.0,24.949999498630856,244.34956671953367,1.7484229801476308e-6,1.6127078043078425e-5,163.4999946670866,280.8142198367808,0.0,0.0,0.0,4.631610670169052e-5,3.8866129349320885e-6,398.24269082806177,0.0,107.13630073620439,0.0,4273.545689337741,0.0,735.3010479160023,3.5408285967195647e-6,400.99439403537656,0.0,389.405567782903,0.0,0.0,0.0,731.1039225394583,3.5255679169913037e-6,396.39956080425924,0.0,4.180813291747196e-6,0.0,3.8104739304520342e-6,3.8099022569808932e-6,3.8090730427604115e-6,13232.670026399304
