BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.1903832287202495e8,6.063887054283512e6,-7.89327427862571e6,998847.676487462,-998847.676487462,24503.856178611266,4.10648307387447e-5,0.0,0.0,-1.172334395054945e8
t1,12392.55843553172,1.9055275799487604e-5,-8.968734197672205e-6,103.00165677275795,-37.56010282846045,4.759132622216325e-8,5.604957866153111e-9,0.0,0.0,-12458.0
t2,12009.543663612969,1.9055141492870432e-5,-8.968763795066671e-6,95.95727341091984,-55.50094754770892,4.759132230794673e-8,5.604957772359266e-9,0.0,0.0,-12050.0
t3,11829.470704785119,1.9055099380681852e-5,-8.968773684397008e-6,92.70779736471358,-70.17851267360162,4.7591320451614815e-8,5.6049577282946535e-9,0.0,0.0,-11852.0
t4,11735.904276226302,1.9055221501711747e-5,-8.968741795044162e-6,93.57886866364507,-62.48315541386949,4.7591321294030466e-8,5.604957756288153e-9,0.0,0.0,-11767.0
t5,11801.61413381927,1.9055265561013548e-5,-8.968730449506683e-6,117.2599992875569,-73.87414363080596,4.759132187816163e-8,5.604957769298947e-9,0.0,0.0,-11845.0
t6,12132.188698458487,1.9055364461393024e-5,-8.9687052786094e-6,120.4599992367295,-85.64870821931514,4.7591322493218486e-8,5.604957771441048e-9,0.0,0.0,-12167.0
t7,12613.869989088444,4.001706896002079e-5,-7.098583148734099e-6,126.12999938232788,-2.1820987771423298e-5,4.774381585130797e-8,5.609278988358578e-9,0.0,0.0,-12740.0
t8,10850.377748980043,2382.292265989813,-3.241015413695597e-6,132.32999939685268,-1.142944923019334e-5,4.7883503392362805e-8,5.613213926864514e-9,0.0,0.0,-13365.0
t9,16198.558829318517,1.3462224040365307e-6,-1932.614970203642,117.40648828720768,-190.35034931358416,4.341587326827656e-8,5.475377648860369e-9,0.0,0.0,-14193.0
t10,17366.557670504786,0.00010064609330417986,-2571.155596644531,109.78767511423754,-201.18984994001335,4.341585529562851e-8,5.47537702401921e-9,0.0,0.0,-14704.0
t11,17413.136121750544,0.0001006802685150376,-2453.314213784851,110.49473222362796,-164.31674124131453,4.341585538176775e-8,5.475377021011262e-9,0.0,0.0,-14906.0
