Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,90402.3987343617,0.0,0.0,713.4031121577523,2.0682961903154567e-5,3.9223373829036446e-5,88.22016641616051,0.0019723324357622794,1.9594864480015664e-7,0.0,0.0,0.0,0.0,22498.12864130785,0.0,0.0,507.59269169131863,0.0001804537284042845,34.5579146334328,0.0001357181410804528,3.583571993144236e-7,0.0,0.0,0.0,27933.907275878555,0.0,1.6056943531124887e-5,125.0433726423456,373.81055034364294,0.0,0.0,0.0,0.0,3.837136258343893e-6,1.2790389028401976e-5,0.0,0.0,0.0,0.0,0.0,0.0,14.982721612837516,1.358709007794624e-5,0.0,0.0,0.0,0.0,0.0,0.0,14.886388351249488,1.3587871362966687e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142706.93397822123
t1,14.463975691940211,0.0,0.0,9.504603293252616e-9,3.1162306832867573e-9,6.3644969993388324e-9,2.813753143129088e-8,2.2007739684676235e-7,1.9904456145559283e-11,0.0,0.0,0.0,0.0,3.6486173982816466,0.0,0.0,7.508579018518606e-9,1.632947412887757e-8,4.756418983071305e-9,1.5848160046174925e-8,2.815321262781271e-11,0.0,0.0,0.0,4.469767839850668,0.0,1.5701934103050967e-9,2.4552813545068446e-9,4.298193114290636e-9,0.0,0.0,0.0,0.0,4.256671252812632e-10,2.0646041566432043e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.966089695701649e-10,2.0061808499779028e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.9660908926203e-10,2.006154428412119e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.582361257582967
t2,14.463545774310887,0.0,0.0,9.263175241135557e-9,3.2640598766416267e-9,6.546642607683063e-9,2.9696701211636474e-8,2.2008905940018427e-7,2.0158147609709147e-11,0.0,0.0,0.0,0.0,3.648426901389697,0.0,0.0,7.508650309983473e-9,1.690632920401661e-8,4.711737660196589e-9,1.6607295685758585e-8,2.8600387089040743e-11,0.0,0.0,0.0,4.469502346270407,0.0,1.625169452640303e-9,2.6105442271650535e-9,4.573397707517888e-9,0.0,0.0,0.0,0.0,4.377475085326793e-10,2.089388842774352e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.083580311380506e-10,2.0324227717723515e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.083581519893295e-10,2.03239223368404e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.58147535303118
t3,14.463578865698562,0.0,0.0,8.91999523154445e-9,3.2978064189161754e-9,6.7801973295917216e-9,3.193084795678057e-8,2.2009847352532153e-7,2.0424230343679073e-11,0.0,0.0,0.0,0.0,3.648399873500558,0.0,0.0,7.508664292791847e-9,1.6766046238641214e-8,4.669545720840565e-9,1.7539347121706952e-8,2.906607372414401e-11,0.0,0.0,0.0,4.469471724223642,0.0,1.6018344204756089e-9,2.694244655371252e-9,4.964952340147494e-9,0.0,0.0,0.0,0.0,4.5173231877424597e-10,2.1172583416142726e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.235457310384842e-10,2.0619244146835432e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.235458010296481e-10,2.0618895206895524e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.581450797984104
t4,14.46356141940226,0.0,0.0,8.721256173084573e-9,3.559917015451623e-9,7.080996311255157e-9,3.514115911665923e-8,2.201172296266938e-7,2.0702367553778185e-11,0.0,0.0,0.0,0.0,3.648409284350908,0.0,0.0,7.50867167418715e-9,1.775412065460137e-8,4.629730982649405e-9,1.8708171277055315e-8,2.955547363629475e-11,0.0,0.0,0.0,4.469496142170115,0.0,1.6904355868818316e-9,2.9328053033494157e-9,5.529701110576079e-9,0.0,0.0,0.0,0.0,4.716391286887447e-10,2.148614089307901e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.427034509694727e-10,2.095135450264501e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.427035062752956e-10,2.0950958982688366e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.58146718724363
t5,14.463550606373376,0.0,0.0,8.430248480574739e-9,3.7043527378777285e-9,7.47314802657478e-9,3.988962107184761e-8,2.2007558363827732e-7,2.0995615797022532e-11,0.0,0.0,0.0,0.0,3.6484239733353143,0.0,0.0,7.508679544210769e-9,1.7978880578223782e-8,4.592180225851585e-9,2.021392038458168e-8,3.0074470766936856e-11,0.0,0.0,0.0,4.469475540697253,0.0,1.6963652627122208e-9,3.0985463850167787e-9,6.376846229159077e-9,0.0,0.0,0.0,0.0,4.944073403760616e-10,2.18389617016976e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.663935064556906e-10,2.1325609211824757e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.663935676699866e-10,2.132516334025319e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.581450469571553
t6,14.463552922098398,0.0,0.0,8.267869776903254e-9,4.226489324305459e-9,7.995706020019954e-9,4.733415181177658e-8,2.2012120095887992e-7,2.1307508122319813e-11,0.0,0.0,0.0,0.0,3.6484246463917667,0.0,0.0,7.508698111266318e-9,1.9739462724128768e-8,4.556789522450443e-9,2.2226189639589844e-8,3.0629751033823325e-11,0.0,0.0,0.0,4.469527851135605,0.0,1.8463543515055259e-9,3.5258626035720716e-9,7.742577993494611e-9,0.0,0.0,0.0,0.0,5.252119937094566e-10,2.2236368238850732e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.954186788574947e-10,2.1748170243481705e-9,0.0,0.0,0.0,0.0,0.0,0.0,5.954187070011025e-10,2.174766937591561e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.581505783058326
t7,14.46361818336372,0.0,0.0,8.009947572155936e-9,4.671346593221368e-9,8.716306772754516e-9,6.028173846012407e-8,2.2008440157366243e-7,2.1642672963561293e-11,0.0,0.0,0.0,0.0,3.6484557598227654,0.0,0.0,7.508712139646948e-9,2.0710792536820894e-8,4.523459398469762e-9,2.5057923456692627e-8,3.1228959914790224e-11,0.0,0.0,0.0,4.469521884055643,0.0,1.908883573662636e-9,3.894468239318467e-9,1.0247348834823729e-8,0.0,0.0,0.0,0.0,5.609419495121406e-10,2.2684656349798625e-9,0.0,0.0,0.0,0.0,0.0,0.0,6.308827807758883e-10,2.2226450060459392e-9,0.0,0.0,0.0,0.0,0.0,0.0,6.308827695696894e-10,2.222588843176109e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.581596211446737
t8,14.463413812449291,0.0,0.0,1.3003211095188734e-8,6.943461422832684e-9,1.0038476852605076e-8,9.691873108091837e-8,2.2009960714746666e-7,2.2072551718759016e-11,0.0,0.0,0.0,0.0,3.6484217877170977,0.0,0.0,1.3653623740117372e-8,2.520312286058532e-8,4.510517491009597e-9,3.094345112722185e-8,3.2032700480753675e-11,0.0,0.0,0.0,4.469474278685041,0.0,2.2542542402097887e-9,5.855227894028294e-9,1.846301139077035e-8,0.0,0.0,0.0,0.0,6.33982930658215e-10,2.3414886343007356e-9,0.0,0.0,0.0,0.0,0.0,0.0,7.070236741664984e-10,2.298480573297271e-9,0.0,0.0,0.0,0.0,0.0,0.0,7.070236161248255e-10,2.2984164100659535e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.581310335778646
