Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,90402.3987343617,0.0,0.0,713.4031121577517,2.0682961903154594e-5,3.9223373829036344e-5,88.22016641616038,0.0019723324357622763,1.9423805792868136e-7,0.0,0.0,0.0,0.0,22498.12864130788,0.0,0.0,507.59269169131863,0.00018045372840428455,34.55791463343275,0.00013571814108045304,3.5757772257044053e-7,0.0,0.0,0.0,27933.907275878548,0.0,1.6056943531124864e-5,125.04337264234559,373.8105503436434,0.0,0.0,0.0,0.0,3.83114933111977e-6,1.2790389028401962e-5,0.0,0.0,0.0,0.0,0.0,0.0,14.98272161283754,1.3587090077946213e-5,0.0,0.0,0.0,0.0,0.0,0.0,14.886388351249503,1.3587871362966679e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142706.93397821276
t1,14.46397570326446,0.0,0.0,2.3102365412936135e-10,4.780492294915357e-10,2.4667412762478653e-9,1.4705202507574405e-8,2.2026116819210545e-7,1.982996841859535e-11,0.0,0.0,0.0,0.0,3.6486174091035024,0.0,0.0,2.5022255805205947e-10,7.55282592666376e-9,2.066488601136102e-9,3.85612629904164e-9,2.8033280778253767e-11,0.0,0.0,0.0,4.469767854218154,0.0,1.0052666827311989e-9,2.021844740785913e-10,2.0527535998947416e-9,0.0,0.0,0.0,0.0,2.2565725005180992e-10,1.0442627803783733e-9,0.0,0.0,0.0,0.0,0.0,0.0,2.3007789614232748e-10,1.0523441759585586e-9,0.0,0.0,0.0,0.0,0.0,0.0,2.3007788883548115e-10,1.0523514776140455e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.58236122559681
t2,14.463545774310823,0.0,0.0,2.3116308998025579e-10,4.731220902482077e-10,2.438050234129932e-9,1.4365829838479601e-8,2.202493049106681e-7,1.9502645986819284e-11,0.0,0.0,0.0,0.0,3.6484269013896298,0.0,0.0,2.507241257042022e-10,7.368319170295125e-9,2.074892025767862e-9,3.811676579208211e-9,2.7459440585742765e-11,0.0,0.0,0.0,4.469502346270314,0.0,9.721930084671186e-10,2.009775264050246e-10,2.0022378012509296e-9,0.0,0.0,0.0,0.0,2.2672876170477104e-10,1.0377828327903247e-9,0.0,0.0,0.0,0.0,0.0,0.0,2.3114374278947138e-10,1.0449798725494822e-9,0.0,0.0,0.0,0.0,0.0,0.0,2.3114371076467406e-10,1.0449879718991045e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.581475280272986
t3,14.463578865698532,0.0,0.0,2.3137677974697032e-10,4.701555558747891e-10,2.4045808733877314e-9,1.3946306270613669e-8,2.2024002467279896e-7,1.9170132394691606e-11,0.0,0.0,0.0,0.0,3.6483998735005216,0.0,0.0,2.512125968613282e-10,7.3123927137333876e-9,2.0830351090354344e-9,3.763490039767156e-9,2.6886314624443277e-11,0.0,0.0,0.0,4.46947172422359,0.0,9.66269336564729e-10,2.0019335180466921e-10,1.9418811867160024e-9,0.0,0.0,0.0,0.0,2.2702737419212258e-10,1.0307792407598505e-9,0.0,0.0,0.0,0.0,0.0,0.0,2.312423081832596e-10,1.0370508769553029e-9,0.0,0.0,0.0,0.0,0.0,0.0,2.3124226497751573e-10,1.0370597262789863e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.581450721074017
t4,14.46356141940228,0.0,0.0,2.289615401015099e-10,4.593157033149752e-10,2.3660371451809026e-9,1.3459694025446595e-8,2.202216706131473e-7,1.8835627690061208e-11,0.0,0.0,0.0,0.0,3.6484092843509357,0.0,0.0,2.511426791316761e-10,7.0323675833036425e-9,2.090911119763162e-9,3.711168793483862e-9,2.6314355638866313e-11,0.0,0.0,0.0,4.469496142170155,0.0,9.188352424406476e-10,1.9805148851186705e-10,1.87343428191404e-9,0.0,0.0,0.0,0.0,2.2573900934187936e-10,1.0232334357069182e-9,0.0,0.0,0.0,0.0,0.0,0.0,2.3041053880911612e-10,1.0285367286377464e-9,0.0,0.0,0.0,0.0,0.0,0.0,2.304105042564879e-10,1.0285462800126467e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.581467102546988
t5,14.463550606373387,0.0,0.0,2.265028892512811e-10,4.506079082985543e-10,2.32206857284192e-9,1.29190811916609e-8,2.202627661205726e-7,1.8499241503592264e-11,0.0,0.0,0.0,0.0,3.64842397333532,0.0,0.0,2.509410871405773e-10,6.882337739336449e-9,2.098515511496318e-9,3.654223500804682e-9,2.574398494759164e-11,0.0,0.0,0.0,4.469475540697261,0.0,8.976747440914557e-10,1.9637359866831382e-10,1.7985926586137898e-9,0.0,0.0,0.0,0.0,2.2381173177088314e-10,1.0151344751681083e-9,0.0,0.0,0.0,0.0,0.0,0.0,2.286884403349458e-10,1.0194242956942663e-9,0.0,0.0,0.0,0.0,0.0,0.0,2.2868839966393686e-10,1.0194345015708274e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.581450376145074
t6,14.46355292209839,0.0,0.0,2.2394357957161027e-10,4.376462664646361e-10,2.272199825045357e-9,1.2337171093878628e-8,2.202172436860926e-7,1.8161010832974173e-11,0.0,0.0,0.0,0.0,3.6484246463917676,0.0,0.0,2.5040019377841804e-10,6.546443913579425e-9,2.105843864069596e-9,3.591963911346204e-9,2.51756158021527e-11,0.0,0.0,0.0,4.469527851135606,0.0,8.427520385437393e-10,1.9393006666771453e-10,1.718939927183112e-9,0.0,0.0,0.0,0.0,2.2050556074591394e-10,1.0064703912351668e-9,0.0,0.0,0.0,0.0,0.0,0.0,2.2619581744094893e-10,1.0096990926149638e-9,0.0,0.0,0.0,0.0,0.0,0.0,2.2619578399525524e-10,1.0097099049135453e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.581505674106353
t7,14.463618186287862,0.0,0.0,2.2140032367224389e-10,4.2730840565319586e-10,2.2157541942871884e-9,1.1725654868426401e-8,2.202541180206349e-7,1.782056008390139e-11,0.0,0.0,0.0,0.0,3.6484557626137746,0.0,0.0,2.4986006135160843e-10,6.344933567028667e-9,2.1128927450751968e-9,3.5233702765251065e-9,2.460966629146906e-11,0.0,0.0,0.0,4.469521887769176,0.0,8.136755046893211e-10,1.9199853085335948e-10,1.635865667004027e-9,0.0,0.0,0.0,0.0,2.1692107726400222e-10,9.972315508251982e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.2313042216036094e-10,9.99348413084803e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.231303965380067e-10,9.993597839882575e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.581596090089196
t8,14.463413814131682,0.0,0.0,2.1655048258358267e-10,4.091778435720446e-10,2.138604354880963e-9,1.0963242673735436e-8,2.2023866856723703e-7,1.7435853341221228e-11,0.0,0.0,0.0,0.0,3.648421789454969,0.0,0.0,2.456504449436851e-10,5.9297633234897e-9,2.1155813126347465e-9,3.4259345696571827e-9,2.3960923793626345e-11,0.0,0.0,0.0,4.469474280963919,0.0,7.499366618037173e-10,1.880121781181376e-10,1.53263456050168e-9,0.0,0.0,0.0,0.0,2.0948858899697053e-10,9.834082497961987e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.1636295079848393e-10,9.843522137366171e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.1636293517883307e-10,9.84364001733047e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.58131013634006
