Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,569.5269575282922,189482.00704324586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86336713905503,3278.386037944615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.80999557005964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.8725083866121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.86349013372705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.86910618656617,0.0,0.0,0.0,46.66580086250375,12.726274310261003,6.049485413176844
t2,0.0,613.9225031940146,189482.00703985363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.27003899724679,3278.3860345527005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0323772213215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.8725062802662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.8634880273811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.86910408025284,0.0,0.0,0.0,75.13030427863525,20.834431660252477,9.93315051026478
t3,0.0,615.534093125445,189482.00703646147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.36547945562704,3278.386031160805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.46341504422935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.87250417393653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.86348592105145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.86910197392444,0.0,0.0,0.0,90.25528235216325,25.81775577400057,12.354133014100643
t4,0.0,580.4826569377864,189482.00703306927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0121164572695,3278.3860277688977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.084904074473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.8725020675501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.86348381466513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.8690998675703,0.0,0.0,0.0,116.68714677485514,28.972940974244832,13.862796640940061
t5,0.0,514.8063270161244,189482.00702967707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.51608073964577,3278.386024376986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.23135449573743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.8724999611474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.8634817082624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.8690977611997,0.0,0.0,0.0,141.36976004510652,41.626933847621004,19.912046154063468
t6,0.0,423.7124140393324,189482.00702628487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.37233859004467,3278.386020985074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.7660125501612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.87249785470146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.8634796018166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.86909565478595,0.0,0.0,0.0,167.19001034588908,47.740010358118376,22.79001036019789
t7,0.0,313.657250319765,189482.00701791403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.134152946968186,3278.386012615724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.349566981009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.872490715014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.8634724621304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.8690885152287,0.0,0.0,0.0,255.90000291676097,73.0700028571665,34.88000285161801
t8,0.0,258.6296660604226,188128.37224033175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.515057750406616,3261.7487128486014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.14134174733513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1314947111079083e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1315434472468504e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1314953297693814e-6,0.0,0.0,0.0,348.95999896091115,99.64999881246128,47.56999881957651
t9,0.0,245.87497940846325,189659.4619715593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.267361116846672,3288.5938460760567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.31786566917575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.75958249597883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.50808297546464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.657190083377905,0.0,0.0,0.0,318.7497665724455,79.47750991983737,25.008859074289667
