Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,-42.53048366463162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.53048328901364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.04449893179455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.044498930654946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.04449893371403,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,-42.53048366463667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.53048328873389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.0444988957916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.04449889473803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.044498925258026,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,-42.53048366464173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.530483288454086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.0444988873669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.04449888636061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.0444988892312,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,0.0,-42.53048366464678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.53048328817423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.04449885136112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.044498850440846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.04449888077357,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,0.0,-42.53048366465184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.5304832878943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.044498842934566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.044498842061564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.04449887231502,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0,0.0,-42.5304836646569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.530483287614324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.04449880692534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.04449880613836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.044498836283644,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0,0.0,-42.53048366466196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.53048328733428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.04449879849479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.04449879775505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.044498827821386,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,-42.53048366466656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.530483287039495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.046460219367777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.047733244784638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.04618382491654,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,-42.530483664668786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.53048328667634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304378378133758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304380598587148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304381630581577,0.0,0.0,0.0,0.0,0.0,0.0
t10,0.0,0.0,-42.53048366467421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.53048328648774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304358156868617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304357591393284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630435954356183,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,-42.5304836646829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.53048328647639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304355325960285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304354859438952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304352828457133,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,-42.53048366469491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.53048328664521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304352271826011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630435181450139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304352205725098,0.0,0.0,0.0,0.0,0.0,0.0
