Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,2.7483294140933327e7,2.7483294140933327e7
t1,0.0,0.0,0.0,1418.053708125613,1418.053708125613
t2,0.0,0.0,0.0,8572.374924584374,8572.374924584374
t3,0.0,0.0,0.0,8572.374924584374,8572.374924584374
t4,0.0,0.0,0.0,8572.374924584374,8572.374924584374
t5,0.0,0.0,0.0,8572.374924584374,8572.374924584374
t6,0.0,0.0,0.0,-0.0,0.0
t7,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,662.567888499317,662.567888499317
t9,0.0,0.0,0.0,7327.120217642653,7327.120217642653
t10,0.0,0.0,0.0,4616.3643814571515,4616.3643814571515
t11,0.0,0.0,0.0,6611.778169049655,6611.778169049655
t12,0.0,0.0,0.0,7617.698056470483,7617.698056470483
t13,0.0,0.0,0.0,7218.046465310066,7218.046465310066
t14,0.0,0.0,0.0,6847.615070269619,6847.615070269619
t15,0.0,0.0,0.0,5526.31692517656,5526.31692517656
t16,0.0,0.0,0.0,3007.8740075964283,3007.8740075964283
t17,0.0,0.0,0.0,-0.0,0.0
t18,0.0,0.0,0.0,-0.0,0.0
t19,0.0,0.0,0.0,7703.880447560126,7703.880447560126
t20,0.0,0.0,0.0,8572.374924584374,8572.374924584374
t21,0.0,0.0,0.0,8572.374924584374,8572.374924584374
t22,0.0,0.0,0.0,-0.0,0.0
t23,0.0,0.0,0.0,-0.0,0.0
t24,0.0,0.0,0.0,-0.0,0.0
t25,0.0,0.0,0.0,6865.139762125519,6865.139762125519
t26,0.0,0.0,0.0,8572.374924584374,8572.374924584374
t27,0.0,0.0,0.0,5335.950539375797,5335.950539375797
t28,0.0,0.0,0.0,-0.0,0.0
t29,0.0,0.0,0.0,-0.0,0.0
t30,0.0,0.0,0.0,8572.374924584374,8572.374924584374
t31,0.0,0.0,0.0,2314.2349488764,2314.2349488764
t32,0.0,0.0,0.0,5616.088303395148,5616.088303395148
t33,0.0,0.0,0.0,7677.0899644086085,7677.0899644086085
t34,0.0,0.0,0.0,8572.374924584374,8572.374924584374
t35,0.0,0.0,0.0,8572.374924584374,8572.374924584374
t36,0.0,0.0,0.0,5675.620632678832,5675.620632678832
t37,0.0,0.0,0.0,5772.709429469212,5772.709429469212
t38,0.0,0.0,0.0,5380.428916921351,5380.428916921351
t39,0.0,0.0,0.0,4642.750717387551,4642.750717387551
t40,0.0,0.0,0.0,2058.196414015667,2058.196414015667
t41,0.0,0.0,0.0,7227.305020759433,7227.305020759433
t42,0.0,0.0,0.0,174.23125145755483,174.23125145755483
t43,0.0,0.0,0.0,6607.898996502177,6607.898996502177
t44,0.0,0.0,0.0,-0.0,0.0
t45,0.0,0.0,0.0,-0.0,0.0
t46,0.0,0.0,0.0,8572.374924584374,8572.374924584374
t47,0.0,0.0,0.0,8572.374924584374,8572.374924584374
t48,0.0,0.0,0.0,8572.374924584374,8572.374924584374
t49,0.0,0.0,0.0,4642.750717387551,4642.750717387551
t50,0.0,0.0,0.0,4642.750717387551,4642.750717387551
t51,0.0,0.0,0.0,4642.750717387551,4642.750717387551
t52,0.0,0.0,0.0,-0.0,0.0
t53,0.0,0.0,0.0,-0.0,0.0
t54,0.0,0.0,0.0,906.8678611385836,906.8678611385836
t55,0.0,0.0,0.0,5421.883533077446,5421.883533077446
t56,0.0,0.0,0.0,1953.9951462816916,1953.9951462816916
t57,0.0,0.0,0.0,5918.113131900869,5918.113131900869
t58,0.0,0.0,0.0,3563.283969743478,3563.283969743478
t59,0.0,0.0,0.0,6508.837548849575,6508.837548849575
t60,0.0,0.0,0.0,5722.90264390584,5722.90264390584
t61,0.0,0.0,0.0,8572.374924584374,8572.374924584374
t62,0.0,0.0,0.0,8572.374924584374,8572.374924584374
t63,0.0,0.0,0.0,8572.374924584374,8572.374924584374
t64,0.0,0.0,0.0,1983.6661176214943,1983.6661176214943
t65,0.0,0.0,0.0,3758.31278202823,3758.31278202823
t66,0.0,0.0,0.0,8186.273252512926,8186.273252512926
t67,0.0,0.0,0.0,-0.0,0.0
t68,0.0,0.0,0.0,1426.253020381455,1426.253020381455
t69,0.0,0.0,0.0,8572.374924584374,8572.374924584374
t70,0.0,0.0,0.0,8572.374924584374,8572.374924584374
t71,0.0,0.0,0.0,0.0,0.0
t72,0.0,0.0,0.0,-0.0,0.0
t73,0.0,0.0,0.0,8572.374924584374,8572.374924584374
t74,0.0,0.0,0.0,8572.374924584374,8572.374924584374
t75,0.0,0.0,0.0,6069.003737769006,6069.003737769006
t76,0.0,0.0,0.0,3717.074670969005,3717.074670969005
t77,0.0,0.0,0.0,-0.0,0.0
t78,0.0,0.0,0.0,-0.0,0.0
