Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,0.0,386360.43831983046,4.185732397682814e7,0.0,4.2243684415147975e7
t1,0.0,0.0,20185.171913220285,0.0,20185.171913220285
t2,0.0,0.0,6137.058785787083,0.0,6137.058785787083
t3,0.0,0.0,7328.096262168899,0.0,7328.096262168899
t4,0.0,0.0,7317.010720870265,0.0,7317.010720870265
t5,0.0,0.0,3382.6398697774493,0.0,3382.6398697774493
t6,0.0,0.0,16716.940603513107,0.0,16716.940603513107
t7,0.0,0.0,14220.987469592863,0.0,14220.987469592863
t8,0.0,0.0,14000.179934360274,0.0,14000.179934360274
t9,0.0,0.0,0.0,0.0,0.0
t10,0.0,0.0,215.049611644306,0.0,215.049611644306
t11,0.0,0.0,-1.3877787807814457e-14,0.0,-1.3877787807814457e-14
t12,0.0,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0
t14,0.0,0.0,221.9814931531573,0.0,221.9814931531573
t15,0.0,0.0,2902.9610770866816,0.0,2902.9610770866816
t16,0.0,0.0,5808.9654381823,0.0,5808.9654381823
t17,0.0,0.0,1121.5072701551617,0.0,1121.5072701551617
t18,0.0,0.0,10355.373880738109,0.0,10355.373880738109
t19,0.0,0.0,5942.365256826119,0.0,5942.365256826119
t20,0.0,0.0,3995.941675735331,0.0,3995.941675735331
t21,0.0,0.0,5377.276124252244,0.0,5377.276124252244
t22,0.0,0.0,22547.969957052224,0.0,22547.969957052224
t23,0.0,0.0,21149.445882558743,0.0,21149.445882558743
t24,0.0,0.0,16857.134153770432,0.0,16857.134153770432
t25,0.0,0.0,1.7763568394002505e-12,0.0,1.7763568394002505e-12
t26,0.0,0.0,575.4175004276583,0.0,575.4175004276583
t27,0.0,0.0,6952.6849157576025,0.0,6952.6849157576025
t28,0.0,0.0,25698.505931011296,0.0,25698.505931011296
t29,0.0,0.0,23851.00215511548,0.0,23851.00215511548
t30,0.0,0.0,5244.957784350124,0.0,5244.957784350124
t31,0.0,0.0,10134.221579201454,0.0,10134.221579201454
t32,0.0,0.0,0.0,0.0,0.0
t33,0.0,0.0,2071.7867665016297,0.0,2071.7867665016297
t34,0.0,0.0,9860.109367168508,0.0,9860.109367168508
t35,0.0,0.0,19147.95471536703,0.0,19147.95471536703
t36,0.0,0.0,28395.28811446153,0.0,28395.28811446153
t37,0.0,0.0,28545.004141269037,0.0,28545.004141269037
t38,0.0,0.0,28371.66055747696,0.0,28371.66055747696
t39,0.0,0.0,27896.631312830174,0.0,27896.631312830174
t40,0.0,0.0,27389.7954890167,0.0,27389.7954890167
t41,0.0,0.0,9657.444263154932,0.0,9657.444263154932
t42,0.0,0.0,14800.62917382653,0.0,14800.62917382653
t43,0.0,0.0,0.0,0.0,0.0
t44,0.0,0.0,8377.782427969341,0.0,8377.782427969341
t45,0.0,0.0,17132.190549249026,0.0,17132.190549249026
t46,0.0,0.0,3752.2677828291007,0.0,3752.2677828291007
t47,0.0,0.0,2247.062334834439,0.0,2247.062334834439
t48,0.0,0.0,2679.2248028354848,0.0,2679.2248028354848
t49,0.0,0.0,12371.450392257802,0.0,12371.450392257802
t50,0.0,0.0,7563.048255966138,0.0,7563.048255966138
t51,0.0,0.0,2754.9906810928633,0.0,2754.9906810928633
t52,0.0,0.0,15204.118557391612,0.0,15204.118557391612
t53,0.0,0.0,15571.369906845366,0.0,15571.369906845366
t54,0.0,0.0,14838.444473415317,0.0,14838.444473415317
t55,0.0,0.0,0.0,0.0,0.0
t56,0.0,0.0,0.0,0.0,0.0
t57,0.0,0.0,0.0,0.0,0.0
t58,0.0,0.0,24321.984321842603,0.0,24321.984321842603
t59,0.0,0.0,24321.577263783623,0.0,24321.577263783623
t60,0.0,0.0,28104.558305030652,0.0,28104.558305030652
t61,0.0,0.0,23474.372591079737,0.0,23474.372591079737
t62,0.0,0.0,22224.529796373135,0.0,22224.529796373135
t63,0.0,0.0,20629.164709640536,0.0,20629.164709640536
t64,0.0,0.0,28386.615001151647,0.0,28386.615001151647
t65,0.0,0.0,12708.533268374798,0.0,12708.533268374798
t66,0.0,0.0,-3.552713678800501e-12,0.0,-3.552713678800501e-12
t67,0.0,0.0,18961.832168740886,0.0,18961.832168740886
t68,0.0,0.0,11614.731025347655,0.0,11614.731025347655
t69,0.0,0.0,1887.8531437768943,0.0,1887.8531437768943
t70,0.0,0.0,2748.282715715671,0.0,2748.282715715671
t71,0.0,0.0,22052.68541530094,0.0,22052.68541530094
t72,0.0,0.0,23023.610349959705,0.0,23023.610349959705
t73,0.0,0.0,7195.6967763838975,0.0,7195.6967763838975
t74,0.0,0.0,7390.542336362064,0.0,7390.542336362064
t75,0.0,0.0,10286.179670037267,0.0,10286.179670037267
t76,0.0,0.0,14610.177708008616,0.0,14610.177708008616
t77,0.0,0.0,21721.26832287195,0.0,21721.26832287195
t78,0.0,0.0,17363.482433968657,0.0,17363.482433968657
t79,0.0,0.0,14391.961767161427,0.0,14391.961767161427
t80,0.0,0.0,3.552713678800501e-12,0.0,3.552713678800501e-12
t81,0.0,0.0,-3.552713678800501e-12,0.0,-3.552713678800501e-12
t82,0.0,0.0,9412.638362311924,0.0,9412.638362311924
t83,0.0,0.0,8950.299547901775,0.0,8950.299547901775
t84,0.0,0.0,-4.440892098500626e-13,0.0,-4.440892098500626e-13
t85,0.0,0.0,1176.7920969430618,0.0,1176.7920969430618
t86,0.0,0.0,645.7805891788641,0.0,645.7805891788641
t87,0.0,0.0,0.0,0.0,0.0
t88,0.0,0.0,0.0,0.0,0.0
t89,0.0,0.0,0.0,0.0,0.0
t90,0.0,0.0,0.0,0.0,0.0
t91,0.0,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,0.0,0.0
t93,0.0,0.0,0.0,0.0,0.0
t94,0.0,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,0.0,0.0
t96,0.0,0.0,0.0,0.0,0.0
t97,0.0,0.0,0.0,0.0,0.0
t98,0.0,0.0,1.7763568394002505e-12,0.0,1.7763568394002505e-12
t99,0.0,0.0,0.0,0.0,0.0
t100,0.0,0.0,0.0,0.0,0.0
t101,0.0,0.0,0.0,0.0,0.0
t102,0.0,0.0,0.0,0.0,0.0
t103,0.0,0.0,-8.881784197001252e-13,0.0,-8.881784197001252e-13
t104,0.0,0.0,0.0,0.0,0.0
t105,0.0,0.0,-1.7763568394002505e-12,0.0,-1.7763568394002505e-12
t106,0.0,0.0,0.0,0.0,0.0
t107,0.0,0.0,0.0,0.0,0.0
t108,0.0,0.0,0.0,0.0,0.0
t109,0.0,0.0,-8.881784197001252e-13,0.0,-8.881784197001252e-13
t110,0.0,0.0,311.0734365549828,0.0,311.0734365549828
t111,0.0,0.0,11815.899720798447,0.0,11815.899720798447
t112,0.0,0.0,15221.776243986093,0.0,15221.776243986093
t113,0.0,0.0,0.0,0.0,0.0
t114,0.0,0.0,0.0,0.0,0.0
t115,0.0,0.0,1593.1027090577743,0.0,1593.1027090577743
t116,0.0,0.0,0.0,0.0,0.0
t117,0.0,0.0,0.0,0.0,0.0
t118,0.0,0.0,-4.440892098500626e-13,0.0,-4.440892098500626e-13
t119,0.0,0.0,0.0,0.0,0.0
t120,0.0,0.0,0.0,0.0,0.0
t121,0.0,0.0,-1.7763568394002505e-12,0.0,-1.7763568394002505e-12
t122,0.0,0.0,0.0,0.0,0.0
t123,0.0,0.0,0.0,0.0,0.0
t124,0.0,0.0,-4.440892098500626e-13,0.0,-4.440892098500626e-13
t125,0.0,0.0,8.881784197001252e-13,0.0,8.881784197001252e-13
t126,0.0,0.0,8.881784197001252e-13,0.0,8.881784197001252e-13
t127,0.0,0.0,0.0,0.0,0.0
t128,0.0,0.0,0.0,0.0,0.0
t129,0.0,0.0,0.0,0.0,0.0
t130,0.0,0.0,-1.7763568394002505e-12,0.0,-1.7763568394002505e-12
t131,0.0,0.0,0.0,0.0,0.0
t132,0.0,0.0,4006.134519606582,0.0,4006.134519606582
t133,0.0,0.0,68.82967656881078,0.0,68.82967656881078
t134,0.0,0.0,0.0,0.0,0.0
t135,0.0,0.0,-8.881784197001252e-13,0.0,-8.881784197001252e-13
t136,0.0,0.0,0.0,0.0,0.0
t137,0.0,0.0,0.0,0.0,0.0
t138,0.0,0.0,0.0,0.0,0.0
t139,0.0,0.0,0.0,0.0,0.0
t140,0.0,0.0,0.0,0.0,0.0
t141,0.0,0.0,0.0,0.0,0.0
t142,0.0,0.0,0.0,0.0,0.0
t143,0.0,0.0,0.0,0.0,0.0
t144,0.0,0.0,1.7763568394002505e-12,0.0,1.7763568394002505e-12
t145,0.0,0.0,0.0,0.0,0.0
t146,0.0,0.0,1.7763568394002505e-12,0.0,1.7763568394002505e-12
t147,0.0,0.0,0.0,0.0,0.0
t148,0.0,0.0,0.0,0.0,0.0
t149,0.0,0.0,0.0,0.0,0.0
t150,0.0,0.0,-4.440892098500626e-13,0.0,-4.440892098500626e-13
t151,0.0,0.0,0.0,0.0,0.0
t152,0.0,0.0,0.0,0.0,0.0
t153,0.0,0.0,0.0,0.0,0.0
t154,0.0,0.0,0.0,0.0,0.0
t155,0.0,0.0,3367.7330994269355,0.0,3367.7330994269355
t156,0.0,0.0,5163.118697263391,0.0,5163.118697263391
t157,0.0,0.0,3493.932072075231,0.0,3493.932072075231
t158,0.0,0.0,7909.941169758835,0.0,7909.941169758835
t159,0.0,0.0,10276.162262047159,0.0,10276.162262047159
t160,0.0,0.0,11675.52678862285,0.0,11675.52678862285
t161,0.0,0.0,5041.845374176898,0.0,5041.845374176898
t162,0.0,0.0,13528.79646764384,0.0,13528.79646764384
t163,0.0,0.0,20503.468380316484,0.0,20503.468380316484
t164,0.0,0.0,2890.540079841042,0.0,2890.540079841042
t165,0.0,0.0,22094.09528377203,0.0,22094.09528377203
t166,0.0,0.0,3682.028754779978,0.0,3682.028754779978
t167,0.0,0.0,5460.012168871462,0.0,5460.012168871462
t168,0.0,0.0,24027.40250427288,0.0,24027.40250427288
t169,0.0,0.0,22102.035976861174,0.0,22102.035976861174
t170,0.0,0.0,5740.176370780262,0.0,5740.176370780262
t171,0.0,0.0,4675.471429451878,0.0,4675.471429451878
t172,0.0,0.0,19585.609868667907,0.0,19585.609868667907
t173,0.0,0.0,3628.0470294127945,0.0,3628.0470294127945
t174,0.0,0.0,17755.332066966388,0.0,17755.332066966388
t175,0.0,0.0,15850.421675664249,0.0,15850.421675664249
t176,0.0,0.0,18482.7419485276,0.0,18482.7419485276
t177,0.0,0.0,16150.69197165336,0.0,16150.69197165336
t178,0.0,0.0,5286.93501924525,0.0,5286.93501924525
t179,0.0,0.0,5777.980349256705,0.0,5777.980349256705
t180,0.0,246.08360229356663,7826.638239690972,0.0,8072.7218419845385
t181,0.0,548.5881386824083,11024.416458447318,0.0,11573.004597129726
t182,0.0,3559.353331627502,16536.180744086065,0.0,20095.534075713567
t183,0.0,9808.64810126539,11522.654638846914,0.0,21331.302740112304
t184,0.0,0.0,8941.967790173341,0.0,8941.967790173341
t185,0.0,0.0,4062.3554461379526,0.0,4062.3554461379526
t186,0.0,0.0,0.0,0.0,0.0
t187,0.0,0.0,1.7763568394002505e-12,0.0,1.7763568394002505e-12
t188,0.0,0.0,0.0,0.0,0.0
t189,0.0,0.0,-8.881784197001252e-13,0.0,-8.881784197001252e-13
t190,0.0,0.0,782.2098219470686,0.0,782.2098219470686
t191,0.0,0.0,0.0,0.0,0.0
t192,0.0,0.0,3924.5045192054667,0.0,3924.5045192054667
t193,0.0,0.0,2484.7010375654113,0.0,2484.7010375654113
t194,0.0,0.0,11622.04698845707,0.0,11622.04698845707
t195,0.0,0.0,18358.776768050633,0.0,18358.776768050633
t196,0.0,0.0,3475.923598718406,0.0,3475.923598718406
t197,0.0,0.0,15715.649219347439,0.0,15715.649219347439
t198,0.0,0.0,3.552713678800501e-12,0.0,3.552713678800501e-12
t199,0.0,0.0,0.0,0.0,0.0
t200,0.0,0.0,0.0,0.0,0.0
t201,0.0,0.0,8398.412476148533,0.0,8398.412476148533
t202,0.0,0.0,21208.000485526754,0.0,21208.000485526754
t203,0.0,0.0,26527.957164203846,0.0,26527.957164203846
