Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,1.5409536936665626e7,4.883936857916763e7,5.888155060707125e7,2.3261860160885964e7,1.4639231628379047e8
t1,0.0,-0.0,5425.732491666854,7154.32121645876,12580.053708125615
t2,0.0,-0.0,19128.374924584372,-0.0,19128.374924584372
t3,0.0,-0.0,18677.374924584376,-0.0,18677.374924584376
t4,0.0,-0.0,18450.374924584372,-0.0,18450.374924584372
t5,0.0,-0.0,18415.374924584372,-0.0,18415.374924584372
t6,0.0,-0.0,1444.625075415626,8572.374924584374,10017.0
t7,0.0,-0.0,1817.6250754156272,8572.374924584374,10390.0
t8,0.0,-0.0,3479.7608524142606,7909.807036085056,11389.567888499318
t9,0.0,5191.592186104649,12188.273324596283,1245.2547069417208,18625.120217642652
t10,0.0,12519.35383832993,0.0,3956.0105431272223,16475.36438145715
t11,0.0,16774.183184783316,72.99822873162218,1960.596755534718,18807.77816904966
t12,0.0,18922.02570809586,61.99548026072886,954.676868113891,19938.69805647048
t13,0.0,18116.584761853657,128.13324418210053,1354.3284592743073,19599.046465310064
t14,0.0,17392.855215954864,0.0,1724.7598543147546,19117.615070269618
t15,0.0,14629.258925768747,0.0,3046.0579994078125,17675.316925176558
t16,0.0,9662.373090608484,0.0,5564.500916987945,15226.874007596429
t17,0.0,1873.5256793025205,2964.0993961131057,8572.374924584374,13410.0
t18,0.0,-0.0,5966.625075415626,8572.374924584374,14539.0
t19,0.0,-0.0,21289.38597053588,868.4944770242467,22157.88044756013
t20,0.0,-0.0,22584.374924584376,-0.0,22584.374924584376
t21,0.0,-0.0,22066.374924584372,-0.0,22066.374924584372
t22,0.0,-0.0,4199.625075415627,8572.374924584374,12772.0
t23,0.0,-0.0,3304.625075415627,8572.374924584374,11877.0
t24,0.0,-0.0,2301.625075415627,8572.374924584374,10874.0
t25,0.0,-0.0,15182.904599666665,1707.2351624588541,16890.13976212552
t26,0.0,-0.0,18083.374924584372,-0.0,18083.374924584372
t27,0.0,-0.0,11363.526154167219,3236.4243852085765,14599.950539375795
t28,0.0,-0.0,635.6250754156267,8572.374924584374,9208.0
t29,0.0,-0.0,837.6250754156267,8572.374924584374,9410.0
t30,0.0,-0.0,18496.374924584372,-0.0,18496.374924584372
t31,0.0,-0.0,6752.094973168427,6258.139975707973,13010.2349488764
t32,0.0,-0.0,13988.801682205922,2956.286621189226,16945.088303395147
t33,0.0,4669.222876766406,14217.582127466438,895.2849601757649,19782.08996440861
t34,0.0,9974.627370492235,11496.747554092139,-0.0,21471.374924584372
t35,0.0,14451.244803592028,7603.130120992345,-0.0,22054.374924584372
t36,0.0,16499.866340773293,0.0,2896.7542919055413,19396.620632678834
t37,0.0,16672.04393435405,0.0,2799.6654951151613,19471.70942946921
t38,0.0,15799.482909258328,0.0,3191.946007663023,18991.42891692135
t39,0.0,13648.722121647803,632.4043885429252,3929.6242071968236,18210.750717387553
t40,0.0,9318.017903446958,0.0,6514.178510568707,15832.196414015665
t41,0.0,2927.0190908729414,18021.216026061553,1345.0699038249397,22293.305020759435
t42,0.0,-0.0,8150.087578330736,8398.143673126817,16548.231251457553
t43,0.0,-0.0,20873.423068419983,1964.475928082196,22837.89899650218
t44,0.0,-0.0,7265.625075415625,8572.374924584374,15838.0
t45,0.0,-0.0,6624.625075415625,8572.374924584374,15197.0
t46,0.0,-0.0,22761.374924584372,-0.0,22761.374924584372
t47,0.0,-0.0,21512.374924584372,-0.0,21512.374924584372
t48,0.0,-0.0,20380.374924584372,-0.0,20380.374924584372
t49,0.0,-0.0,11770.126510190728,3929.6242071968236,15699.750717387553
t50,0.0,-0.0,11395.126510190728,3929.6242071968236,15324.750717387553
t51,0.0,-0.0,11215.126510190728,3929.6242071968236,15144.750717387553
t52,0.0,-0.0,1951.6250754156256,8572.374924584374,10524.0
t53,0.0,-0.0,2328.6250754156263,8572.374924584374,10901.0
t54,0.0,-0.0,5262.360797692794,7665.50706344579,12927.867861138584
t55,0.0,-0.0,16274.392141570519,3150.491391506927,19424.883533077445
t56,0.0,-0.0,10448.61536797901,6618.379778302682,17066.99514628169
t57,0.0,6265.513447760922,12299.337891456442,2654.2617926835046,21219.113131900867
t58,0.0,12723.63233918846,1236.5606757141236,5009.090954840895,18969.28396974348
t59,0.0,16887.995492404494,3101.304680710282,2063.5373757347984,22052.837548849573
t60,0.0,18443.430363227308,0.0,2849.4722806785335,21292.90264390584
t61,0.0,18825.722986262554,5253.6519383218165,-0.0,24079.374924584372
t62,0.0,18113.66649755568,5943.708427028692,-0.0,24057.374924584372
t63,0.0,16062.12669607644,7936.248228507935,-0.0,23998.374924584376
t64,0.0,11033.957310658614,0.0,6588.708806962879,17622.66611762149
t65,0.0,4000.9403525292146,11803.310286942873,4814.062142556144,20618.31278202823
t66,0.0,-0.0,25995.171580441478,386.1016720714474,26381.273252512925
t67,0.0,-0.0,9657.625075415626,8572.374924584374,18230.0
t68,0.0,-0.0,12204.131116178538,7146.121904202919,19350.253020381457
t69,0.0,-0.0,25913.374924584376,-0.0,25913.374924584376
t70,0.0,-0.0,24890.374924584376,-0.0,24890.374924584376
t71,0.0,-0.0,6379.625075415626,8572.374924584374,14952.0
t72,0.0,-0.0,5183.625075415627,8572.374924584374,13756.0
t73,0.0,-0.0,21584.374924584376,-0.0,21584.374924584376
t74,0.0,-0.0,21193.374924584376,-0.0,21193.374924584376
t75,0.0,-0.0,15987.632550953638,2503.3711868153687,18491.003737769006
t76,0.0,-0.0,11305.774417353638,4855.300253615368,16161.074670969007
t77,0.0,-0.0,4211.625075415627,8572.374924584374,12784.0
t78,0.0,-0.0,5267.625075415626,8572.374924584374,13840.0
t79,0.0,-0.0,7188.625075415625,8572.374924584374,15761.0
t80,0.0,-0.0,19786.214569844262,2796.580177370055,22582.794747214317
t81,0.0,6644.887806498194,17396.629307428364,679.4289053289084,24720.946019255465
t82,0.0,13138.025869501476,7853.661112117919,2181.843971482491,23173.530953101887
t83,0.0,17643.82594558106,7673.548979003314,-0.0,25317.374924584372
t84,0.0,19817.93284757542,2486.7441546448326,1424.3489611820603,23729.02596340231
t85,-0.0,19634.08219680274,0.0,2641.146363890817,22275.22856069356
t86,-0.0,18916.189179499906,0.0,2930.092872542234,21846.28205204214
t87,395.2165091676303,15408.435493329143,272.3479975032263,-0.0,16076.0
t88,5552.015734316377,9755.75754814381,389.6321211549546,544.5945963848579,16242.0
t89,8057.498789294915,817.1140034341212,180.62408587196873,8322.763121398995,17378.0
t90,8057.498789294915,-0.0,1672.1262861207128,8572.374924584374,18302.0
t91,8057.498789294915,-0.0,6452.3772439897175,3650.123966715368,18160.0
t92,8057.498789294915,-0.0,7929.86098821863,1749.6402224864535,17737.0
t93,5055.8396858045035,-0.0,12002.160314195497,0.0,17058.0
t94,4688.160760975525,-0.0,11247.839239024475,0.0,15936.0
t95,1214.2892657401821,-0.0,13352.459640207355,0.0,14566.748905947537
t96,1214.2892657401821,-0.0,12086.716591491808,0.0,13301.00585723199
t97,2594.6351832055166,-0.0,9381.147412087641,360.21740470684273,12336.0
t98,1214.289265740182,-0.0,15047.834177453122,0.0,16262.123443193304
t99,1214.289265740182,-0.0,10535.116447770633,0.0,11749.405713510816
t100,1214.289265740182,-0.0,12216.277737864193,0.0,13430.567003604376
t101,1214.289265740182,-0.0,12467.428706542078,0.0,13681.71797228226
t102,2444.6170939997814,-0.0,10445.382906000219,0.0,12890.0
t103,2594.6351832055166,-0.0,6566.7630471529255,5585.601769641558,14747.0
t104,2594.6351832055166,-0.0,7340.123739328757,5900.241077465727,15835.000000000002
t105,1869.9356126870007,3014.567019812311,8559.442134274526,2507.0552332261623,15951.0
t106,209.3690954354699,8182.813091533128,7628.817813031404,0.0,16021.0
t107,0.0,12758.651510764206,7100.395354893266,-0.0,19859.046865657474
t108,0.0,17255.696793949854,6031.862797961569,505.4076663364766,23792.9672582479
t109,0.0,15609.795729889696,6139.126102373631,1177.226546160524,22926.14837842385
t110,0.0,14165.254902390086,9862.120022194285,-0.0,24027.374924584372
t111,0.0,11594.264055870584,0.0,6155.555434356895,17749.819490227477
t112,0.0,8603.043150442105,8062.7115297138125,3669.310122214228,20335.064802370147
t113,0.0,2617.6830752871665,22262.17739369077,52.257227803218065,24932.117696781155
t114,-0.0,-0.0,23314.456707495592,1371.459108544391,24685.915816039982
t115,0.0,-0.0,18135.126510190727,3929.6242071968236,22064.75071738755
t116,3063.0672072740003,-0.0,13205.498236927706,757.4345557982931,17026.0
t117,2581.384289134526,-0.0,13808.615710865475,0.0,16390.0
t118,4786.042511365626,-0.0,2799.0134246005923,7754.9440640337825,15340.0
t119,3185.9862452619777,-0.0,10741.013754738022,0.0,13927.0
t120,4786.042511365626,-0.0,4835.4586277923845,3086.4988608419903,12708.0
t121,2303.6405391131398,-0.0,9605.35946088686,0.0,11909.0
t122,2875.1912183152067,-0.0,8600.808781684795,0.0,11476.000000000002
t123,4786.042511365626,-0.0,4379.394785712387,2088.5627029219877,11254.0
t124,4786.042511365626,-0.0,2009.3434728144214,4403.614015819952,11199.0
t125,4786.042511365626,-0.0,4278.811720415315,2407.145768219059,11472.0
t126,4786.042511365626,-0.0,6020.209872557464,1635.7476160769106,12442.0
t127,4786.042511365626,-0.0,6963.301661050844,2515.6558275835314,14265.0
t128,3084.672541823762,-0.0,6700.057666241361,5573.269791934877,15358.0
t129,21.605334549760435,2985.3843768325214,12477.010288617717,-0.0,15484.0
t130,0.0,8576.778771760293,15255.140935138086,-0.0,23831.919706898378
t131,0.0,14696.379004622268,7242.1408924119005,1032.9275137751024,22971.44741080927
t132,0.0,18093.238647469825,3305.266782218112,1188.4347474482183,22586.94017713616
t133,0.0,17354.917780081138,6169.457144503233,-0.0,23524.374924584372
t134,-0.0,12434.724173688537,8640.974413812628,1158.3381685416043,22234.03675604277
