BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.2313045612290448e8,2.3261860160885975e7,-2.748329414093332e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.1890902214285718e8
t1,5425.732491666854,7154.32121645876,-1418.053708125613,0.0,0.0,0.0,0.0,0.0,0.0,-11162.0
t2,19128.374924584372,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-10556.0
t3,18677.374924584376,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-10105.0
t4,18450.374924584372,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-9878.0
t5,18415.374924584372,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-9843.0
t6,1444.625075415626,8572.374924584374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10017.0
t7,1817.6250754156272,8572.374924584374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10390.0
t8,3479.7608524142606,7909.807036085056,-662.567888499317,0.0,0.0,0.0,0.0,0.0,0.0,-10727.0
t9,17379.865510700933,1245.2547069417208,-7327.120217642653,0.0,0.0,0.0,0.0,0.0,0.0,-11298.0
t10,12519.35383832993,3956.0105431272223,-4616.3643814571515,0.0,0.0,0.0,0.0,0.0,0.0,-11859.0
t11,16847.181413514936,1960.596755534718,-6611.778169049655,0.0,0.0,0.0,0.0,0.0,0.0,-12196.0
t12,18984.021188356593,954.676868113891,-7617.698056470483,0.0,0.0,0.0,0.0,0.0,0.0,-12321.0
t13,18244.71800603576,1354.3284592743073,-7218.046465310066,0.0,0.0,0.0,0.0,0.0,0.0,-12381.0
t14,17392.855215954864,1724.7598543147546,-6847.615070269619,0.0,0.0,0.0,0.0,0.0,0.0,-12270.0
t15,14629.258925768747,3046.0579994078125,-5526.31692517656,0.0,0.0,0.0,0.0,0.0,0.0,-12149.0
t16,9662.373090608484,5564.500916987945,-3007.8740075964283,0.0,0.0,0.0,0.0,0.0,0.0,-12219.0
t17,4837.625075415626,8572.374924584374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13410.0
t18,5966.625075415626,8572.374924584374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14539.0
t19,21289.38597053588,868.4944770242467,-7703.880447560126,0.0,0.0,0.0,0.0,0.0,0.0,-14454.0
t20,22584.374924584376,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-14012.0
t21,22066.374924584372,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-13494.0
t22,4199.625075415627,8572.374924584374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12772.0
t23,3304.625075415627,8572.374924584374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11877.0
t24,2301.625075415627,8572.374924584374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10874.0
t25,15182.904599666665,1707.2351624588541,-6865.139762125519,0.0,0.0,0.0,0.0,0.0,0.0,-10025.0
t26,18083.374924584372,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-9511.0
t27,11363.526154167219,3236.4243852085765,-5335.950539375797,0.0,0.0,0.0,0.0,0.0,0.0,-9264.0
t28,635.6250754156267,8572.374924584374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9208.0
t29,837.6250754156267,8572.374924584374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9410.0
t30,18496.374924584372,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-9924.0
t31,6752.094973168427,6258.139975707973,-2314.2349488764,0.0,0.0,0.0,0.0,0.0,0.0,-10696.0
t32,13988.801682205922,2956.286621189226,-5616.088303395148,0.0,0.0,0.0,0.0,0.0,0.0,-11329.0
t33,18886.805004232843,895.2849601757649,-7677.0899644086085,0.0,0.0,0.0,0.0,0.0,0.0,-12105.0
t34,21471.374924584376,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-12899.0
t35,22054.374924584372,0.0,-8572.374924584374,0.0,0.0,0.0,0.0,0.0,0.0,-13482.0
t36,16499.866340773293,2896.7542919055413,-5675.620632678832,0.0,0.0,0.0,0.0,0.0,0.0,-13721.0
t37,16672.04393435405,2799.6654951151613,-5772.709429469212,0.0,0.0,0.0,0.0,0.0,0.0,-13699.0
t38,15799.482909258328,3191.946007663023,-5380.428916921351,0.0,0.0,0.0,0.0,0.0,0.0,-13611.0
t39,14281.126510190727,3929.6242071968236,-4642.750717387551,0.0,0.0,0.0,0.0,0.0,0.0,-13568.0
t40,9318.017903446958,6514.178510568707,-2058.196414015667,0.0,0.0,0.0,0.0,0.0,0.0,-13774.0
t41,20948.235116934495,1345.0699038249397,-7227.305020759433,0.0,0.0,0.0,0.0,0.0,0.0,-15066.0
t42,8150.087578330736,8398.143673126817,-174.23125145755483,0.0,0.0,0.0,0.0,0.0,0.0,-16373.999999999998
t43,20873.423068419983,1964.475928082196,-6607.898996502177,0.0,0.0,0.0,0.0,0.0,0.0,-16230.0
t44,7265.625075415625,8572.374924584374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15838.0
t45,6624.625075415625,8572.374924584374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15197.0
