Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,0.0,0.0,0.0,1304.609411475564
t2,0.0,0.0,0.0,9191.194342093188
t3,0.0,0.0,0.0,17077.77927271081
t4,0.0,0.0,0.0,24964.364203328434
t5,0.0,0.0,0.0,32850.94913394606
t6,0.0,0.0,0.0,23533.15030287609
t7,0.0,0.0,0.0,14215.351471806118
t8,0.0,0.0,0.0,6227.2975856547755
t9,0.0,0.0,0.0,11614.710460949365
t10,0.0,0.0,0.0,11561.754231969051
t11,0.0,0.0,0.0,15513.506717565691
t12,0.0,0.0,0.0,21484.096681568655
t13,0.0,0.0,0.0,26652.603278268798
t14,0.0,0.0,0.0,31077.670170835594
t15,0.0,0.0,0.0,32850.94913394606
t16,0.0,0.0,0.0,29569.822658991357
t17,0.0,0.0,0.0,20252.023827921385
t18,0.0,0.0,0.0,10934.224996851413
t19,0.0,0.0,0.0,17077.77927271081
t20,0.0,0.0,0.0,24964.364203328434
t21,0.0,0.0,0.0,32850.94913394606
t22,0.0,0.0,0.0,23533.15030287609
t23,0.0,0.0,0.0,14215.351471806118
t24,0.0,0.0,0.0,4897.552640736148
t25,0.0,0.0,0.0,9357.790827914609
t26,0.0,0.0,0.0,17244.37575853223
t27,0.0,0.0,0.0,18635.597662139946
t28,0.0,0.0,0.0,9317.79883106997
t29,0.0,0.0,0.0,-0.0
t30,0.0,0.0,0.0,7886.584930617624
t31,0.0,0.0,0.0,3213.355023031767
t32,0.0,0.0,0.0,5166.801239123535
t33,0.0,0.0,0.0,11256.588180101451
t34,0.0,0.0,0.0,19143.173110719075
t35,0.0,0.0,0.0,27029.7580413367
t36,0.0,0.0,0.0,29102.68305393868
t37,0.0,0.0,0.0,31370.461060446916
t38,0.0,0.0,0.0,32850.94913394606
t39,0.0,0.0,0.0,32850.94913394606
t40,0.0,0.0,0.0,27663.861019004922
t41,0.0,0.0,0.0,32850.94913394606
t42,0.0,0.0,0.0,23882.8248492796
t43,0.0,0.0,0.0,27826.79200423313
t44,0.0,0.0,0.0,18508.993173163162
t45,0.0,0.0,0.0,9191.194342093193
t46,0.0,0.0,0.0,17077.779272710817
t47,0.0,0.0,0.0,24964.36420332844
t48,0.0,0.0,0.0,32850.94913394606
t49,0.0,0.0,0.0,32850.94913394606
t50,0.0,0.0,0.0,32850.94913394606
t51,0.0,0.0,0.0,32850.94913394606
t52,0.0,0.0,0.0,23533.15030287609
t53,0.0,0.0,0.0,14215.351471806118
t54,0.0,0.0,0.0,6717.597009003844
t55,0.0,0.0,0.0,8281.282694753652
t56,0.0,0.0,0.0,2885.0671659603313
t57,0.0,0.0,0.0,5444.664081348799
t58,0.0,0.0,0.0,3278.221252164
t59,0.0,0.0,0.0,7023.37638869822
t60,0.0,0.0,0.0,9191.194342093188
t61,0.0,0.0,0.0,17077.77927271081
t62,0.0,0.0,0.0,24964.364203328434
t63,0.0,0.0,0.0,32850.94913394606
t64,0.0,0.0,0.0,27514.28195458949
t65,0.0,0.0,0.0,25739.253472146607
t66,0.0,0.0,0.0,32850.94913394606
t67,0.0,0.0,0.0,23533.15030287609
t68,0.0,0.0,0.0,17077.77927271081
t69,0.0,0.0,0.0,24964.364203328434
t70,0.0,0.0,0.0,32850.94913394606
t71,0.0,0.0,0.0,23533.15030287609
t72,0.0,0.0,0.0,14215.351471806118
t73,0.0,0.0,0.0,22101.936402423744
t74,0.0,0.0,0.0,29988.521333041364
t75,0.0,0.0,0.0,32850.94913394606
t76,0.0,0.0,0.0,30993.157555568665
t77,0.0,0.0,0.0,21675.358724498692
t78,0.0,0.0,0.0,12357.559893428723
t79,0.0,0.0,0.0,3039.761062358755
t80,0.0,0.0,0.0,5313.731167437173
t81,0.0,0.0,0.0,11836.731825446865
t82,0.0,0.0,0.0,15344.450768080498
t83,0.0,0.0,0.0,23231.03569869812
t84,0.0,0.0,0.0,28259.014192439055
t85,0.0,0.0,0.0,30844.93320317841
t86,0.0,0.0,0.0,32850.94913394606
t87,0.0,0.0,0.0,32850.94913394606
t88,0.0,0.0,0.0,32258.998485701646
t89,0.0,0.0,0.0,23212.516832007088
t90,0.0,0.0,0.0,13894.718000937117
t91,0.0,0.0,0.0,9927.191950159542
t92,0.0,0.0,0.0,8025.409099630789
t93,0.0,0.0,0.0,8025.409099630789
t94,0.0,0.0,0.0,8025.409099630789
t95,0.0,0.0,0.0,8081.298093102523
t96,0.0,0.0,0.0,8190.783481755954
t97,0.0,0.0,0.0,7799.242824465908
t98,0.0,0.0,0.0,11826.196392203748
t99,0.0,0.0,0.0,11912.129648633698
t100,0.0,0.0,0.0,13582.451291949723
t101,0.0,0.0,0.0,15209.671826449401
t102,0.0,0.0,0.0,15209.671826449401
t103,0.0,0.0,0.0,9138.365555099881
t104,0.0,0.0,0.0,2725.0600361153934
t105,0.0,0.0,0.0,-0.0
t106,0.0,0.0,0.0,0.0
t107,0.0,0.0,0.0,3597.243116404875
t108,0.0,0.0,0.0,10469.496834931551
t109,0.0,0.0,0.0,15993.43927116788
t110,0.0,0.0,0.0,23880.0242017855
t111,0.0,0.0,0.0,19412.677008493807
t112,0.0,0.0,0.0,19935.116059050182
t113,0.0,0.0,0.0,27716.82300552013
t114,0.0,0.0,0.0,32850.94913394606
t115,0.0,0.0,0.0,32850.94913394606
t116,0.0,0.0,0.0,32027.650703730524
t117,0.0,0.0,0.0,32027.650703730524
t118,0.0,0.0,0.0,23598.36367760685
t119,0.0,0.0,0.0,23598.36367760685
t120,0.0,0.0,0.0,20243.47361147425
t121,0.0,0.0,0.0,20243.47361147425
t122,0.0,0.0,0.0,20243.47361147425
t123,0.0,0.0,0.0,17973.296760472087
t124,0.0,0.0,0.0,13186.759786754748
t125,0.0,0.0,0.0,10570.296995212293
t126,0.0,0.0,0.0,8792.31045599826
t127,0.0,0.0,0.0,6057.9019477553
t128,0.0,0.0,0.0,-0.0
t129,0.0,0.0,0.0,0.0
t130,0.0,0.0,0.0,7665.366130346511
t131,0.0,0.0,0.0,13478.910450709409
t132,0.0,0.0,0.0,18980.358514274434
t133,0.0,0.0,0.0,26866.94344489206
t134,0.0,0.0,0.0,32428.794033775754
t135,0.0,0.0,0.0,32850.94913394606
t136,0.0,0.0,0.0,29463.073490647857
t137,0.0,0.0,0.0,25122.78074355799
t138,0.0,0.0,0.0,23433.407590484734
t139,0.0,0.0,0.0,20100.257428657587
t140,0.0,0.0,0.0,11824.199903470942
t141,0.0,0.0,0.0,8126.187190995641
t142,0.0,0.0,0.0,5812.356747652231
t143,0.0,0.0,0.0,5812.356747652231
t144,0.0,0.0,0.0,6749.932618012378
t145,0.0,0.0,0.0,7313.079232973298
t146,0.0,0.0,0.0,10588.029154350197
t147,0.0,0.0,0.0,15956.007593391216
t148,0.0,0.0,0.0,20551.41912808282
t149,0.0,0.0,0.0,21203.898112517953
t150,0.0,0.0,0.0,15907.404203023238
t151,0.0,0.0,0.0,8831.105985736627
t152,0.0,0.0,0.0,1078.4781169269465
t153,0.0,0.0,0.0,0.0
t154,0.0,0.0,0.0,5413.25219426235
t155,0.0,0.0,0.0,13299.837124879976
t156,0.0,0.0,0.0,18813.41070683117
t157,0.0,0.0,0.0,26699.995637448792
t158,0.0,0.0,0.0,31460.53611867088
t159,0.0,0.0,0.0,32850.94913394606
t160,0.0,0.0,0.0,27947.436296419568
t161,0.0,0.0,0.0,20066.811562592284
t162,0.0,0.0,0.0,10749.012731522314
t163,0.0,0.0,0.0,1431.2139004523451
t164,0.0,0.0,0.0,9317.79883106997
t165,0.0,0.0,0.0,0.0
t166,0.0,0.0,0.0,7886.584930617624
t167,0.0,0.0,0.0,15773.169861235248
t168,0.0,0.0,0.0,7776.436104846479
t169,0.0,0.0,0.0,17077.779272710814
t170,0.0,0.0,0.0,24964.364203328438
t171,0.0,0.0,0.0,32850.94913394606
t172,0.0,0.0,0.0,24964.364203328438
t173,0.0,0.0,0.0,32850.94913394606
t174,0.0,0.0,0.0,24481.389585987778
t175,0.0,0.0,0.0,15163.590754917808
t176,0.0,0.0,0.0,5845.791923847833
t177,0.0,0.0,0.0,2938.7066462728185
t178,0.0,0.0,0.0,5401.947255423215
t179,0.0,0.0,0.0,12133.49923048545
t180,0.0,0.0,0.0,20020.084161103074
t181,0.0,0.0,0.0,27906.669091720698
t182,0.0,0.0,0.0,32850.94913394606
t183,0.0,0.0,0.0,30145.12701696291
t184,0.0,0.0,0.0,32850.94913394606
t185,0.0,0.0,0.0,32850.94913394606
t186,0.0,0.0,0.0,28991.74229260586
t187,0.0,0.0,0.0,23248.364499713083
t188,0.0,0.0,0.0,15256.788074700236
t189,0.0,0.0,0.0,7694.4822855452085
t190,0.0,0.0,0.0,6120.556802980551
t191,0.0,0.0,0.0,2706.145652574885
t192,0.0,0.0,0.0,5596.10325027824
t193,0.0,0.0,0.0,13482.688180895862
t194,0.0,0.0,0.0,9317.79883106997
t195,0.0,0.0,0.0,-0.0
t196,0.0,0.0,0.0,7886.584930617624
t197,0.0,0.0,0.0,1687.6497366188703
t198,0.0,0.0,0.0,6734.784982011237
t199,0.0,0.0,0.0,12093.546620447494
t200,0.0,0.0,0.0,11858.869301494511
t201,0.0,0.0,0.0,5049.800886609144
t202,0.0,0.0,0.0,3612.4334601916453
t203,0.0,0.0,0.0,9255.65906914082
t204,0.0,0.0,0.0,14164.243429425163
t205,0.0,0.0,0.0,20778.709401825698
t206,0.0,0.0,0.0,27890.19582117332
t207,0.0,0.0,0.0,31090.240528290946
t208,0.0,0.0,0.0,32850.94913394606
t209,0.0,0.0,0.0,32850.94913394606
t210,0.0,0.0,0.0,24964.364203328438
t211,0.0,0.0,0.0,32850.94913394606
t212,0.0,0.0,0.0,32850.94913394606
t213,0.0,0.0,0.0,23533.15030287609
t214,0.0,0.0,0.0,23438.71807276897
t215,0.0,0.0,0.0,29009.738092526204
t216,0.0,0.0,0.0,32850.94913394606
t217,0.0,0.0,0.0,32354.498463388645
t218,0.0,0.0,0.0,32117.71303690662
t219,0.0,0.0,0.0,32850.94913394606
t220,0.0,0.0,0.0,28656.110405670217
t221,0.0,0.0,0.0,30420.77465414306
t222,0.0,0.0,0.0,26275.372708039635
t223,0.0,0.0,0.0,16957.57387696966
t224,0.0,0.0,0.0,7639.775045899692
t225,0.0,0.0,0.0,3385.8758377256986
t226,0.0,0.0,0.0,5020.779621566593
t227,0.0,0.0,0.0,10783.49389933561
t228,0.0,0.0,0.0,16534.543752522517
t229,0.0,0.0,0.0,21197.614152818584
t230,0.0,0.0,0.0,25737.879477471794
t231,0.0,0.0,0.0,25522.259460576628
t232,0.0,0.0,0.0,21576.678449045106
t233,0.0,0.0,0.0,29463.26337966273
t234,0.0,0.0,0.0,32850.94913394606
t235,0.0,0.0,0.0,32850.94913394606
t236,0.0,0.0,0.0,32850.94913394606
t237,0.0,0.0,0.0,23533.15030287609
t238,0.0,0.0,0.0,20792.000254589242
t239,0.0,0.0,0.0,11474.201423519275
t240,0.0,0.0,0.0,2156.4025924493076
t241,0.0,0.0,0.0,6061.4057763685305
t242,0.0,0.0,0.0,2756.2110814993
t243,0.0,0.0,0.0,9983.23267909599
t244,0.0,0.0,0.0,15267.175652064388
t245,0.0,0.0,0.0,15507.690983758554
t246,0.0,0.0,0.0,13982.82427137405
t247,0.0,0.0,0.0,13380.65540326306
t248,0.0,0.0,0.0,4062.8565721930895
t249,0.0,0.0,0.0,4447.783127913393
t250,0.0,0.0,0.0,10992.06577727367
t251,0.0,0.0,0.0,13279.627782890842
t252,0.0,0.0,0.0,12551.04812602074
t253,0.0,0.0,0.0,20437.633056638366
t254,0.0,0.0,0.0,23536.13509789242
t255,0.0,0.0,0.0,31422.72002851004
t256,0.0,0.0,0.0,32850.94913394606
t257,0.0,0.0,0.0,26617.640285134654
t258,0.0,0.0,0.0,17299.841454064685
t259,0.0,0.0,0.0,7982.042622994713
t260,0.0,0.0,0.0,10749.012731522318
t261,0.0,0.0,0.0,18635.59766213994
t262,0.0,0.0,0.0,9317.79883106997
t263,0.0,0.0,0.0,0.0
t264,0.0,0.0,0.0,7886.584930617624
t265,0.0,0.0,0.0,15773.169861235248
t266,0.0,0.0,0.0,6455.371030165278
t267,0.0,0.0,0.0,7473.494948015739
t268,0.0,0.0,0.0,15360.079878633363
t269,0.0,0.0,0.0,6042.281047563394
t270,0.0,0.0,0.0,12768.595861215665
t271,0.0,0.0,0.0,15101.730503262314
t272,0.0,0.0,0.0,5783.931672192343
t273,0.0,0.0,0.0,4080.465469695147
t274,0.0,0.0,0.0,4432.878957067652
t275,0.0,0.0,0.0,9158.169386276828
t276,0.0,0.0,0.0,17044.75431689445
t277,0.0,0.0,0.0,24931.339247512075
t278,0.0,0.0,0.0,28215.80271310315
t279,0.0,0.0,0.0,32089.620796938645
t280,0.0,0.0,0.0,32850.94913394606
t281,0.0,0.0,0.0,32850.94913394606
t282,0.0,0.0,0.0,24964.364203328438
t283,0.0,0.0,0.0,32850.94913394606
t284,0.0,0.0,0.0,32850.94913394606
t285,0.0,0.0,0.0,24404.379931773026
t286,0.0,0.0,0.0,27988.34334702538
t287,0.0,0.0,0.0,32850.94913394606
t288,0.0,0.0,0.0,32850.94913394606
t289,0.0,0.0,0.0,32850.94913394606
t290,0.0,0.0,0.0,31729.267222482955
t291,0.0,0.0,0.0,29069.161007789975
t292,0.0,0.0,0.0,26226.179262943297
t293,0.0,0.0,0.0,23544.52475861081
t294,0.0,0.0,0.0,19947.72636538877
t295,0.0,0.0,0.0,16304.065355304036
t296,0.0,0.0,0.0,11376.123974692835
t297,0.0,0.0,0.0,6440.331467885871
t298,0.0,0.0,0.0,4543.520436911658
t299,0.0,0.0,0.0,2416.261111476167
t300,0.0,0.0,0.0,2416.261111476167
t301,0.0,0.0,0.0,2416.261111476167
t302,0.0,0.0,0.0,10302.84604209379
t303,0.0,0.0,0.0,17535.29374842555
t304,0.0,0.0,0.0,19737.76071496357
t305,0.0,0.0,0.0,23317.08196061848
t306,0.0,0.0,0.0,21755.466292457262
t307,0.0,0.0,0.0,24800.758016111664
t308,0.0,0.0,0.0,26680.58276776216
t309,0.0,0.0,0.0,21234.51790098621
t310,0.0,0.0,0.0,11916.719069916242
t311,0.0,0.0,0.0,7682.634042939029
t312,0.0,0.0,0.0,0.0
t313,0.0,0.0,0.0,5296.550196583054
t314,0.0,0.0,0.0,13183.135127200678
t315,0.0,0.0,0.0,18635.597662139942
t316,0.0,0.0,0.0,9317.79883106997
t317,0.0,0.0,0.0,0.0
t318,0.0,0.0,0.0,7886.584930617624
t319,0.0,0.0,0.0,14751.160805977921
t320,0.0,0.0,0.0,5433.361974907952
t321,0.0,0.0,0.0,13319.946905525576
t322,0.0,0.0,0.0,21206.5318361432
t323,0.0,0.0,0.0,22491.409497475554
t324,0.0,0.0,0.0,24647.787245729945
t325,0.0,0.0,0.0,27500.211320919236
t326,0.0,0.0,0.0,30190.27039699384
t327,0.0,0.0,0.0,32850.94913394606
t328,0.0,0.0,0.0,32850.94913394606
t329,0.0,0.0,0.0,27953.39649320991
t330,0.0,0.0,0.0,18635.597662139942
t331,0.0,0.0,0.0,9317.798831069973
t332,0.0,0.0,0.0,0.0
t333,0.0,0.0,0.0,7886.584930617624
