Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,0.0,0.0,0.0,21.66107686800043
t2,0.0,0.0,0.0,21.66107686800043
t3,0.0,0.0,0.0,21.66107686800043
t4,0.0,0.0,0.0,21.66107686800043
t5,0.0,0.0,0.0,21.66107686800043
t6,0.0,0.0,0.0,21.66107686800043
t7,0.0,0.0,0.0,21.66107686800043
t8,0.0,0.0,0.0,21.66107686800043
t9,0.0,0.0,0.0,21.66107686800043
t10,0.0,0.0,0.0,21.66107686800043
t11,0.0,0.0,0.0,21.66107686800043
t12,0.0,0.0,0.0,21.66107686800043
t13,0.0,0.0,0.0,21.66107686800043
t14,0.0,0.0,0.0,21.66107686800043
t15,0.0,0.0,0.0,21.66107686800043
t16,0.0,0.0,0.0,21.66107686800043
t17,0.0,0.0,0.0,21.66107686800043
t18,0.0,0.0,0.0,21.66107686800043
t19,0.0,0.0,0.0,21.66107686800043
t20,0.0,0.0,0.0,21.66107686800043
t21,0.0,0.0,0.0,21.66107686800043
t22,0.0,0.0,0.0,21.66107686800043
t23,0.0,0.0,0.0,21.66107686800043
t24,0.0,0.0,0.0,21.66107686800043
t25,0.0,0.0,0.0,21.66107686800043
t26,0.0,0.0,0.0,21.66107686800043
t27,0.0,0.0,0.0,21.66107686800043
t28,0.0,0.0,0.0,21.66107686800043
t29,0.0,0.0,0.0,21.66107686800043
t30,0.0,0.0,0.0,21.66107686800043
t31,0.0,0.0,0.0,21.66107686800043
t32,0.0,0.0,0.0,21.66107686800043
t33,0.0,0.0,0.0,21.66107686800043
t34,0.0,0.0,0.0,21.66107686800043
t35,0.0,0.0,0.0,21.66107686800043
t36,0.0,0.0,0.0,21.66107686800043
t37,0.0,0.0,0.0,21.66107686800043
t38,0.0,0.0,0.0,21.66107686800043
t39,0.0,0.0,0.0,21.661076868000425
t40,0.0,0.0,0.0,21.66107686800043
t41,0.0,0.0,0.0,21.66107686800043
t42,0.0,0.0,0.0,21.66107686800043
t43,0.0,0.0,0.0,21.66107686800043
t44,0.0,0.0,0.0,21.66107686800043
t45,0.0,0.0,0.0,21.66107686800043
t46,0.0,0.0,0.0,21.66107686800043
t47,0.0,0.0,0.0,21.66107686800043
t48,0.0,0.0,0.0,21.66107686800043
t49,0.0,0.0,0.0,21.661076868000425
t50,0.0,0.0,0.0,21.661076868000425
t51,0.0,0.0,0.0,21.661076868000425
t52,0.0,0.0,0.0,21.66107686800043
t53,0.0,0.0,0.0,21.66107686800043
t54,0.0,0.0,0.0,21.66107686800043
t55,0.0,0.0,0.0,21.66107686800043
t56,0.0,0.0,0.0,21.66107686800043
t57,0.0,0.0,0.0,21.661076868000432
t58,0.0,0.0,0.0,21.66107686800043
